L	doping	site	chi_prior	observable	nu	true	Delta	prior_fid	G_crm	G_crm_lo	G_crm_hi	G_beta	G_beta_lo	G_beta_hi	G_shrunk	G_shrunk_lo	G_shrunk_hi	G_split	G_split_lo	G_split_hi	G_exactvar	G_exactvar_lo	G_exactvar_hi	G_splitev	G_splitev_lo	G_splitev_hi	M_crm	M_beta	M_shrunk	M_split	M_exactvar	M_splitev	bias_crm	bias_beta	bias_shrunk	bias_split	bias_exactvar	bias_splitev	beta_median	beta_std	beta_shrunk_median	beta_ev_median	beta_ev_std	G_max
16	0.0	1	2	n	50	0.9999999997718922	-2.2810797695171914e-10	0.09698363628976094	0.9999999901990101	0.9999999807277179	1.0000000019902036	1.0	1.0	1.0	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	0.9999999902603147	1.0	1.0	1.000000000000001	1.0	1.000000000000001	0.010897691866971473	0.010897694680042983	0.010897694680042983	0.010897694680042988	0.010897694680042983	0.010897694680042988	0.0	0.0	0.0	0.0	0.0	0.9999999640537262
16	0.0	1	4	n	50	0.9999999997718922	-2.6247668483136977e-9	0.4016685041247426	0.9999999973718474	0.9999999920699443	1.000000004105207	1.0	1.0	1.0	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	0.9999999973733198	1.0	1.0	1.000000000000001	1.0	1.000000000000001	0.010897694612481601	0.010897694680042983	0.010897694680042983	0.010897694680042988	0.010897694680042983	0.010897694680042988	0.0	0.0	0.0	0.0	0.0	0.9999999640537262
16	0.0	1	8	n	50	0.9999999997718922	-1.1419718504157572e-9	0.953183573351011	0.9999999747286846	0.9999999492320472	1.000000006236735	1.0	1.0	1.0	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	0.9999999748810477	1.0	1.0	1.000000000000001	1.0	1.000000000000001	0.010897687688598341	0.010897694680042983	0.010897694680042983	0.010897694680042988	0.010897694680042983	0.010897694680042988	0.0	0.0	0.0	0.0	0.0	0.9999999640537262
16	0.0	1	16	n	50	0.9999999997718922	-3.261091396922211e-11	0.9951061328650821	0.9999999677754476	0.9999999367023201	1.0000000063831773	1.0	1.0	1.0	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	0.9999999679782301	1.0	1.0	1.000000000000001	1.0	1.000000000000001	0.010897685375013072	0.010897694680042983	0.010897694680042983	0.010897694680042988	0.010897694680042983	0.010897694680042988	0.0	0.0	0.0	0.0	0.0	0.9999999640537262
16	0.0	1	32	n	50	0.9999999997718922	-1.32971411659355e-10	0.9998374794670146	0.9999999676920353	0.9999999364489119	1.000000006502074	1.0	1.0	1.0	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	1.000000000000001	0.9999999999999999	1.0000000000000022	0.9999999678947129	1.0	1.0	1.000000000000001	1.0	1.000000000000001	0.010897685379825486	0.010897694680042983	0.010897694680042983	0.010897694680042988	0.010897694680042983	0.010897694680042988	0.0	0.0	0.0	0.0	0.0	0.9999999640537262
16	0.0	1	2	Sz	50	-2.2894525171512914e-8	-1.6610580363630563e-8	0.09698363628976094	0.9999999995140665	0.999999987870288	1.0000000078072298	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	0.9999999984218696	1.0	1.0	1.0	1.0	1.0	-0.09425473901204205	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	0.0	0.0	0.0	0.0	0.0	0.999999998135889
16	0.0	1	4	Sz	50	-2.2894525171512914e-8	-1.9607320593528765e-8	0.4016685041247426	1.000000000729181	0.9999999948377783	1.0000000052834739	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.000000000228324	1.0	1.0	1.0	1.0	1.0	-0.09425473584724987	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	0.0	0.0	0.0	0.0	0.0	0.999999998135889
16	0.0	1	8	Sz	50	-2.2894525171512914e-8	-6.080845410538771e-9	0.953183573351011	0.9999999990747321	0.9999999680800574	1.0000000211533515	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	0.9999999961792647	1.0	1.0	1.0	1.0	1.0	-0.09425474866296624	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	0.0	0.0	0.0	0.0	0.0	0.999999998135889
16	0.0	1	16	Sz	50	-2.2894525171512914e-8	-2.3643760005409575e-9	0.9951061328650821	0.9999999983321273	0.999999960397288	1.000000025420168	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	0.9999999947580844	1.0	1.0	1.0	1.0	1.0	-0.09425475229463472	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	0.0	0.0	0.0	0.0	0.0	0.999999998135889
16	0.0	1	32	Sz	50	-2.2894525171512914e-8	-2.24380632130039e-9	0.9998374794670146	0.9999999983639817	0.9999999601511614	1.0000000256178008	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	1.0	0.9999999999999999	1.0000000000000002	0.9999999947719345	1.0	1.0	1.0	1.0	1.0	-0.09425475239099217	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	-0.09425473316671369	0.0	0.0	0.0	0.0	0.0	0.999999998135889
