W	LX	nsites	geometry	U	method	chi	quantity	i	j	value
1	64	64	cylinder	12.0	exact	0	E	0	0	-14.263490649530
1	64	64	cylinder	12.0	exact	0	Hvar	0	0	0.000000000169
1	64	64	cylinder	12.0	exact	0	chi_reached	0	0	683.000000000000
1	64	64	cylinder	12.0	trunc	2	E	0	0	0.000000000000
1	64	64	cylinder	12.0	trunc	2	chi_reached	0	0	2.000000000000
1	64	64	cylinder	12.0	trunc	2	ZZ onsite	32	33	-1.000000000000
1	64	64	cylinder	12.0	trunc	2	ZZ up-up nb	32	33	-0.000000004759
1	64	64	cylinder	12.0	trunc	2	SzSz nb	32	33	-0.000000001190
1	64	64	cylinder	12.0	trunc	2	SxSx nb	32	33	0.000000000000
1	64	64	cylinder	12.0	trunc	2	DoubleOcc	32	33	0.000000000000
1	64	64	cylinder	12.0	trunc	2	n	32	33	1.000000000000
1	64	64	cylinder	12.0	trunc	2	Sz	32	33	0.000034391908
1	64	64	cylinder	12.0	trunc	2	mz_max	0	0	0.000034596404
1	64	64	cylinder	12.0	trunc	4	E	0	0	-4.207569357216
1	64	64	cylinder	12.0	trunc	4	chi_reached	0	0	4.000000000000
1	64	64	cylinder	12.0	trunc	4	ZZ onsite	32	33	-1.000000000000
1	64	64	cylinder	12.0	trunc	4	ZZ up-up nb	32	33	-0.526144690184
1	64	64	cylinder	12.0	trunc	4	SzSz nb	32	33	-0.131536172546
1	64	64	cylinder	12.0	trunc	4	SxSx nb	32	33	-0.131536172432
1	64	64	cylinder	12.0	trunc	4	DoubleOcc	32	33	0.000000000000
1	64	64	cylinder	12.0	trunc	4	n	32	33	1.000000000000
1	64	64	cylinder	12.0	trunc	4	Sz	32	33	0.000015933861
1	64	64	cylinder	12.0	trunc	4	mz_max	0	0	0.000017393773
1	64	64	cylinder	12.0	trunc	8	E	0	0	-13.900490626495
1	64	64	cylinder	12.0	trunc	8	chi_reached	0	0	8.000000000000
1	64	64	cylinder	12.0	trunc	8	ZZ onsite	32	33	-0.930833767490
1	64	64	cylinder	12.0	trunc	8	ZZ up-up nb	32	33	-0.518477851010
1	64	64	cylinder	12.0	trunc	8	SzSz nb	32	33	-0.125561722095
1	64	64	cylinder	12.0	trunc	8	SxSx nb	32	33	-0.125561721992
1	64	64	cylinder	12.0	trunc	8	DoubleOcc	32	33	0.017291558130
1	64	64	cylinder	12.0	trunc	8	n	32	33	1.000000000004
1	64	64	cylinder	12.0	trunc	8	Sz	32	33	0.000015414269
1	64	64	cylinder	12.0	trunc	8	mz_max	0	0	0.000015567686
1	64	64	cylinder	12.0	trunc	16	E	0	0	-14.231175834551
1	64	64	cylinder	12.0	trunc	16	chi_reached	0	0	16.000000000000
1	64	64	cylinder	12.0	trunc	16	ZZ onsite	32	33	-0.929233062105
1	64	64	cylinder	12.0	trunc	16	ZZ up-up nb	32	33	-0.525997344793
1	64	64	cylinder	12.0	trunc	16	SzSz nb	32	33	-0.127484575828
1	64	64	cylinder	12.0	trunc	16	SxSx nb	32	33	-0.127484575808
1	64	64	cylinder	12.0	trunc	16	DoubleOcc	32	33	0.017691734476
1	64	64	cylinder	12.0	trunc	16	n	32	33	1.000000000003
1	64	64	cylinder	12.0	trunc	16	Sz	32	33	0.000013603750
1	64	64	cylinder	12.0	trunc	16	mz_max	0	0	0.000013760995
1	64	64	cylinder	12.0	var	2	E	0	0	-0.357602009658
1	64	64	cylinder	12.0	var	2	chi_reached	0	0	2.000000000000
1	64	64	cylinder	12.0	var	2	ZZ onsite	32	33	-1.000000000000
1	64	64	cylinder	12.0	var	2	ZZ up-up nb	32	33	-1.000000000000
1	64	64	cylinder	12.0	var	2	SzSz nb	32	33	-0.250000000000
1	64	64	cylinder	12.0	var	2	SxSx nb	32	33	0.000000000000
1	64	64	cylinder	12.0	var	2	DoubleOcc	32	33	0.000000000000
1	64	64	cylinder	12.0	var	2	n	32	33	1.000000000000
1	64	64	cylinder	12.0	var	2	Sz	32	33	-0.500000000000
1	64	64	cylinder	12.0	var	2	mz_max	0	0	0.500000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	8	20	-0.999999988118
1	64	64	cylinder	12.0	var	2	ZupZdn	57	38	0.996922764552
1	64	64	cylinder	12.0	var	2	ZupZdn	32	60	0.999999999853
1	64	64	cylinder	12.0	var	2	ZupZdn	58	41	0.008340009270
1	64	64	cylinder	12.0	var	2	ZupZdn	39	59	-0.092756389793
1	64	64	cylinder	12.0	var	2	ZupZdn	6	31	-1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	58	30	0.089895261711
1	64	64	cylinder	12.0	var	2	ZupZdn	59	47	-0.092774736933
1	64	64	cylinder	12.0	var	2	ZupZup	1	7	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	37	23	-0.996830892639
1	64	64	cylinder	12.0	var	2	ZupZdn	24	1	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	55	39	-0.999802239795
1	64	64	cylinder	12.0	var	2	ZupZup	55	62	0.999999999875
1	64	64	cylinder	12.0	var	2	ZupZdn	31	47	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	1	34	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	12	17	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	8	39	0.999802239920
1	64	64	cylinder	12.0	var	2	ZupZdn	28	29	-0.091977239195
1	64	64	cylinder	12.0	var	2	ZupZdn	22	37	0.999797432993
1	64	64	cylinder	12.0	var	2	ZupZup	1	53	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	17	27	-0.090454614116
1	64	64	cylinder	12.0	var	2	ZupZdn	24	16	-0.109431275717
1	64	64	cylinder	12.0	var	2	ZupZdn	53	13	-0.999999997519
1	64	64	cylinder	12.0	var	2	ZupZdn	6	36	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	13	5	-0.999999997519
1	64	64	cylinder	12.0	var	2	ZupZdn	19	27	-0.006392507193
1	64	64	cylinder	12.0	var	2	ZupZdn	21	6	0.999999999863
1	64	64	cylinder	12.0	var	2	ZupZdn	37	17	-1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	28	21	0.091977239182
1	64	64	cylinder	12.0	var	2	ZupZdn	8	62	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZup	9	13	-0.999999997519
1	64	64	cylinder	12.0	var	2	ZupZup	2	5	-0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZup	10	53	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	26	36	0.997058574355
1	64	64	cylinder	12.0	var	2	ZupZdn	48	18	-0.069500980264
1	64	64	cylinder	12.0	var	2	ZupZdn	59	49	-0.092774736933
1	64	64	cylinder	12.0	var	2	ZupZdn	26	58	-0.092501847089
1	64	64	cylinder	12.0	var	2	ZupZdn	48	47	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	16	26	-0.981495447314
1	64	64	cylinder	12.0	var	2	ZupZdn	56	21	0.999802239784
1	64	64	cylinder	12.0	var	2	ZupZup	16	20	0.981617132426
1	64	64	cylinder	12.0	var	2	ZupZdn	32	48	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZup	35	37	-1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	49	49	-1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZup	31	50	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	16	58	-0.091069272456
1	64	64	cylinder	12.0	var	2	ZupZup	3	43	0.999999999853
1	64	64	cylinder	12.0	var	2	ZupZdn	40	10	0.996922764677
1	64	64	cylinder	12.0	var	2	Zup	45	45	1.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	15	42	0.092016579143
1	64	64	cylinder	12.0	var	2	ZupZdn	57	2	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	1	48	0.000000000000
1	64	64	cylinder	12.0	var	2	ZupZdn	25	64	-0.109307299912
