U	observable	true	err_P_std	err_P_crm	err_MG_std	err_MG_crm
4.0	hop y-bond	0.41562576559028763	0.2112015816155813	0.052130747841790566	0.0979667852940093	0.09593640847608023
4.0	hop x-bond	0.4156257655901834	0.0	0.0	0.0950585885295408	0.07615808308863087
4.0	DoubleOcc	0.12564942790957734	0.05636559455909252	0.059238121056815266	0.08336476282601198	0.0985768700728518
4.0	SzSz y	-0.07025668323347871	0.020272224182790295	0.02426795380405881	0.027184064963024574	0.028267113170463536
4.0	Energy	-5.9542366810573215	11.470110783409737	0.8780662842724484	0.8655677286643715	1.0140475909616398
8.0	hop y-bond	0.26594238888975696	0.11947708277193707	0.05062728495260204	0.07400215510428083	0.09345903884124299
8.0	hop x-bond	0.26594236153686235	0.0	2.8109164082014877e-17	0.06236252645404392	0.11727697709762669
8.0	DoubleOcc	0.04555380981151949	0.07998063383383217	0.05725562008906082	0.0702319645667476	0.08371642681965591
8.0	SzSz y	-0.11320828308415559	0.0358936729077381	0.0287518230959379	0.03212214050997942	0.03418758111293773
8.0	Energy	-3.467173437213715	5.664198236752555	3.1345103295964845	1.3906524241567593	1.9444971589802664
