label	U	n_elec	chi_prior	observable	true	Delta	prior_fid	G_emp
U=1 half	1.0	16	2	ZZ onsite(i0)	-0.14430146812576647	0.8556985318742348	0.0025109107793268807	0.04281145108771972
U=1 half	1.0	16	4	ZZ onsite(i0)	-0.14430146812576647	-0.030353080275587363	0.20008585625621522	2.793026529441892
U=1 half	1.0	16	8	ZZ onsite(i0)	-0.14430146812576647	-0.029860509342354513	0.812243007933103	2.8008039873732553
U=1 half	1.0	16	16	ZZ onsite(i0)	-0.14430146812576647	0.0062386601632794525	0.9635436664851235	3.0683517945723735
U=1 half	1.0	16	32	ZZ onsite(i0)	-0.14430146812576647	9.302535660130062e-5	0.9984571155244222	3.0732124366211897
U=1 half	1.0	16	2	ZZ up-up r=1	-0.3368933677012702	-0.336893367048952	0.0025109107793268807	1.0000000037702585
U=1 half	1.0	16	4	ZZ up-up r=1	-0.3368933677012702	-0.248269775253676	0.20008585625621522	1.793663179185565
U=1 half	1.0	16	8	ZZ up-up r=1	-0.3368933677012702	-0.07340663292444566	0.812243007933103	10.68510653873492
U=1 half	1.0	16	16	ZZ up-up r=1	-0.3368933677012702	-0.004710993898671967	0.9635436664851235	16.693444851065077
U=1 half	1.0	16	32	ZZ up-up r=1	-0.3368933677012702	-0.0018556992445130094	0.9984571155244222	16.57884897991018
U=1 half	1.0	16	2	ZZ up-up r=2	0.010182647430156545	0.010182646777838318	0.0025109107793268807	1.0000000020207107
U=1 half	1.0	16	4	ZZ up-up r=2	0.010182647430156545	0.08308410139941769	0.20008585625621522	0.5910264871087196
U=1 half	1.0	16	8	ZZ up-up r=2	0.010182647430156545	0.05700669002498961	0.812243007933103	0.7477471187070805
U=1 half	1.0	16	16	ZZ up-up r=2	0.010182647430156545	0.007753753325110541	0.9635436664851235	1.0070560717149657
U=1 half	1.0	16	32	ZZ up-up r=2	0.010182647430156545	0.0036581050576207155	0.9984571155244222	1.0167536212607386
U=1 half	1.0	16	2	ZZ up-up r=4	0.006520768187362996	0.006520767531653566	0.0025109107793268807	1.0000000046650228
U=1 half	1.0	16	4	ZZ up-up r=4	0.006520768187362996	0.013041011030463005	0.20008585625621522	0.952218775025149
U=1 half	1.0	16	8	ZZ up-up r=4	0.006520768187362996	0.0021071423502825835	0.812243007933103	1.0305704538232863
U=1 half	1.0	16	16	ZZ up-up r=4	0.006520768187362996	0.005526970888646345	0.9635436664851235	1.0070313688477803
U=1 half	1.0	16	32	ZZ up-up r=4	0.006520768187362996	-0.0009331831623880142	0.9984571155244222	1.050504780021804
U=1 half	1.0	16	2	ZZ up-up r=8	0.005181897075238573	0.005181896686077323	0.0025109107793268807	0.9999999976859265
U=1 half	1.0	16	4	ZZ up-up r=8	0.005181897075238573	0.0052300317244724625	0.20008585625621522	1.0002860608859034
U=1 half	1.0	16	8	ZZ up-up r=8	0.005181897075238573	0.003040978378906373	0.812243007933103	0.9869580718472015
U=1 half	1.0	16	16	ZZ up-up r=8	0.005181897075238573	0.002475187592323208	0.9635436664851235	0.9834117351873901
U=1 half	1.0	16	32	ZZ up-up r=8	0.005181897075238573	0.001644676719151761	0.9984571155244222	0.978134972389524
U=1 half	1.0	16	2	DoubleOcc(i0)	0.2139254220083109	0.2139254220083109	0.0025109107793268807	0.05331986197247204
U=1 half	1.0	16	4	DoubleOcc(i0)	0.2139254220083109	-0.007589494871607594	0.20008585625621522	2.092771815832592
U=1 half	1.0	16	8	DoubleOcc(i0)	0.2139254220083109	-0.0074648658661711775	0.812243007933103	2.0964435791229996
U=1 half	1.0	16	16	DoubleOcc(i0)	0.2139254220083109	0.0015525531976791906	0.9635436664851235	2.2270525656667113
U=1 half	1.0	16	32	DoubleOcc(i0)	0.2139254220083109	1.2221796445471833e-5	0.9984571155244222	2.226443340627265
U=1 half	1.0	16	2	SzSz r=1	-0.04959576995334443	-0.04959576979026487	0.0025109107793268807	1.0000000042906745
U=1 half	1.0	16	4	SzSz r=1	-0.04959576995334443	-0.04959576988969808	0.20008585625621522	1.0765164003635868
U=1 half	1.0	16	8	SzSz r=1	-0.04959576995334443	-0.005119437862338559	0.812243007933103	5.333002243370925
U=1 half	1.0	16	16	SzSz r=1	-0.04959576995334443	-0.0004339721683207301	0.9635436664851235	7.140185136758256
U=1 half	1.0	16	32	SzSz r=1	-0.04959576995334443	-0.00036453186822589523	0.9984571155244222	7.1712424292293715
U=1 half	1.0	16	2	hop bond(i0)	0.5652632498464708	0.5652632498464708	0.0025109107793268807	1.0
U=1 half	1.0	16	4	hop bond(i0)	0.5652632498464708	0.2510625056527736	0.20008585625621522	4.7294304892829135
