L	site	observable	prior	true	Delta	G	G_max
16	1	n	chi2	0.9999999872409505	-1.2759049483612728e-8	0.9999998574459728	0.9999999904746847
16	1	n	chi4	0.9999999872409505	-1.1007528122330967e-7	0.9999997638394756	0.9999999904746847
16	1	n	chi8	0.9999999872409505	-3.40731750592127e-8	0.9999999117000558	0.9999999904746847
16	1	n	exact	0.9999999872409505	0.0	0.9999999904746847	0.9999999904746847
16	1	n	chi2_tavg	0.9999999872409505	-1.2759048484412006e-8	0.9999999973750562	0.9999999904746847
16	1	n	chi4_tavg	0.9999999872409505	-1.3833235779081576e-8	0.9999999969566727	0.9999999904746847
16	1	n	chi8_tavg	0.9999999872409505	-1.5365089978125468e-8	0.9999999939112713	0.9999999904746847
16	1	Sz	chi2	-4.4519379540503e-8	2.220049608352163e-7	1.000000031759129	1.000000017404144
16	1	Sz	chi4	-4.4519379540503e-8	1.9332627474236141e-7	0.9999999360794858	1.000000017404144
16	1	Sz	chi8	-4.4519379540503e-8	7.596559089412258e-8	0.999999994154129	1.000000017404144
16	1	Sz	exact	-4.4519379540503e-8	0.0	1.000000017404144	1.000000017404144
16	1	Sz	chi2_tavg	-4.4519379540503e-8	-3.961107240387504e-8	1.0000000005852132	1.000000017404144
16	1	Sz	chi4_tavg	-4.4519379540503e-8	-4.107738832808313e-8	0.9999999993919734	1.000000017404144
16	1	Sz	chi8_tavg	-4.4519379540503e-8	-3.858958846335766e-8	0.9999999982362674	1.000000017404144
16	1	DoubleOcc	chi2	0.10000853978923066	0.10000853978923066	2.288579409619387	27.693616622935878
16	1	DoubleOcc	chi4	0.10000853978923066	0.03472843640714046	12.394359140307458	27.693616622935878
16	1	DoubleOcc	chi8	0.10000853978923066	0.03689874675993407	11.519450017478603	27.693616622935878
16	1	DoubleOcc	exact	0.10000853978923066	0.0	27.693616622935878	27.693616622935878
16	1	DoubleOcc	chi2_tavg	0.10000853978923066	0.10000853978923066	2.288579397730082	27.693616622935878
16	1	DoubleOcc	chi4_tavg	0.10000853978923066	0.0468649928736673	8.333475002637513	27.693616622935878
16	1	DoubleOcc	chi8_tavg	0.10000853978923066	0.009781005647881175	25.988567384036372	27.693616622935878
16	1	ZZ onsite	chi2	-0.5999658153249786	0.4000341846750214	2.2241176459084953	48.00058425150426
16	1	ZZ onsite	chi4	-0.5999658153249786	0.13891396577912407	13.95654566575639	48.00058425150426
16	1	ZZ onsite	chi8	-0.5999658153249786	0.14759505518608618	12.772830459927262	48.00058425150426
16	1	ZZ onsite	exact	-0.5999658153249786	0.0	48.00058425150426	48.00058425150426
16	1	ZZ onsite	chi2_tavg	-0.5999658153249786	0.4000341846750204	2.224117645908506	48.00058425150426
