W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi2	2.4915431674e-09	ZZ onsite	2	0.64913915	3.50860855e-01	-0.2982782901	-1.0000000000	7.017217e-01	2.352574e+00	0.197387	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi4	1.0890011397e-04	ZZ onsite	2	0.99527245	6.40618365e-02	-0.2982782901	-0.4264019631	1.281237e-01	4.295441e-01	3.720979	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi8	3.6270063213e-01	ZZ onsite	2	0.99984275	1.19211774e-02	-0.2982782901	-0.3221206448	2.384235e-02	7.993326e-02	9.172046	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi16	7.5229889693e-01	ZZ onsite	2	0.99999438	2.26176366e-03	-0.2982782901	-0.3028018174	4.523527e-03	1.516546e-02	9.661477	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi32	9.6900308016e-01	ZZ onsite	2	0.99999973	4.93593500e-04	-0.2982782901	-0.2992654771	9.871870e-04	3.309617e-03	9.679846	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi64	9.9687635885e-01	ZZ onsite	2	1.00000000	3.88819147e-05	-0.2982782901	-0.2983560539	7.776383e-05	2.607090e-04	9.680760	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi128	9.9972407375e-01	ZZ onsite	2	1.00000000	3.70098103e-06	-0.2982782901	-0.2982856921	7.401962e-06	2.481562e-05	9.680766	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi256	9.9998978524e-01	ZZ onsite	2	1.00000000	1.61767448e-07	-0.2982782901	-0.2982786136	3.235349e-07	1.084675e-06	9.680766	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi512	9.9999967102e-01	ZZ onsite	2	1.00000000	8.41868249e-09	-0.2982782901	-0.2982783069	1.683736e-08	5.644851e-08	9.680766	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	UHF	3.5925184198e-02	ZZ onsite	2	0.92840251	2.15811768e-01	-0.2982782901	-0.1158932900	-1.823850e-01	6.114592e-01	2.280196	9.680766
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi2	2.4915431674e-09	ZZ up-up nb	2	0.95791088	2.00792499e-01	-0.4015849972	0.0000000000	-4.015850e-01	1.000000e+00	1.000000	18.091514
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi4	1.0890011397e-04	ZZ up-up nb	2	0.95791088	2.00792499e-01	-0.4015849972	-0.0000000000	-4.015850e-01	1.000000e+00	1.000000	18.091514
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi8	3.6270063213e-01	ZZ up-up nb	2	0.99947060	2.12788006e-02	-0.4015849972	-0.3590273959	-4.255760e-02	1.059741e-01	15.178127	18.091514
1	64	64	cylinder	true	2.0	-53.4872238007	2.767e-09	chi16	7.5229889693e-01	ZZ up-up nb	2	0.99997724	4.37845173e-03	-0.4015849972	-0.3928280937	-8.756903e-03	2.180585e-02	17.945670	18.091514
