L	doping	site	observable	pure	absA	prior	true	Delta	absDelta	F_window	infid	D_trace	F_supp	infid_supp	D_supp	nsupp	G_theory	G_max
16	0.0	2	n	false	0	chi2	1.0000000000004123	4.1233683134578314e-13	4.1233683134578314e-13	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.8015081938892338	0.19849180611076622	0.19849180611076628	2	NaN	NaN
16	0.0	2	Sz	false	0	chi2	1.5856201768249534e-11	8.32094306651987e-10	8.32094306651987e-10	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.8015081938892338	0.19849180611076622	0.19849180611076628	2	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi2	0.09924590305558903	0.09924590305558903	0.09924590305558903	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.8015081938892338	0.19849180611076622	0.19849180611076628	2	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi2	-0.6030163877784674	0.39698361222153256	0.39698361222153256	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.8015081938892338	0.19849180611076622	0.19849180611076628	2	2.250539100453945	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi2	-0.3246202548466486	-0.32462025484664875	0.32462025484664875	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.9729222161580303	0.027077783841969683	0.16231012742332437	2	0.999999999999999	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi2	-0.06579499793592983	-0.06579499793592987	0.06579499793592987	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.6251171873166854	0.3748828126833146	0.49618559814012164	4	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi2	0.37651192422886853	0.37651192422886853	0.37651192422886853	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.7792880380877828	0.2207119619122172	0.3441617292052829	3	NaN	NaN
16	0.0	2	n	false	0	chi4	1.0000000000004123	6.839650845691381e-9	6.839650845691381e-9	0.8930986311298793	0.1069013688701207	0.30943990815281425	0.9994708070443369	0.0005291929556631159	0.01802713998000595	2	NaN	NaN
16	0.0	2	Sz	false	0	chi4	1.5856201768249534e-11	1.3864458196094498e-8	1.3864458196094498e-8	0.8930986311298793	0.1069013688701207	0.30943990815281425	0.9994708070443369	0.0005291929556631159	0.01802713998000595	2	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi4	0.09924590305558903	0.009013573409828057	0.009013573409828057	0.8930986311298793	0.1069013688701207	0.30943990815281425	0.9994708070443369	0.0005291929556631159	0.01802713998000595	2	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi4	-0.6030163877784674	0.03605427996001187	0.03605427996001187	0.8930986311298793	0.1069013688701207	0.30943990815281425	0.9994708070443369	0.0005291929556631159	0.01802713998000595	2	43.83308955376548	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi4	-0.3246202548466486	-0.2868376439421034	0.2868376439421034	0.8930986311298793	0.1069013688701207	0.30943990815281425	0.9787170416897087	0.021282958310291256	0.14341882197105169	2	1.2501883670518756	11.470303793608025
