W	LX	nsites	geometry	U	method	chi	quantity	i	j	value
1	8	8	cylinder	4.0	exact	0	E	0	0	-4.235806999130
1	8	8	cylinder	4.0	exact	0	Hvar	0	0	0.000000000002
1	8	8	cylinder	4.0	exact	0	chi_reached	0	0	163.000000000000
1	8	8	cylinder	4.0	trunc	2	E	0	0	0.000000000000
1	8	8	cylinder	4.0	trunc	2	chi_reached	0	0	2.000000000000
1	8	8	cylinder	4.0	trunc	2	ZZ onsite	4	5	-1.000000000000
1	8	8	cylinder	4.0	trunc	2	ZZ up-up nb	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	2	SzSz nb	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	2	SxSx nb	4	5	0.000000000000
1	8	8	cylinder	4.0	trunc	2	DoubleOcc	4	5	0.000000000000
1	8	8	cylinder	4.0	trunc	2	n	4	5	1.000000000000
1	8	8	cylinder	4.0	trunc	2	Sz	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	2	mz_max	0	0	0.000000000000
1	8	8	cylinder	4.0	trunc	4	E	0	0	-3.313188726915
1	8	8	cylinder	4.0	trunc	4	chi_reached	0	0	4.000000000000
1	8	8	cylinder	4.0	trunc	4	ZZ onsite	4	5	-0.698223119263
1	8	8	cylinder	4.0	trunc	4	ZZ up-up nb	4	5	0.000000000000
1	8	8	cylinder	4.0	trunc	4	SzSz nb	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	4	SxSx nb	4	5	0.000000000000
1	8	8	cylinder	4.0	trunc	4	DoubleOcc	4	5	0.075444220184
1	8	8	cylinder	4.0	trunc	4	n	4	5	1.000000000000
1	8	8	cylinder	4.0	trunc	4	Sz	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	4	mz_max	0	0	0.000000000000
1	8	8	cylinder	4.0	trunc	8	E	0	0	-4.208572096331
1	8	8	cylinder	4.0	trunc	8	chi_reached	0	0	8.000000000000
1	8	8	cylinder	4.0	trunc	8	ZZ onsite	4	5	-0.602896748761
1	8	8	cylinder	4.0	trunc	8	ZZ up-up nb	4	5	-0.339346120732
1	8	8	cylinder	4.0	trunc	8	SzSz nb	4	5	-0.069703620426
1	8	8	cylinder	4.0	trunc	8	SxSx nb	4	5	-0.069703620426
1	8	8	cylinder	4.0	trunc	8	DoubleOcc	4	5	0.099275812810
1	8	8	cylinder	4.0	trunc	8	n	4	5	1.000000000000
1	8	8	cylinder	4.0	trunc	8	Sz	4	5	-0.000000000000
1	8	8	cylinder	4.0	trunc	8	mz_max	0	0	0.000000000000
1	8	8	cylinder	4.0	trunc	16	E	0	0	-4.232690482640
1	8	8	cylinder	4.0	trunc	16	chi_reached	0	0	16.000000000000
1	8	8	cylinder	4.0	trunc	16	ZZ onsite	4	5	-0.599826025468
1	8	8	cylinder	4.0	trunc	16	ZZ up-up nb	4	5	-0.343500891685
1	8	8	cylinder	4.0	trunc	16	SzSz nb	4	5	-0.069796779698
1	8	8	cylinder	4.0	trunc	16	SxSx nb	4	5	-0.069796779698
