W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi2	3.5854681801e-01	ZZ onsite	2	0.96432322	3.56767824e-02	-0.9286464352	-1.0000000000	7.135356e-02	7.683609e-02	130.119921	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi4	8.5446690976e-01	ZZ onsite	2	0.99783896	1.52196074e-02	-0.9286464352	-0.9590856500	3.043921e-02	3.277805e-02	349.102584	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi8	9.8680134051e-01	ZZ onsite	2	0.99999792	5.32679299e-04	-0.9286464352	-0.9297117938	1.065359e-03	1.147217e-03	557.622982	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi16	9.9990524741e-01	ZZ onsite	2	1.00000000	4.21437198e-06	-0.9286464352	-0.9286548639	8.428744e-06	9.076376e-06	558.031757	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi32	9.9999059313e-01	ZZ onsite	2	1.00000000	2.57495498e-06	-0.9286464352	-0.9286515851	5.149910e-06	5.545609e-06	558.031773	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi64	9.9999998719e-01	ZZ onsite	2	1.00000000	4.42856680e-09	-0.9286464352	-0.9286464440	8.857133e-09	9.537680e-09	558.031782	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi128	9.9999999998e-01	ZZ onsite	2	1.00000000	8.58371013e-12	-0.9286464352	-0.9286464352	1.716594e-11	1.848490e-11	558.031782	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	UHF	3.2514113296e-02	ZZ onsite	2	0.52639311	4.90448964e-01	-0.9286464352	-0.9456014614	1.695503e-02	1.825778e-02	470.640959	558.031782
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi2	3.5854681801e-01	ZZ up-up nb	2	0.94413478	2.29661263e-01	-0.4593225255	0.0000000000	-4.593225e-01	1.000000e+00	1.000000	24.768042
1	16	16	cylinder	true	12.0	-3.4619066170	3.637e-11	chi4	8.5446690976e-01	ZZ up-up nb	2	0.99998743	3.15558965e-03	-0.4593225255	-0.4530113462	-6.311179e-03	1.374019e-02	24.657398	24.768042
