L	bc	chi_prior	observable	true	Delta	prior_fid	G	G_max	S_center
16	OBC	2	n	1.0000000000031462	3.1437075165285933e-12	0.09698363894929814	1.0000000879861013	0.9999999999117363	0.9397487371952121
16	OBC	4	n	1.0000000000031462	3.498911160804141e-10	0.4016685126061726	1.0000000004668825	0.9999999999117363	0.9397487371952121
16	OBC	8	n	1.0000000000031462	-4.035489720166652e-10	0.9531835467117187	0.9999999995667898	0.9999999999117363	0.9397487371952121
16	OBC	16	n	1.0000000000031462	-7.454747930069061e-11	0.9951061218818672	0.999999999169274	0.9999999999117363	0.9397487371952121
16	OBC	32	n	1.0000000000031462	1.2396750292964498e-12	0.9998374728452567	0.9999999999004187	0.9999999999117363	0.9397487371952121
16	OBC	2	Sz	4.605535397494975e-11	4.615196204371674e-8	0.09698363894929814	1.0000000891160081	0.9999999999111564	0.9397487371952121
16	OBC	4	Sz	4.605535397494975e-11	2.6905644379127125e-10	0.4016685126061726	1.0000000004117102	0.9999999999111564	0.9397487371952121
16	OBC	8	Sz	4.605535397494975e-11	-1.5555903440378493e-10	0.9531835467117187	0.9999999996329682	0.9999999999111564	0.9397487371952121
16	OBC	16	Sz	4.605535397494975e-11	-3.844028706456726e-10	0.9951061218818672	0.9999999991723122	0.9999999999111564	0.9397487371952121
16	OBC	32	Sz	4.605535397494975e-11	-6.007930264395611e-12	0.9998374728452567	0.9999999998994754	0.9999999999111564	0.9397487371952121
16	OBC	2	DoubleOcc	0.10035737701095326	0.10035737701095326	0.09698363894929814	2.0431545528979416	28.40693881969507	0.9397487371952121
16	OBC	4	DoubleOcc	0.10035737701095326	0.0354315341390202	0.4016685126061726	10.571105308592998	28.40693881969507	0.9397487371952121
16	OBC	8	DoubleOcc	0.10035737701095326	-0.000593972905348239	0.9531835467117187	28.452554985214842	28.40693881969507	0.9397487371952121
16	OBC	16	DoubleOcc	0.10035737701095326	0.00039633035786867943	0.9951061218818672	28.362716895540956	28.40693881969507	0.9397487371952121
16	OBC	32	DoubleOcc	0.10035737701095326	-2.200075896546805e-6	0.9998374728452567	28.407153628302726	28.40693881969507	0.9397487371952121
16	OBC	2	ZZ onsite	-0.5985704919624784	0.4014295080375241	0.09698363894929814	2.118870995003435	52.67059129621899	0.9397487371952121
16	OBC	4	ZZ onsite	-0.5985704919624784	0.14172613585630023	0.4016685126061726	12.978444900397816	52.67059129621899	0.9397487371952121
16	OBC	8	ZZ onsite	-0.5985704919624784	-0.002375890814294346	0.9531835467117187	52.74269029269378	52.67059129621899	0.9397487371952121
16	OBC	16	ZZ onsite	-0.5985704919624784	0.0015853215805679	0.9951061218818672	52.57451413567401	52.67059129621899	0.9397487371952121
16	OBC	32	ZZ onsite	-0.5985704919624784	-8.800306063982966e-6	0.9998374728452567	52.671017910667054	52.67059129621899	0.9397487371952121
16	OBC	2	ZZ up-up r=1	-0.39780486066224496	-0.05588935080957258	0.09698363894929814	14.44165452928633	20.627219365196943	0.9397487371952121
16	OBC	4	ZZ up-up r=1	-0.39780486066224496	-0.3369432642820979	0.4016685126061726	1.3637969379359545	20.627219365196943	0.9397487371952121
16	OBC	8	ZZ up-up r=1	-0.39780486066224496	-0.004365508255016415	0.9531835467117187	20.50338543542962	20.627219365196943	0.9397487371952121
16	OBC	16	ZZ up-up r=1	-0.39780486066224496	-0.002436075639372981	0.9951061218818672	20.56967752720945	20.627219365196943	0.9397487371952121
16	OBC	32	ZZ up-up r=1	-0.39780486066224496	-0.00014386710891706178	0.9998374728452567	20.624641053785727	20.627219365196943	0.9397487371952121
16	OBC	2	SzSz r=1	-0.08155407387047414	0.003924803592693954	0.09698363894929814	10.34320586532981	13.058075046030401	0.9397487371952121
16	OBC	4	SzSz r=1	-0.08155407387047414	-0.0663386747754374	0.4016685126061726	1.4300644016824648	13.058075046030401	0.9397487371952121
16	OBC	8	SzSz r=1	-0.08155407387047414	-0.00078730331074639	0.9531835467117187	12.890687850343415	13.058075046030401	0.9397487371952121
16	OBC	16	SzSz r=1	-0.08155407387047414	-0.0002421184779800023	0.9951061218818672	13.002389224081872	13.058075046030401	0.9397487371952121
