W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	16	torus	4.0	1.048e-09	UHF	dist	1	7	hopU	0.003629459554
1	16	torus	4.0	1.048e-09	UHF	dist	1	8	FF	0.349654711019
1	16	torus	4.0	1.048e-09	UHF	dist	1	8	hopU	-0.001401878295
1	16	torus	4.0	1.048e-09	UHF	dist	1	9	FF	0.349649819253
1	16	torus	4.0	1.048e-09	UHF	dist	1	9	hopU	-0.001473456203
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Za	-0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zab	-1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zabc	-0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zabcd	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zabd	0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zac	-1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zacd	0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zad	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zb	0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zbc	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zbcd	-0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zbd	-1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zc	0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zcd	-1.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	Zd	-0.000000000002
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopD	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopD_Za	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopD_Zc	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopU_Zb	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	bond	1	2	hopU_Zd	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	2	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	2	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	3	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	3	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	4	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	4	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	5	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	5	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	6	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	6	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	7	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	7	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	8	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	8	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	9	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi2	dist	1	9	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Za	-0.000000000001
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zab	-0.735830679972
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zabc	0.000000000001
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zabcd	1.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zabd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zac	-0.851314198902
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zacd	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zad	0.587144878874
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zb	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zbc	0.587144878874
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zbcd	-0.000000000001
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zbd	-0.851314198902
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zcd	-0.735830679972
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	Zd	0.000000000001
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopD	0.632167596409
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopD_Za	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopD_Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopU	0.632167596412
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopU_Zb	-0.000000000000
1	16	torus	4.0	1.048e-09	chi4	bond	1	2	hopU_Zd	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	2	FF	1.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	2	hopU	0.632167596412
1	16	torus	4.0	1.048e-09	chi4	dist	1	3	FF	0.568762618282
1	16	torus	4.0	1.048e-09	chi4	dist	1	3	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	4	FF	0.568762618282
1	16	torus	4.0	1.048e-09	chi4	dist	1	4	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	5	FF	0.567350214486
1	16	torus	4.0	1.048e-09	chi4	dist	1	5	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	6	FF	0.567350214486
1	16	torus	4.0	1.048e-09	chi4	dist	1	6	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	7	FF	0.571572493752
1	16	torus	4.0	1.048e-09	chi4	dist	1	7	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	8	FF	0.571572493752
1	16	torus	4.0	1.048e-09	chi4	dist	1	8	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi4	dist	1	9	FF	0.574900787976
1	16	torus	4.0	1.048e-09	chi4	dist	1	9	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Za	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zab	-0.745707493696
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zabc	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zabcd	0.786106069754
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zabd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zac	-0.699874709585
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zacd	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zad	0.478545091727
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zb	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zbc	0.478545091726
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zbcd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zbd	-0.699874709585
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zc	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zcd	-0.597739340341
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	Zd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopD	0.569835908704
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopD_Za	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopD_Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopU	0.569835908704
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopU_Zb	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	bond	1	2	hopU_Zd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	dist	1	2	FF	0.786106069754
1	16	torus	4.0	1.048e-09	chi8	dist	1	2	hopU	0.569835908704
1	16	torus	4.0	1.048e-09	chi8	dist	1	3	FF	0.478206765567
1	16	torus	4.0	1.048e-09	chi8	dist	1	3	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi8	dist	1	4	FF	0.460776812899
1	16	torus	4.0	1.048e-09	chi8	dist	1	4	hopU	-0.132743958620
1	16	torus	4.0	1.048e-09	chi8	dist	1	5	FF	0.462682222420
1	16	torus	4.0	1.048e-09	chi8	dist	1	5	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	dist	1	6	FF	0.461768333297
1	16	torus	4.0	1.048e-09	chi8	dist	1	6	hopU	0.033587362750
1	16	torus	4.0	1.048e-09	chi8	dist	1	7	FF	0.462600989223
1	16	torus	4.0	1.048e-09	chi8	dist	1	7	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	chi8	dist	1	8	FF	0.463000310009
1	16	torus	4.0	1.048e-09	chi8	dist	1	8	hopU	-0.008477723903
1	16	torus	4.0	1.048e-09	chi8	dist	1	9	FF	0.462519907677
1	16	torus	4.0	1.048e-09	chi8	dist	1	9	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Za	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zab	-0.708971705101
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zabc	-0.000000000001
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zabcd	0.729921829468
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zabd	0.000000000001
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zac	-0.640524523470
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zacd	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zad	0.434508879008
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zb	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zbc	0.434508879008
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zbcd	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zbd	-0.640524523469
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zcd	-0.594402716551
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	Zd	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopD	0.542335572467
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopD_Za	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopD_Zc	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopU	0.542335572468
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopU_Zb	-0.000000000000
1	16	torus	4.0	1.048e-09	chi16	bond	1	2	hopU_Zd	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	dist	1	2	FF	0.729921829468
1	16	torus	4.0	1.048e-09	chi16	dist	1	2	hopU	0.542335572468
1	16	torus	4.0	1.048e-09	chi16	dist	1	3	FF	0.435402658915
1	16	torus	4.0	1.048e-09	chi16	dist	1	3	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	dist	1	4	FF	0.426213097681
1	16	torus	4.0	1.048e-09	chi16	dist	1	4	hopU	-0.122312198655
1	16	torus	4.0	1.048e-09	chi16	dist	1	5	FF	0.421844341960
1	16	torus	4.0	1.048e-09	chi16	dist	1	5	hopU	0.000000000001
1	16	torus	4.0	1.048e-09	chi16	dist	1	6	FF	0.418970230361
1	16	torus	4.0	1.048e-09	chi16	dist	1	6	hopU	0.051472878923
1	16	torus	4.0	1.048e-09	chi16	dist	1	7	FF	0.440393757914
1	16	torus	4.0	1.048e-09	chi16	dist	1	7	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	chi16	dist	1	8	FF	0.444301958891
1	16	torus	4.0	1.048e-09	chi16	dist	1	8	hopU	-0.018033484042
1	16	torus	4.0	1.048e-09	chi16	dist	1	9	FF	0.442767979134
1	16	torus	4.0	1.048e-09	chi16	dist	1	9	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	chi32	bond	1	2	Za	0.000000000000
1	16	torus	4.0	1.048e-09	chi32	bond	1	2	Zab	-0.611995424406
