L	n_u	seed	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	50	0	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	30.691101998781473	NaN	0.10923976032753502
16	50	0	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	30.744233626046455	NaN	0.10923976032753502
16	50	0	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	30.744378710424154	NaN	0.10923976032753502
16	50	0	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	14.42541654641577	NaN	0.12113059083110135
16	50	0	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4456775255224776	NaN	0.12113059083110135
16	50	0	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	17.37469128955989	NaN	0.12113059083110135
16	50	0	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	17.46337568689061	NaN	0.12113059083110135
16	50	0	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	17.466324162931482	NaN	0.12113059083110135
16	50	0	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11375341372061493
16	50	0	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11375341372061493
16	50	0	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	23.66351581951183	NaN	0.11375341372061493
16	50	0	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	24.17760216945716	NaN	0.11375341372061493
16	50	0	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	24.185623216758785	NaN	0.11375341372061493
16	50	0	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.266683363186046	42.386531746891016	0.14832290804794893
16	50	0	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	42.52874298302848	42.386531746891016	0.14832290804794893
16	50	0	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	44.15888157312189	42.386531746891016	0.14832290804794893
16	50	0	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	44.8573533628678	42.386531746891016	0.14832290804794893
16	50	0	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	44.86025788705268	42.386531746891016	0.14832290804794893
16	50	0	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.1081135808529914
16	50	0	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.454159401601326	NaN	0.1081135808529914
16	50	0	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	11.05754904852965	NaN	0.1081135808529914
16	50	0	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	11.219190771105001	NaN	0.1081135808529914
16	50	0	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	11.216808693411863	NaN	0.1081135808529914
16	50	1	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	1.000000269394029	NaN	1.1863760528636579e-9
16	50	1	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	1.0000000168921315	NaN	1.1863760528636579e-9
16	50	1	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	1.0000000000752298	NaN	1.1863760528636579e-9
16	50	1	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	1.00000000024291	NaN	1.1863760528636579e-9
16	50	1	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	1.0000000002313012	NaN	1.1863760528636579e-9
16	50	1	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.3380572709688976	50.58961184532023	0.11024580017332608
16	50	1	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	15.27703936303353	50.58961184532023	0.11024580017332608
16	50	1	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	52.412613795383166	50.58961184532023	0.11024580017332608
16	50	1	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	52.771263310814746	50.58961184532023	0.11024580017332608
16	50	1	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	52.77245112323995	50.58961184532023	0.11024580017332608
16	50	1	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	16.88835234738371	17.675482778502886	0.11608747706979258
16	50	1	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3740255826339145	17.675482778502886	0.11608747706979258
16	50	1	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	24.04905948947035	17.675482778502886	0.11608747706979258
16	50	1	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	24.051045458772524	17.675482778502886	0.11608747706979258
16	50	1	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	24.048888573541586	17.675482778502886	0.11608747706979258
16	50	1	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.2967313819173776	NaN	0.09070011487174814
16	50	1	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	12.604033399175375	NaN	0.09070011487174814
16	50	1	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	29.48406479705394	NaN	0.09070011487174814
16	50	1	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	29.598454474144773	NaN	0.09070011487174814
16	50	1	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	29.59883351157239	NaN	0.09070011487174814
16	50	1	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	11.269838105709981	NaN	0.13193082975914946
16	50	1	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.440501136381378	NaN	0.13193082975914946
16	50	1	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	13.791732807641944	NaN	0.13193082975914946
16	50	1	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	14.021603474306616	NaN	0.13193082975914946
16	50	1	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	14.026865314337114	NaN	0.13193082975914946
16	50	1	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11301645737808289
16	50	1	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11301645737808289
16	50	1	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	18.800528992408022	NaN	0.11301645737808289
16	50	1	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	18.98185879984576	NaN	0.11301645737808289
16	50	1	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	18.98416232611394	NaN	0.11301645737808289
16	50	1	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.5397509777879395	42.386531746891016	0.1617955636720267
16	50	1	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	60.406819128859574	42.386531746891016	0.1617955636720267
16	50	1	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	59.73469829037805	42.386531746891016	0.1617955636720267
16	50	1	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	59.02226134256511	42.386531746891016	0.1617955636720267
16	50	1	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	59.0184459047329	42.386531746891016	0.1617955636720267
16	50	1	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.10744659217868704
16	50	1	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	6.554451898231055	NaN	0.10744659217868704
16	50	1	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	11.147468471138398	NaN	0.10744659217868704
16	50	1	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	11.132022956815264	NaN	0.10744659217868704
16	50	1	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	11.133376504372293	NaN	0.10744659217868704
16	50	2	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	1.000000076149522	NaN	9.733897016809673e-10
16	50	2	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999997629181	NaN	9.733897016809673e-10
16	50	2	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	1.0000000005071716	NaN	9.733897016809673e-10
16	50	2	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	1.0000000000798444	NaN	9.733897016809673e-10
16	50	2	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	1.0000000000700136	NaN	9.733897016809673e-10
16	50	2	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.1573272760457733	50.58961184532023	0.13662938078942957
16	50	2	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	13.240213611563215	50.58961184532023	0.13662938078942957
16	50	2	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	50.414584100563935	50.58961184532023	0.13662938078942957
16	50	2	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	50.42830113012428	50.58961184532023	0.13662938078942957
16	50	2	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	50.42820630229698	50.58961184532023	0.13662938078942957
16	50	2	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	12.413594496926454	17.675482778502886	0.10413072998090965
16	50	2	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3567125123547796	17.675482778502886	0.10413072998090965
16	50	2	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	16.767623284104143	17.675482778502886	0.10413072998090965
16	50	2	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	16.866121379926618	17.675482778502886	0.10413072998090965
16	50	2	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	16.868461334154887	17.675482778502886	0.10413072998090965
16	50	2	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.029855325683625	NaN	0.11517244602208596
16	50	2	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	10.219330499723068	NaN	0.11517244602208596
16	50	2	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	26.203398260168694	NaN	0.11517244602208596
16	50	2	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	26.161138857544646	NaN	0.11517244602208596
16	50	2	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	26.160942808917895	NaN	0.11517244602208596
16	50	2	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	10.296796232800537	NaN	0.10692584236843553
16	50	2	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4214822585945743	NaN	0.10692584236843553
16	50	2	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	11.97992668821094	NaN	0.10692584236843553
16	50	2	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	12.108489545772546	NaN	0.10692584236843553
16	50	2	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	12.113679995843738	NaN	0.10692584236843553
16	50	2	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.1206318262848031
16	50	2	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.1206318262848031
16	50	2	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	24.268133633385194	NaN	0.1206318262848031
16	50	2	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	24.40980549925504	NaN	0.1206318262848031
16	50	2	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	24.410568829216142	NaN	0.1206318262848031
16	50	2	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.4848630468672999	42.386531746891016	0.1512322374738468
16	50	2	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	44.891103846022716	42.386531746891016	0.1512322374738468
16	50	2	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	44.85689025844084	42.386531746891016	0.1512322374738468
16	50	2	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	44.63161638270035	42.386531746891016	0.1512322374738468
16	50	2	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	44.630252572982215	42.386531746891016	0.1512322374738468
16	50	2	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.12255390212669727
16	50	2	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.139190741002224	NaN	0.12255390212669727
16	50	2	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	11.850142356760685	NaN	0.12255390212669727
16	50	2	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	11.69040586926848	NaN	0.12255390212669727
16	50	2	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	11.693109481476798	NaN	0.12255390212669727
16	50	3	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	0.9999997218952542	NaN	1.117603896985017e-9
16	50	3	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999694842819	NaN	1.117603896985017e-9
16	50	3	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	1.0000000011901802	NaN	1.117603896985017e-9
16	50	3	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	0.9999999997784096	NaN	1.117603896985017e-9
16	50	3	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	0.999999999773306	NaN	1.117603896985017e-9
16	50	3	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.144518295203085	50.58961184532023	0.10825917891396086
16	50	3	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	13.165257381688479	50.58961184532023	0.10825917891396086
16	50	3	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	51.392489859912565	50.58961184532023	0.10825917891396086
16	50	3	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	51.37917705929143	50.58961184532023	0.10825917891396086
16	50	3	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	51.3789757231087	50.58961184532023	0.10825917891396086
16	50	3	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	14.269510622940773	17.675482778502886	0.12386197307158404
16	50	3	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3707035492567645	17.675482778502886	0.12386197307158404
16	50	3	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	18.42014841430936	17.675482778502886	0.12386197307158404
16	50	3	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	18.36951362169022	17.675482778502886	0.12386197307158404
16	50	3	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	18.36649338295432	17.675482778502886	0.12386197307158404
16	50	3	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.180715313170574	NaN	0.10176169997085804
16	50	3	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	12.084637377976108	NaN	0.10176169997085804
16	50	3	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	32.761273061881525	NaN	0.10176169997085804
16	50	3	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	32.80781933305689	NaN	0.10176169997085804
16	50	3	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	32.80793217721608	NaN	0.10176169997085804
16	50	3	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	10.556091724848587	NaN	0.10729455820479052
16	50	3	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4425395030968668	NaN	0.10729455820479052
16	50	3	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	11.851094054845893	NaN	0.10729455820479052
16	50	3	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	11.875835387205711	NaN	0.10729455820479052
16	50	3	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	11.876129960495007	NaN	0.10729455820479052
16	50	3	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.1036318747224718
16	50	3	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.1036318747224718
16	50	3	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	22.859010766139207	NaN	0.1036318747224718
16	50	3	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	22.882625290778634	NaN	0.1036318747224718
16	50	3	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	22.881385266022424	NaN	0.1036318747224718
16	50	3	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.2911376804597565	42.386531746891016	0.17665540471821534
16	50	3	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	38.825434804959215	42.386531746891016	0.17665540471821534
16	50	3	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	39.986434530910245	42.386531746891016	0.17665540471821534
16	50	3	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	40.455076735706506	42.386531746891016	0.17665540471821534
16	50	3	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	40.456968727472216	42.386531746891016	0.17665540471821534
16	50	3	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.10964434302649556
16	50	3	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.020207579614502	NaN	0.10964434302649556
16	50	3	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	12.735226588331031	NaN	0.10964434302649556
16	50	3	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	12.908130575154614	NaN	0.10964434302649556
16	50	3	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	12.907321718058064	NaN	0.10964434302649556
16	50	4	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	0.9999998502836829	NaN	1.0345151411759608e-9
16	50	4	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999997212619	NaN	1.0345151411759608e-9
16	50	4	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	0.9999999990750902	NaN	1.0345151411759608e-9
16	50	4	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	0.9999999998446845	NaN	1.0345151411759608e-9
16	50	4	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	0.9999999998630388	NaN	1.0345151411759608e-9
16	50	4	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.1375486920002515	50.58961184532023	0.12217449697016586
16	50	4	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	13.206383209267006	50.58961184532023	0.12217449697016586
16	50	4	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	53.593641421843216	50.58961184532023	0.12217449697016586
16	50	4	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	53.559463499637644	50.58961184532023	0.12217449697016586
16	50	4	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	53.559171073912026	50.58961184532023	0.12217449697016586
16	50	4	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	14.884049860966954	17.675482778502886	0.11774256212255903
16	50	4	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3711515909845868	17.675482778502886	0.11774256212255903
16	50	4	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	19.750736163328934	17.675482778502886	0.11774256212255903
16	50	4	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	19.718315051528165	17.675482778502886	0.11774256212255903
16	50	4	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	19.715718467416245	17.675482778502886	0.11774256212255903
16	50	4	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	1.9725741186422474	NaN	0.09951082641954057
16	50	4	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	10.300426111187114	NaN	0.09951082641954057
16	50	4	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	30.801703349915673	NaN	0.09951082641954057
16	50	4	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	30.68568186521411	NaN	0.09951082641954057
16	50	4	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	30.68519707044643	NaN	0.09951082641954057
16	50	4	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	12.782587792868926	NaN	0.11918685066149456
16	50	4	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4442022457426829	NaN	0.11918685066149456
16	50	4	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	14.899599112243187	NaN	0.11918685066149456
16	50	4	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	15.026033042009638	NaN	0.11918685066149456
16	50	4	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	15.030292441093302	NaN	0.11918685066149456
16	50	4	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11582750470170398
16	50	4	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11582750470170398
16	50	4	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	23.162556605586495	NaN	0.11582750470170398
16	50	4	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	23.019171195330973	NaN	0.11582750470170398
16	50	4	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	23.01477835070724	NaN	0.11582750470170398
16	50	4	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.4928418876990757	42.386531746891016	0.18858211881199555
16	50	4	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	60.892668545292665	42.386531746891016	0.18858211881199555
16	50	4	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	60.78280566044437	42.386531746891016	0.18858211881199555
16	50	4	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	60.34335642397157	42.386531746891016	0.18858211881199555
16	50	4	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	60.34073830698985	42.386531746891016	0.18858211881199555
16	50	4	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.12898445422552332
16	50	4	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.066440715189883	NaN	0.12898445422552332
16	50	4	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	11.624159870963798	NaN	0.12898445422552332
16	50	4	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	11.628196706040944	NaN	0.12898445422552332
16	50	4	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	11.629135526106774	NaN	0.12898445422552332
16	50	5	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	0.9999999088137344	NaN	1.063052480356319e-9
16	50	5	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	1.00000000351671	NaN	1.063052480356319e-9
