L	bc	E_ed	E_dmrg	dE	maxlinkdim	S_center	fid	max_obs_diff	max_dp	max_tv	ndraw	exp_flips
8	OBC	-20.23580699912967	-20.235806999068416	6.125588924987824e-11	131	0.7814283547834656	0.9999999999953701	1.389646619998075e-9	3.802648612660775e-10	1.0077237038537065e-9	17500000	0.017635164817439864
8	PBC	-20.6035262999892	-20.603526299984363	4.835243316847482e-12	255	1.7519906007535346	0.9999999999998015	3.443700880012557e-11	2.6306901101946778e-11	1.563150134505087e-10	17500000	0.002735512735383902
12	OBC	-30.526243384454535	-30.526243384335817	1.1871748029079754e-10	248	0.8767247884706465	0.9999999999876805	3.3148328526522164e-10	8.752371050135821e-11	2.8293018188713104e-10	27500000	0.0077805800018961035
12	PBC	-30.920353562418583	-30.92035355235913	1.0059451938104758e-8	1024	1.9347371397547306	0.9999999992534847	2.8701506837869317e-8	9.490193075833986e-9	4.137017700655589e-8	27500000	1.1376798676802868
14	OBC	-35.67234967198368	-35.672349671819994	1.6368773003705428e-10	297	1.1766148321646237	NaN	4.610656301196059e-10	1.1071810135376836e-10	4.1203235441600317e-10	32500000	0.013391051518520103
14	PBC	-36.08834910386226	-36.088348824416876	2.794453806131969e-7	1024	2.01878840410458	NaN	3.115171408607509e-7	8.071316115465521e-8	2.521805499066873e-7	32500000	8.195867871967337
