set	observable	true	err_shadow	err_crm	err_derand	bias_derand
SetA(structured)	docc(s5)	0.09948758890027065	0.05002725981040667	0.012392291693044058	0.008463340892713075	0.0002735148261965581
SetA(structured)	docc(s6)	0.10059007031376047	0.06296140361227331	0.01075367072457877	0.006068537656090058	0.0010815517952419418
SetA(structured)	docc(s7)	0.1000683324420921	0.05131514799543213	0.011792826269924459	0.007420693933402899	0.00021129540505503142
SetA(structured)	docc(s8)	0.10035720407424081	0.05887189921551181	0.012002808930259536	0.008182291505516923	5.575888872214052e-5
SetA(structured)	docc(s9)	0.10035721718562146	0.059117405103800834	0.013349862172102638	0.008663339907395498	0.0005046346662303941
SetA(structured)	docc(s10)	0.10006833261560874	0.055740551387347397	0.008681833380683616	0.006825737411893327	0.0012879622452383749
SetA(structured)	docc(s11)	0.10059007259515226	0.06738699659685708	0.010993666972070085	0.006871167510288825	0.001562149627069978
SetA(structured)	SzSz(5)	-0.13529504012972415	0.03125498770541299	0.0053673574529965766	0.0032032319870460937	0.00045190431472030834
SetA(structured)	hop(5)	0.5594900271077139	0.34195404954467196	0.045026267957027105	0.01722590406432514	0.0017191937743805674
SetA(structured)	SzSz(6)	-0.08047293292619503	0.017601846494047148	0.004888116887573267	0.003599645700847975	0.0015228403336024349
SetA(structured)	hop(6)	0.41984196075990227	0.22003710032001728	0.042148988261815394	0.016704841338304622	0.0028419607599022845
SetA(structured)	SzSz(7)	-0.13280843391356995	0.030373382140822143	0.004952304678765793	0.004068627157827454	7.554756791150474e-5
SetA(structured)	hop(7)	0.5534719272086301	0.2673367686310077	0.04440445793731423	0.014894203049601486	0.0030969272086300847
SetA(structured)	SzSz(8)	-0.08155350863980432	0.018432102336730993	0.005410869094115013	0.004287641548810436	0.0020329530842487648
SetA(structured)	hop(8)	0.42271505682416793	0.17053672999052744	0.04248267397202332	0.020118508894639238	0.0012358901575012515
SetA(structured)	SzSz(9)	-0.13280843289741712	0.0319493661908965	0.004997930942173209	0.0033635544141797	9.454400852823563e-5
SetA(structured)	hop(9)	0.5534718836934149	0.35081274049918953	0.05417746713746217	0.00990891074804108	0.0008260503600816538
SetA(structured)	SzSz(10)	-0.08047293665952679	0.016836989950803214	0.007767697564761188	0.003985930632125354	0.0012049736965638463
SetA(structured)	hop(10)	0.4198419338948238	0.23647367047429654	0.04154520781834656	0.016187781529083383	5.3899438509641406e-5
SetA(structured)	ZZ r=1	-0.39780208635754033	0.19928965576906327	0.03320855560213989	0.02036355395067167	0.008802086357540262
SetA(structured)	ZZ r=2	0.1283913253766999	0.07291242550555734	0.05260002457562322	0.026560986849529674	0.008687621672996193
SetA(structured)	ZZ r=3	-0.08464140804198048	0.05054594632267925	0.04774342993300572	0.027459375672645735	0.0069377043382767845
SetA(structured)	ZZ r=4	0.08067412582155353	0.06122993182851128	0.04177576205165416	0.027541421003046223	0.009637088784516495
SetB(random)	rnd1	0.0	0.046319924959739085	0.046319924959739085	0.05026735672361901	0.001222222222222222
SetB(random)	rnd2	0.13054291356026967	0.05297425789947416	0.03460893545783765	0.02949544969031087	0.0027163456989895696
SetB(random)	rnd3	0.0	0.04021404798291777	0.04021404798291777	0.029719067759701807	0.003533333333333332
SetB(random)	rnd4	0.0	0.07445187290666597	0.07445187290666597	0.03809148093130838	0.006933333333333332
SetB(random)	rnd5	0.0	0.0487992085860077	0.0487992085860077	0.04356246524283498	0.013444444444444441
SetB(random)	rnd6	0.0	0.0627182863946063	0.0627182863946063	0.04593828944117978	0.002533333333333333
SetB(random)	rnd7	0.0	0.07733487235884348	0.07733487235884348	0.05165340949679584	0.0001666666666666659
SetB(random)	rnd8	0.0	0.04454191671703841	0.04454191671703841	0.040873133312971294	0.0010000000000000013
SetB(random)	rnd9	-1.8767789837465063e-6	0.07279383073518966	0.07279383485676894	0.0541446020489068	0.005498123221016254
SetB(random)	rnd10	0.0	0.03713333292061329	0.03713333292061329	0.04180773211896095	0.012095238095238095
SetB(random)	rnd11	0.0	0.050521184358301774	0.050521184358301774	0.05015928650796885	0.0033333333333333344
SetB(random)	rnd12	0.0	0.09137732307533301	0.09137732307533301	0.050781535697693225	0.0038333333333333344
SetB(random)	rnd13	-5.431689370734786e-10	0.05619722903955439	0.0561972290601028	0.03691504173793401	0.003666667209835604
SetB(random)	rnd14	0.0	0.050396453077162257	0.050396453077162257	0.04386730251434498	0.0010666666666666667
SetB(random)	rnd15	0.0	0.07091020061827588	0.07091020061827588	0.046615324795040596	0.008333333333333333
SetB(random)	rnd16	0.0	0.05596773454719091	0.05596773454719091	0.04326416525129594	0.010777777777777777
SetB(random)	rnd17	0.0	0.037793595516554986	0.037793595516554986	0.04815630150044528	0.012222222222222221
SetB(random)	rnd18	0.0	0.09082471788731492	0.09082471788731492	0.045463437374785406	0.0068000000000000005
SetB(random)	rnd19	0.0	0.09586601857405666	0.09586601857405666	0.035420706328101494	0.0038333333333333336
SetB(random)	rnd20	0.0	0.04649438675797323	0.04649438675797323	0.03264441340707793	0.009222222222222222
SetB(random)	rnd21	8.762435948269504e-9	0.06894598785556201	0.06894290067463119	0.03882527912134792	0.011333342095769281
SetB(random)	rnd22	0.0	0.05625088137240527	0.05625088137240527	0.04131093200895226	0.005599999999999999
SetB(random)	rnd23	0.0	0.07527922092747952	0.07527922092747952	0.0450144293596477	0.006666666666666667
SetB(random)	rnd24	0.0	0.04534009415441296	0.04534009415441296	0.03930364487727022	0.005777777777777778
SetB(random)	rnd25	0.0	0.07013455835650541	0.07013455835650541	0.05194050531092303	0.0026666666666666653
SetB(random)	rnd26	0.0	0.03967028245859646	0.03967028245859646	0.0463300668657562	0.0023333333333333344
SetB(random)	rnd27	1.408312891061636e-7	0.051063757307358654	0.05106329555147771	0.04187534868614477	0.0027998591687108934
SetB(random)	rnd28	0.0	0.06467159692071828	0.06467159692071828	0.059283073120585526	0.0009999999999999996
SetB(random)	rnd29	0.0	0.07687583540336658	0.07687583540336658	0.03245422270815845	0.007925925925925925
SetB(random)	rnd30	0.0	0.047010560809101244	0.047010560809101244	0.04035661791076406	0.005083333333333334
SetB(random)	rnd31	0.0	0.05701787741426004	0.05701787741426004	0.060342149183398495	0.007111111111111111
SetB(random)	rnd32	0.0	0.06294127312081446	0.06294127312081446	0.04108326280565629	0.0016000000000000016
SetB(random)	rnd33	0.07569265433788658	0.04971390147634763	0.0465218846291371	0.04067412244232445	0.008835511480743727
SetB(random)	rnd34	0.0	0.050412412264687616	0.050412412264687616	0.05746188141796224	0.004166666666666667
SetB(random)	rnd35	-2.3344116194560713e-7	0.039628203123011	0.03962801651844767	0.04211096452627668	0.012666433225504719
SetB(random)	rnd36	-1.5761454276874974e-6	0.058544624889465914	0.05854464866859075	0.04004292077845954	0.001220646076794534
SetB(random)	rnd37	0.0	0.08719163199330066	0.08719163199330066	0.04942892261424073	0.009333333333333336
SetB(random)	rnd38	1.0251600696127597e-7	0.09037486070957926	0.09037486192362126	0.04995659035142641	0.015166769182673625
SetB(random)	rnd39	0.0	0.0764587677929339	0.0764587677929339	0.04576175183528798	0.018000000000000002
SetB(random)	rnd40	0.0	0.0822739813063644	0.0822739813063644	0.04219583517063179	0.002833333333333334
SetB(random)	rnd41	0.0	0.08144443589301253	0.08144443589301253	0.04407809162066276	0.0034666666666666674
SetB(random)	rnd42	0.0	0.07382255332424054	0.07382255332424054	0.05150716945966966	0.012666666666666666
SetB(random)	rnd43	-6.238732013587377e-7	0.060742999596661296	0.060742672545842216	0.04477433840170444	0.007500623873201362
SetB(random)	rnd44	0.1283911887599623	0.06558376586341765	0.04374562421753864	0.031334356839528385	0.002127329758556201
SetB(random)	rnd45	0.0	0.08666416512746994	0.08666416512746994	0.04621357616355706	0.0020740740740740737
SetB(random)	rnd46	2.179545802685663e-10	0.03893058012623902	0.03893058015509512	0.046394389056087504	0.005777777995732357
SetB(random)	rnd47	0.0	0.04328612105354403	0.04328612105354403	0.036253447744910176	0.0028888888888888896
SetB(random)	rnd48	0.0	0.06801014123161947	0.06801014123161947	0.05667030076244299	0.006166666666666667
SetB(random)	rnd49	0.0	0.08153738977324745	0.08153738977324745	0.028696901101381622	0.005888888888888888
SetB(random)	rnd50	0.0	0.04517568464072924	0.04517568464072924	0.04578189171709053	0.006533333333333332
SetB(random)	rnd51	0.0	0.03699104831134707	0.03699104831134707	0.019841505608889316	0.00225
SetB(random)	rnd52	-4.824290157311194e-9	0.06204775913595187	0.062047757359535924	0.04094987123328947	0.01026667149095682
SetB(random)	rnd53	0.0	0.04454191671703841	0.04454191671703841	0.031606079029008166	0.003777777777777778
SetB(random)	rnd54	0.0	0.06032551698908181	0.06032551698908181	0.05905286935713068	0.0030000000000000027
SetB(random)	rnd55	0.008952659674735651	0.07333696626319944	0.07334687421169919	0.05119940732415589	0.002952659674735651
SetB(random)	rnd56	0.0	0.07218349032751233	0.07218349032751233	0.037989956325444704	0.008266666666666667
SetB(random)	rnd57	0.0	0.0547385358805369	0.0547385358805369	0.048253699756908644	0.0018333333333333348
SetB(random)	rnd58	0.0	0.06439424690516038	0.06439424690516038	0.05376919598414699	0.007333333333333334
SetB(random)	rnd59	0.42897275638955645	0.16265023527337047	0.04405353491824324	0.029461945689171383	0.0013431267599268715
SetB(random)	rnd60	-1.3798565940496593e-9	0.06863415456180537	0.06863416356120923	0.04101848320257713	0.0014444430645878502
SetB(random)	rnd61	0.0	0.06309763862459511	0.06309763862459511	0.04288986162119269	0.006333333333333333
SetB(random)	rnd62	0.0	0.07883889465450937	0.07883889465450937	0.04788065863440444	0.008833333333333335
SetB(random)	rnd63	0.0	0.04914915791890977	0.04914915791890977	0.05443612728715176	0.016133333333333333
SetB(random)	rnd64	0.0	0.058722975589363346	0.058722975589363346	0.055589836166852216	0.008333333333333333
SetB(random)	rnd65	0.0	0.0530665528792172	0.0530665528792172	0.029168171827610428	0.008055555555555557
SetB(random)	rnd66	0.0	0.037953089011531604	0.037953089011531604	0.04636520032056675	0.004
SetB(random)	rnd67	0.0	0.04015176725616324	0.04015176725616324	0.03950004231284312	0.008
SetB(random)	rnd68	0.0	0.07719171654684374	0.07719171654684374	0.03744875425701499	0.014933333333333335
SetB(random)	rnd69	0.0	0.0916007980691028	0.0916007980691028	0.046927481348854924	0.002133333333333334
SetB(random)	rnd70	0.0	0.045026888518474945	0.045026888518474945	0.042870948940869937	0.016555555555555556
