W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi2	8.6880919042e-03	ZZ onsite	2	0.92670791	7.32920935e-02	-0.8534158130	-1.0000000000	1.465842e-01	1.717617e-01	29.799325	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi4	3.0903634839e-01	ZZ onsite	2	0.99505410	3.23449678e-02	-0.8534158130	-0.9181057486	6.468994e-02	7.580119e-02	101.001844	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi8	8.5313250127e-01	ZZ onsite	2	0.99998663	1.89418798e-03	-0.8534158130	-0.8572041890	3.788376e-03	4.439074e-03	238.173298	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi16	9.9397637198e-01	ZZ onsite	2	0.99999999	4.10594270e-05	-0.8534158130	-0.8534979319	8.211885e-05	9.622373e-05	239.291143	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi32	9.9937736596e-01	ZZ onsite	2	1.00000000	2.32411023e-05	-0.8534158130	-0.8534622952	4.648220e-05	5.446607e-05	239.291502	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi64	9.9998969912e-01	ZZ onsite	2	1.00000000	5.22754083e-07	-0.8534158130	-0.8534168585	1.045508e-06	1.225086e-06	239.291671	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi128	9.9999988185e-01	ZZ onsite	2	1.00000000	9.47709256e-09	-0.8534158130	-0.8534158320	1.895419e-08	2.220979e-08	239.291671	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi256	9.9999999918e-01	ZZ onsite	2	1.00000000	7.12974853e-11	-0.8534158130	-0.8534158132	1.425976e-10	1.670904e-10	239.291671	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi512	1.0000000000e+00	ZZ onsite	2	1.00000000	3.46174478e-13	-0.8534158130	-0.8534158130	6.934453e-13	8.125527e-13	239.291671	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	UHF	1.8895832626e-04	ZZ onsite	2	0.55768008	4.76126280e-01	-0.8534158130	-0.8808493920	2.743358e-02	3.214562e-02	192.011445	239.291671
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi2	8.6880919042e-03	ZZ up-up nb	2	0.93201129	2.51726522e-01	-0.5034530441	0.0000000000	-5.034530e-01	1.000000e+00	1.000000	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi4	3.0903634839e-01	ZZ up-up nb	2	0.99985520	1.04693087e-02	-0.5034530441	-0.4825144268	-2.093862e-02	4.159001e-02	29.632808	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi8	8.5313250127e-01	ZZ up-up nb	2	0.99998764	3.04334461e-03	-0.5034530441	-0.4973663549	-6.086689e-03	1.208988e-02	31.042785	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi16	9.9397637198e-01	ZZ up-up nb	2	0.99999973	4.45291701e-04	-0.5034530441	-0.5025624607	-8.905834e-04	1.768950e-03	31.176777	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi32	9.9937736596e-01	ZZ up-up nb	2	0.99999997	1.39869046e-04	-0.5034530441	-0.5031733060	-2.797381e-04	5.556389e-04	31.179431	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi64	9.9998969912e-01	ZZ up-up nb	2	1.00000000	3.46399465e-06	-0.5034530441	-0.5034461161	-6.927989e-06	1.376094e-05	31.179721	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi128	9.9999988185e-01	ZZ up-up nb	2	1.00000000	4.55968121e-08	-0.5034530441	-0.5034529529	-9.119362e-08	1.811363e-07	31.179721	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi256	9.9999999918e-01	ZZ up-up nb	2	1.00000000	4.71897917e-10	-0.5034530441	-0.5034530432	-9.437955e-10	1.874645e-09	31.179721	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi512	1.0000000000e+00	ZZ up-up nb	2	1.00000000	3.64815123e-12	-0.5034530441	-0.5034530441	-7.296053e-12	1.449202e-11	31.179721	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	UHF	1.8895832626e-04	ZZ up-up nb	2	0.51474478	5.91849616e-01	-0.5034530441	-0.9395097044	4.360567e-01	8.661317e-01	1.318920	31.179721
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi2	8.6880919042e-03	SzSz nb	4	0.74463919	4.58986483e-01	-0.1178400020	-0.0000000000	-1.178400e-01	1.000000e+00	1.000000	2.390796
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi4	3.0903634839e-01	SzSz nb	4	0.96414125	1.63061579e-01	-0.1178400020	-0.1206286067	2.788605e-03	2.366433e-02	2.388935	2.390796
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi8	8.5313250127e-01	SzSz nb	4	0.99990891	7.22160397e-03	-0.1178400020	-0.1163691220	-1.470880e-03	1.248201e-02	2.390278	2.390796
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi16	9.9397637198e-01	SzSz nb	4	0.99999824	9.53531184e-04	-0.1178400020	-0.1176583766	-1.816255e-04	1.541289e-03	2.390788	2.390796
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi32	9.9937736596e-01	SzSz nb	4	0.99999780	6.17384260e-04	-0.1178400020	-0.1178071984	-3.280363e-05	2.783744e-04	2.390796	2.390796
1	48	48	cylinder	true	8.0	-15.5150638210	8.055e-11	chi64	9.9998969912e-01	SzSz nb	4	1.00000000	6.79358403e-06	-0.1178400020	-0.1178392884	-7.136381e-07	6.055992e-06	2.390796	2.390796
