W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi2	6.7515288568e-03	ZZ onsite	2	0.69109480	3.08905197e-01	-0.3821896053	-1.0000000000	6.178104e-01	1.616502e+00	0.397846	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi4	6.4282126508e-02	ZZ onsite	2	0.92076297	2.19319219e-01	-0.3821896053	-0.8208280426	4.386384e-01	1.147699e+00	0.770632	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi8	1.5959978925e-01	ZZ onsite	2	0.99355981	7.14579270e-02	-0.3821896053	-0.5251054592	1.429159e-01	3.739397e-01	5.183716	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi16	3.7114955813e-01	ZZ onsite	2	0.98938459	9.06456150e-02	-0.3821896053	-0.5634808353	1.812912e-01	4.743489e-01	3.665264	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi32	5.9769979321e-01	ZZ onsite	2	0.99828324	3.75992787e-02	-0.3821896053	-0.4573881627	7.519856e-02	1.967572e-01	10.200513	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi64	7.9200642538e-01	ZZ onsite	2	0.99964615	1.72445601e-02	-0.3821896053	-0.4166787256	3.448912e-02	9.024086e-02	14.419450	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi128	9.1716082070e-01	ZZ onsite	2	0.99984081	1.15976194e-02	-0.3821896053	-0.4053848442	2.319524e-02	6.069040e-02	15.345446	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi256	9.8341381788e-01	ZZ onsite	2	0.99999786	1.35241182e-03	-0.3821896053	-0.3848944290	2.704824e-03	7.077177e-03	16.192527	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	UHF	2.8872125274e-01	ZZ onsite	2	0.85121979	2.88850464e-01	-0.3821896053	-0.2743429767	-1.078466e-01	2.821810e-01	7.330182	16.204859
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi2	6.7515288568e-03	ZZ up-up nb	2	0.95983999	1.96334374e-01	-0.3926687479	0.0000000000	-3.926687e-01	1.000000e+00	1.000000	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi4	6.4282126508e-02	ZZ up-up nb	2	0.99850282	3.61468484e-02	-0.3926687479	-0.3203750511	-7.229370e-02	1.841086e-01	11.104792	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi8	1.5959978925e-01	ZZ up-up nb	2	0.99204705	8.48125295e-02	-0.3926687479	-0.2230436889	-1.696251e-01	4.319800e-01	4.275595	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi16	3.7114955813e-01	ZZ up-up nb	2	0.99677807	5.33839453e-02	-0.3926687479	-0.2859008573	-1.067679e-01	2.719032e-01	7.827206	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi32	5.9769979321e-01	ZZ up-up nb	2	0.99822043	3.94608682e-02	-0.3926687479	-0.3137470116	-7.892174e-02	2.009881e-01	10.397862	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi64	7.9200642538e-01	ZZ up-up nb	2	0.99892388	3.05758094e-02	-0.3926687479	-0.3315171291	-6.115162e-02	1.557333e-01	12.350463	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi128	9.1716082070e-01	ZZ up-up nb	2	0.99981264	1.26609200e-02	-0.3926687479	-0.3673469079	-2.532184e-02	6.448652e-02	16.118048	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi256	9.8341381788e-01	ZZ up-up nb	2	0.99996782	5.23004329e-03	-0.3926687479	-0.3822086614	-1.046009e-02	2.663845e-02	17.008592	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	UHF	2.8872125274e-01	ZZ up-up nb	2	0.88603251	2.94958575e-01	-0.3926687479	-0.4981215082	1.054528e-01	2.685540e-01	7.933069	17.204166
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi2	6.7515288568e-03	SzSz nb	4	0.42836619	5.80122285e-01	-0.0743818616	-0.0000000000	-7.438186e-02	1.000000e+00	1.000000	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi4	6.4282126508e-02	SzSz nb	4	0.83282644	3.42240090e-01	-0.0743818616	-0.0800937628	5.711901e-03	7.679159e-02	1.544471	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi8	1.5959978925e-01	SzSz nb	4	0.93467535	1.78801046e-01	-0.0743818616	-0.0457033350	-2.867853e-02	3.855581e-01	1.432468	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi16	3.7114955813e-01	SzSz nb	4	0.95503466	1.46400987e-01	-0.0743818616	-0.0569127233	-1.746914e-02	2.348575e-01	1.503896	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi32	5.9769979321e-01	SzSz nb	4	0.98792684	7.87410385e-02	-0.0743818616	-0.0640088012	-1.037306e-02	1.394569e-01	1.533093	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi64	7.9200642538e-01	SzSz nb	4	0.99374199	5.73910752e-02	-0.0743818616	-0.0647404157	-9.641446e-03	1.296209e-01	1.535302	1.549476
2	6	12	torus	true	2.0	-11.5131600359	5.684e-14	chi128	9.1716082070e-01	SzSz nb	4	0.99805576	2.77581496e-02	-0.0743818616	-0.0705462156	-3.835646e-03	5.156695e-02	1.547215	1.549476
