nm	observable	true	err_std	err_crm	err_opt
30	hop y-bond	0.41562576559028763	0.11701659621764438	0.09687851054157869	0.09822119945143021
30	hop x-bond	0.4156257655901834	0.10308890164671047	0.11783393609334307	0.09590675566276684
30	DoubleOcc	0.12564942790957734	0.18514852626224595	0.18571357825434007	0.17876511410693352
30	SzSz y	-0.07025668323347871	0.05815507347181406	0.05860047425088976	0.057210783564958845
30	Energy	-5.9542366810573215	1.966991388439899	1.998852060012164	1.8927384427253535
100	hop y-bond	0.41562576559028763	0.11044959490004096	0.08568608396612999	0.08484773064799993
100	hop x-bond	0.4156257655901834	0.11254007499484879	0.10086763449640412	0.09217167040964
100	DoubleOcc	0.12564942790957734	0.08314140112337834	0.10037615038114991	0.08287349244916777
100	SzSz y	-0.07025668323347871	0.03332105459041191	0.03439495586378229	0.03340825098473263
100	Energy	-5.9542366810573215	1.0278031569409005	1.0713431792697747	0.8752556043397165
300	hop y-bond	0.41562576559028763	0.09246076530926482	0.09536236114232373	0.07509350677723436
300	hop x-bond	0.4156257655901834	0.06045818595152544	0.06998111160628055	0.04570597427731527
300	DoubleOcc	0.12564942790957734	0.06086459070417866	0.06332249535043742	0.05286832333365412
300	SzSz y	-0.07025668323347871	0.025091298346549978	0.025258743571488995	0.023522658654776263
300	Energy	-5.9542366810573215	0.9818107058474435	0.7488552429383177	0.7496118669367724
1000	hop y-bond	0.41562576559028763	0.08072905134100652	0.08248550229241322	0.06020268711068128
1000	hop x-bond	0.4156257655901834	0.08677691687089902	0.06484035205406793	0.057211634813396264
1000	DoubleOcc	0.12564942790957734	0.04522272100381943	0.06801684113110694	0.05113520927173993
1000	SzSz y	-0.07025668323347871	0.014880221136314669	0.01699523722302874	0.012442188001271339
1000	Energy	-5.9542366810573215	0.8394484452310271	0.6113379014555408	0.5212806051573038
3000	hop y-bond	0.41562576559028763	0.06956934439117195	0.0692249729501318	0.05478129715717376
3000	hop x-bond	0.4156257655901834	0.08635556294088356	0.07909309614987414	0.06652047134404418
3000	DoubleOcc	0.12564942790957734	0.05187068229952264	0.05940785401983453	0.040634827580650394
3000	SzSz y	-0.07025668323347871	0.01535807732059538	0.02122581990249212	0.013142116801534867
3000	Energy	-5.9542366810573215	0.7862905934620933	0.5815290791362339	0.5907183715647045
