U	doping	L	observable	target	chi_star
4.0	0.0	128	DoubleOcc	0.01	16
4.0	0.0	128	DoubleOcc	0.001	32
4.0	0.0	16	ZZ onsite	0.1	6
4.0	0.0	16	ZZ onsite	0.01	8
4.0	0.0	16	ZZ onsite	0.001	24
4.0	0.0	32	ZZ onsite	0.1	8
4.0	0.0	32	ZZ onsite	0.01	16
4.0	0.0	32	ZZ onsite	0.001	24
4.0	0.0	64	ZZ onsite	0.1	8
4.0	0.0	64	ZZ onsite	0.01	16
4.0	0.0	64	ZZ onsite	0.001	32
4.0	0.0	128	ZZ onsite	0.1	8
4.0	0.0	128	ZZ onsite	0.01	16
4.0	0.0	128	ZZ onsite	0.001	32
4.0	0.0	16	SzSz r=1	0.1	8
4.0	0.0	16	SzSz r=1	0.01	8
4.0	0.0	16	SzSz r=1	0.001	16
4.0	0.0	32	SzSz r=1	0.1	8
4.0	0.0	32	SzSz r=1	0.01	16
4.0	0.0	32	SzSz r=1	0.001	24
4.0	0.0	64	SzSz r=1	0.1	8
4.0	0.0	64	SzSz r=1	0.01	16
4.0	0.0	64	SzSz r=1	0.001	32
4.0	0.0	128	SzSz r=1	0.1	6
4.0	0.0	128	SzSz r=1	0.01	16
4.0	0.0	128	SzSz r=1	0.001	48
4.0	0.0	16	ZZ up-up r=1	0.1	8
4.0	0.0	16	ZZ up-up r=1	0.01	12
4.0	0.0	16	ZZ up-up r=1	0.001	24
4.0	0.0	32	ZZ up-up r=1	0.1	6
4.0	0.0	32	ZZ up-up r=1	0.01	16
4.0	0.0	32	ZZ up-up r=1	0.001	32
4.0	0.0	64	ZZ up-up r=1	0.1	6
4.0	0.0	64	ZZ up-up r=1	0.01	16
4.0	0.0	64	ZZ up-up r=1	0.001	32
4.0	0.0	128	ZZ up-up r=1	0.1	6
4.0	0.0	128	ZZ up-up r=1	0.01	16
4.0	0.0	128	ZZ up-up r=1	0.001	32
4.0	0.0	16	hop up r=1	0.1	8
4.0	0.0	16	hop up r=1	0.01	16
4.0	0.0	16	hop up r=1	0.001	24
4.0	0.0	32	hop up r=1	0.1	8
4.0	0.0	32	hop up r=1	0.01	12
4.0	0.0	32	hop up r=1	0.001	24
4.0	0.0	64	hop up r=1	0.1	8
4.0	0.0	64	hop up r=1	0.01	12
4.0	0.0	64	hop up r=1	0.001	32
4.0	0.0	128	hop up r=1	0.1	8
4.0	0.0	128	hop up r=1	0.01	12
4.0	0.0	128	hop up r=1	0.001	48
8.0	0.0	16	DoubleOcc	0.1	8
8.0	0.0	16	DoubleOcc	0.01	12
8.0	0.0	16	DoubleOcc	0.001	16
8.0	0.0	32	DoubleOcc	0.1	8
8.0	0.0	32	DoubleOcc	0.01	16
8.0	0.0	32	DoubleOcc	0.001	24
8.0	0.0	64	DoubleOcc	0.1	8
8.0	0.0	64	DoubleOcc	0.01	16
8.0	0.0	64	DoubleOcc	0.001	32
8.0	0.0	128	DoubleOcc	0.1	8
8.0	0.0	128	DoubleOcc	0.01	16
8.0	0.0	128	DoubleOcc	0.001	48
8.0	0.0	16	ZZ onsite	0.1	4
8.0	0.0	16	ZZ onsite	0.01	8
8.0	0.0	16	ZZ onsite	0.001	12
8.0	0.0	32	ZZ onsite	0.1	4
8.0	0.0	32	ZZ onsite	0.01	8
8.0	0.0	32	ZZ onsite	0.001	16
8.0	0.0	64	ZZ onsite	0.1	4
8.0	0.0	64	ZZ onsite	0.01	12
8.0	0.0	64	ZZ onsite	0.001	16
8.0	0.0	128	ZZ onsite	0.1	4
8.0	0.0	128	ZZ onsite	0.01	12
8.0	0.0	128	ZZ onsite	0.001	16
