geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max	F_supp	infid_supp	D_supp	nsupp
cylinder	ED	8.0	1	n	chi4	1.0000000000011666	-1.8825496717056467e-10	1.8825496717034505e-10	1.0000000011709027	0.9999999961997978	0.9837280831037644	0.01627191689623564	0.05855281522346811	2
cylinder	ED	8.0	1	n	chi8	1.0000000000011666	8.940557183478859e-10	8.940557183468428e-10	0.9999999991745199	0.9999999961997978	0.9835625128690757	0.0164374871309243	0.058775597263373947	2
cylinder	ED	8.0	1	n	chi32	1.0000000000011666	1.3742267324090562e-9	1.374226732407453e-9	1.0000000006083967	0.9999999961997978	0.9998491484502217	0.00015085154977834137	0.006858967899260104	2
cylinder	ED	8.0	1	n	chi128	1.0000000000011666	4.735386527343621e-10	4.735386527338097e-10	0.9999999973220265	0.9999999961997978	0.9999995898762263	4.101237737197394e-7	0.00036379650366581695	2
cylinder	ED	8.0	1	n	exact	1.0000000000011666	5.198124153338313e-10	5.198124153332248e-10	0.9999999961997978	0.9999999961997978	0.9999999999999227	7.72715225139109e-14	1.576038426570614e-7	2
cylinder	ED	8.0	1	n	UHF	1.0000000000011666	1.1661782650662644e-12	1.166178265064904e-12	0.012440266395125597	0.9999999961997978	0.5759242038627427	0.4240757961372573	0.4633140002880627	2
cylinder	ED	8.0	1	n	UHFsym	1.0000000000011666	1.1718404024918527e-12	1.1718404024904855e-12	1.000000000000034	0.9999999961997978	0.9997144890690026	0.0002855109309973791	0.009371365770212492	2
cylinder	ED	8.0	1	Sz	chi4	1.45561576680997e-10	7.710148769435321e-10	NaN	0.9999999984832691	1.000000004916643	0.9837280831037644	0.01627191689623564	0.05855281522346811	2
cylinder	ED	8.0	1	Sz	chi8	1.45561576680997e-10	-5.379691258439179e-10	NaN	1.0000000011177992	1.000000004916643	0.9835625128690757	0.0164374871309243	0.058775597263373947	2
cylinder	ED	8.0	1	Sz	chi32	1.45561576680997e-10	4.918183915680885e-13	NaN	0.9999999993058054	1.000000004916643	0.9998491484502217	0.00015085154977834137	0.006858967899260104	2
cylinder	ED	8.0	1	Sz	chi128	1.45561576680997e-10	-1.2974706586899032e-9	NaN	1.000000003471554	1.000000004916643	0.9999995898762263	4.101237737197394e-7	0.00036379650366581695	2
cylinder	ED	8.0	1	Sz	exact	1.45561576680997e-10	-1.8537273452357006e-9	NaN	1.000000004916643	1.000000004916643	0.9999999999999227	7.72715225139109e-14	1.576038426570614e-7	2
cylinder	ED	8.0	1	Sz	UHF	1.45561576680997e-10	0.4586283174029572	NaN	0.01643111482419659	1.000000004916643	0.5759242038627427	0.4240757961372573	0.4633140002880627	2
cylinder	ED	8.0	1	Sz	UHFsym	1.45561576680997e-10	1.4556164552783496e-10	NaN	1.0000000000000002	1.000000004916643	0.9997144890690026	0.0002855109309973791	0.009371365770212492	2
cylinder	ED	8.0	1	DoubleOcc	chi4	0.04434574949533898	0.029276407517606767	0.6601852004031165	28.28558972566036	75.18541684676839	0.9837280831037644	0.01627191689623564	0.05855281522346811	2
cylinder	ED	8.0	1	DoubleOcc	chi8	0.04434574949533898	0.029387799078714916	0.6626970885181174	28.157156842349238	75.18541684676839	0.9835625128690757	0.0164374871309243	0.058775597263373947	2
cylinder	ED	8.0	1	DoubleOcc	chi32	0.04434574949533898	0.003429484636743807	0.07733513754467647	72.51998748942991	75.18541684676839	0.9998491484502217	0.00015085154977834137	0.006858967899260104	2
cylinder	ED	8.0	1	DoubleOcc	chi128	0.04434574949533898	0.00018189848860236668	0.004101824654502352	75.11783821488773	75.18541684676839	0.9999995898762263	4.101237737197394e-7	0.00036379650366581695	2
cylinder	ED	8.0	1	DoubleOcc	exact	0.04434574949533898	7.906182780681448e-8	1.7828501875951916e-6	75.18541684676839	75.18541684676839	0.9999999999999227	7.72715225139109e-14	1.576038426570614e-7	2
cylinder	ED	8.0	1	DoubleOcc	UHF	0.04434574949533898	0.004685682885689074	0.1056625029233426	1.5530983206571845	75.18541684676839	0.5759242038627427	0.4240757961372573	0.4633140002880627	2
cylinder	ED	8.0	1	DoubleOcc	UHFsym	0.04434574949533898	0.0046856828856917665	0.10566250292340332	70.8845366455715	75.18541684676839	0.9997144890690026	0.0002855109309973791	0.009371365770212492	2
cylinder	ED	8.0	1	ZZ onsite	chi4	-0.822617002020978	0.11710563044693634	0.14235741561289778	38.30233543473471	203.39657018368064	0.9837280831037644	0.01627191689623564	0.05855281522346811	2
cylinder	ED	8.0	1	ZZ onsite	chi8	-0.822617002020978	0.117551194526748	0.14289905780934767	38.07173356258265	203.39657018368064	0.9835625128690757	0.0164374871309243	0.058775597263373947	2
cylinder	ED	8.0	1	ZZ onsite	chi32	-0.822617002020978	0.01371793579852032	0.016675969211453878	188.67420835945538	203.39657018368064	0.9998491484502217	0.00015085154977834137	0.006858967899260104	2
cylinder	ED	8.0	1	ZZ onsite	chi128	-0.822617002020978	0.0007275930073316061	0.0008844857394681607	203.13384019749404	203.39657018368064	0.9999995898762263	4.101237737197394e-7	0.00036379650366581695	2
cylinder	ED	8.0	1	ZZ onsite	exact	-0.822617002020978	3.1520768550841183e-7	3.831767210427454e-7	203.39657018368064	203.39657018368064	0.9999999999999227	7.72715225139109e-14	1.576038426570614e-7	2
cylinder	ED	8.0	1	ZZ onsite	UHF	-0.822617002020978	0.018742731540423274	0.0227842744489559	179.2104010045987	203.39657018368064	0.5759242038627427	0.4240757961372573	0.4633140002880627	2
cylinder	ED	8.0	1	ZZ onsite	UHFsym	-0.822617002020978	0.018742731540428492	0.022784274448962246	179.2104010045882	203.39657018368064	0.9997144890690026	0.0002855109309973791	0.009371365770212492	2
cylinder	ED	8.0	1	ZZ up-up nb	chi4	-0.49466751759057626	0.15209211673261447	0.30746331894486195	7.903511851428768	30.332448288069422	0.9913873736677381	0.008612626332261897	0.07604605836630729	2
cylinder	ED	8.0	1	ZZ up-up nb	chi8	-0.49466751759057626	0.06462948448051942	0.1306523719109683	19.895745573967613	30.332448288069422	0.9985534550503974	0.0014465449496026128	0.03231474224025981	2
cylinder	ED	8.0	1	ZZ up-up nb	chi32	-0.49466751759057626	0.01909714843112309	0.03860602880120646	28.88268057199941	30.332448288069422	0.9998777377165391	0.0001222622834609055	0.009548574215561642	2
cylinder	ED	8.0	1	ZZ up-up nb	chi128	-0.49466751759057626	0.0017873842403504092	0.0036133042433357868	30.30309353566739	30.332448288069422	0.9999989413233374	1.058676662557545e-6	0.0008936921201753018	2
