W	LX	nsites	geometry	U	method	chi	quantity	i	j	value
1	64	64	cylinder	4.0	exact	0	E	0	0	-36.351832696654
1	64	64	cylinder	4.0	exact	0	Hvar	0	0	0.000000000043
1	64	64	cylinder	4.0	exact	0	chi_reached	0	0	1757.000000000000
1	64	64	cylinder	4.0	trunc	2	E	0	0	0.000000000000
1	64	64	cylinder	4.0	trunc	2	chi_reached	0	0	2.000000000000
1	64	64	cylinder	4.0	trunc	2	ZZ onsite	32	33	-1.000000000000
1	64	64	cylinder	4.0	trunc	2	ZZ up-up nb	32	33	-0.000000000000
1	64	64	cylinder	4.0	trunc	2	SzSz nb	32	33	-0.000000000000
1	64	64	cylinder	4.0	trunc	2	SxSx nb	32	33	0.000000000000
1	64	64	cylinder	4.0	trunc	2	DoubleOcc	32	33	0.000000000000
1	64	64	cylinder	4.0	trunc	2	n	32	33	1.000000000000
1	64	64	cylinder	4.0	trunc	2	Sz	32	33	-0.000000000031
1	64	64	cylinder	4.0	trunc	2	mz_max	0	0	0.000000000031
1	64	64	cylinder	4.0	trunc	4	E	0	0	-21.465257747666
1	64	64	cylinder	4.0	trunc	4	chi_reached	0	0	4.000000000000
1	64	64	cylinder	4.0	trunc	4	ZZ onsite	32	33	-0.757085354950
1	64	64	cylinder	4.0	trunc	4	ZZ up-up nb	32	33	-0.403150391009
1	64	64	cylinder	4.0	trunc	4	SzSz nb	32	33	-0.100787597753
1	64	64	cylinder	4.0	trunc	4	SxSx nb	32	33	-0.100787597753
1	64	64	cylinder	4.0	trunc	4	DoubleOcc	32	33	0.060728661262
1	64	64	cylinder	4.0	trunc	4	n	32	33	1.000000000000
1	64	64	cylinder	4.0	trunc	4	Sz	32	33	0.000000000002
1	64	64	cylinder	4.0	trunc	4	mz_max	0	0	0.000000000003
1	64	64	cylinder	4.0	trunc	8	E	0	0	-35.349065696969
1	64	64	cylinder	4.0	trunc	8	chi_reached	0	0	8.000000000000
1	64	64	cylinder	4.0	trunc	8	ZZ onsite	32	33	-0.609675637850
1	64	64	cylinder	4.0	trunc	8	ZZ up-up nb	32	33	-0.447650596858
1	64	64	cylinder	4.0	trunc	8	SzSz nb	32	33	-0.092966627574
1	64	64	cylinder	4.0	trunc	8	SxSx nb	32	33	-0.092966627574
1	64	64	cylinder	4.0	trunc	8	DoubleOcc	32	33	0.097581090538
1	64	64	cylinder	4.0	trunc	8	n	32	33	1.000000000000
1	64	64	cylinder	4.0	trunc	8	Sz	32	33	0.000000000001
1	64	64	cylinder	4.0	trunc	8	mz_max	0	0	0.000000000001
1	64	64	cylinder	4.0	trunc	16	E	0	0	-36.178791003378
1	64	64	cylinder	4.0	trunc	16	chi_reached	0	0	16.000000000000
1	64	64	cylinder	4.0	trunc	16	ZZ onsite	32	33	-0.600917354493
1	64	64	cylinder	4.0	trunc	16	ZZ up-up nb	32	33	-0.457696873391
1	64	64	cylinder	4.0	trunc	16	SzSz nb	32	33	-0.095258206831
1	64	64	cylinder	4.0	trunc	16	SxSx nb	32	33	-0.095258206831
1	64	64	cylinder	4.0	trunc	16	DoubleOcc	32	33	0.099770661377
1	64	64	cylinder	4.0	trunc	16	n	32	33	1.000000000000
1	64	64	cylinder	4.0	trunc	16	Sz	32	33	0.000000000000
1	64	64	cylinder	4.0	trunc	16	mz_max	0	0	0.000000000000
1	64	64	cylinder	4.0	var	2	E	0	0	-4.745836472324
1	64	64	cylinder	4.0	var	2	chi_reached	0	0	2.000000000000
1	64	64	cylinder	4.0	var	2	ZZ onsite	32	33	-1.000000000000
1	64	64	cylinder	4.0	var	2	ZZ up-up nb	32	33	0.999921898673
1	64	64	cylinder	4.0	var	2	SzSz nb	32	33	0.219402247646
1	64	64	cylinder	4.0	var	2	SxSx nb	32	33	0.000001375064
1	64	64	cylinder	4.0	var	2	DoubleOcc	32	33	0.000000000000
1	64	64	cylinder	4.0	var	2	n	32	33	1.000000000000
1	64	64	cylinder	4.0	var	2	Sz	32	33	-0.499961171267
1	64	64	cylinder	4.0	var	2	mz_max	0	0	0.500000000000
1	64	64	cylinder	4.0	var	2	ZupZdn	8	20	0.349693139132
1	64	64	cylinder	4.0	var	2	ZupZdn	57	38	0.385327179406
1	64	64	cylinder	4.0	var	2	ZupZdn	32	60	0.379331643536
1	64	64	cylinder	4.0	var	2	ZupZdn	58	41	0.045029644356
1	64	64	cylinder	4.0	var	2	ZupZdn	39	59	0.249336597847
1	64	64	cylinder	4.0	var	2	ZupZdn	6	31	-0.314817847960
1	64	64	cylinder	4.0	var	2	ZupZdn	58	30	-0.041063247073
1	64	64	cylinder	4.0	var	2	ZupZdn	59	47	0.068502072849
1	64	64	cylinder	4.0	var	2	ZupZup	1	7	-0.000627587462
1	64	64	cylinder	4.0	var	2	ZupZdn	37	23	0.079168091718
1	64	64	cylinder	4.0	var	2	ZupZdn	24	1	-0.000687770069
1	64	64	cylinder	4.0	var	2	ZupZdn	55	39	-0.375044131181
1	64	64	cylinder	4.0	var	2	ZupZup	55	62	0.141451805115
1	64	64	cylinder	4.0	var	2	ZupZdn	31	47	0.224126015093
1	64	64	cylinder	4.0	var	2	ZupZdn	1	34	-0.000519511202
1	64	64	cylinder	4.0	var	2	ZupZdn	12	17	0.375761989112
1	64	64	cylinder	4.0	var	2	ZupZdn	8	39	-0.311965722519
1	64	64	cylinder	4.0	var	2	ZupZdn	28	29	0.419300561839
1	64	64	cylinder	4.0	var	2	ZupZdn	22	37	0.389374310003
1	64	64	cylinder	4.0	var	2	ZupZup	1	53	0.000483130698
1	64	64	cylinder	4.0	var	2	ZupZdn	17	27	-0.070342618261
1	64	64	cylinder	4.0	var	2	ZupZdn	24	16	-0.878340883767
1	64	64	cylinder	4.0	var	2	ZupZdn	53	13	0.697884475570
1	64	64	cylinder	4.0	var	2	ZupZdn	6	36	-0.210038804793
1	64	64	cylinder	4.0	var	2	ZupZdn	13	5	-0.820980295248
1	64	64	cylinder	4.0	var	2	ZupZdn	19	27	-0.173414221947
1	64	64	cylinder	4.0	var	2	ZupZdn	21	6	-0.898399417403
1	64	64	cylinder	4.0	var	2	ZupZdn	37	17	0.029943396860
1	64	64	cylinder	4.0	var	2	ZupZdn	28	21	0.126699758239
1	64	64	cylinder	4.0	var	2	ZupZdn	8	62	-0.117661123880
1	64	64	cylinder	4.0	var	2	ZupZup	9	13	0.381164470635
1	64	64	cylinder	4.0	var	2	ZupZup	2	5	0.000618019881
1	64	64	cylinder	4.0	var	2	ZupZup	10	53	0.702457369074
1	64	64	cylinder	4.0	var	2	ZupZdn	26	36	-0.244520258068
1	64	64	cylinder	4.0	var	2	ZupZdn	48	18	-0.146418149260
1	64	64	cylinder	4.0	var	2	ZupZdn	59	49	0.008251654508
1	64	64	cylinder	4.0	var	2	ZupZdn	26	58	0.551408905178
1	64	64	cylinder	4.0	var	2	ZupZdn	48	47	0.524737938831
1	64	64	cylinder	4.0	var	2	ZupZdn	16	26	-0.331924355690
1	64	64	cylinder	4.0	var	2	ZupZdn	56	21	0.989515081357
1	64	64	cylinder	4.0	var	2	ZupZup	16	20	-0.905749484373
1	64	64	cylinder	4.0	var	2	ZupZdn	32	48	0.611482298010
1	64	64	cylinder	4.0	var	2	ZupZup	35	37	0.132299385805
1	64	64	cylinder	4.0	var	2	ZupZdn	49	49	-0.476876243329
1	64	64	cylinder	4.0	var	2	ZupZup	31	50	-0.079660921355
1	64	64	cylinder	4.0	var	2	ZupZdn	16	58	0.499438331544
1	64	64	cylinder	4.0	var	2	ZupZup	3	43	-0.995335618733
1	64	64	cylinder	4.0	var	2	ZupZdn	40	10	0.402057122178
1	64	64	cylinder	4.0	var	2	Zup	45	45	-0.999996487112
