L	rho	site	prior	observable	true	Delta	G	G_max
4	ED	1	chi2	n	0.9999999999999999	-3.3306690738754696e-16	1.0000000000000022	1.0000000000000029
4	ED	1	chi4	n	0.9999999999999999	-1.1102230246251565e-16	1.0000000000000027	1.0000000000000029
4	ED	1	chi8	n	0.9999999999999999	-1.1102230246251565e-16	1.000000000000003	1.0000000000000029
4	ED	1	chi16	n	0.9999999999999999	-7.771561172376096e-16	1.0000000000000018	1.0000000000000029
4	ED	1	chi32	n	0.9999999999999999	-7.771561172376096e-16	1.0000000000000018	1.0000000000000029
4	ED	1	exact	n	0.9999999999999999	-1.2212453270876722e-15	1.0000000000000029	1.0000000000000029
4	ED	1	UHF	n	0.9999999999999999	1.1102230246251565e-16	0.016406612933412494	1.0000000000000029
4	ED	1	UHFsym	n	0.9999999999999999	1.1102230246251565e-16	0.9999999999999993	1.0000000000000029
4	ED	1	chi2	Sz	3.344546861683284e-15	4.2049697057677804e-15	1.0000000000000002	1.0000000000000002
4	ED	1	chi4	Sz	3.344546861683284e-15	4.2396641752873165e-15	1.0	1.0000000000000002
4	ED	1	chi8	Sz	3.344546861683284e-15	4.427014310692812e-15	1.0000000000000002	1.0000000000000002
4	ED	1	chi16	Sz	3.344546861683284e-15	4.0314973581701e-15	1.0000000000000002	1.0000000000000002
4	ED	1	chi32	Sz	3.344546861683284e-15	4.0314973581701e-15	1.0000000000000002	1.0000000000000002
4	ED	1	exact	Sz	3.344546861683284e-15	4.524158825347513e-15	1.0000000000000002	1.0000000000000002
4	ED	1	UHF	Sz	3.344546861683284e-15	0.4377135050583568	0.026860749393850424	1.0000000000000002
4	ED	1	UHFsym	Sz	3.344546861683284e-15	3.359725692098081e-15	0.9999999999999999	1.0000000000000002
4	ED	1	chi2	DoubleOcc	0.07280979568578072	0.07280979568578072	5.3333713342914	40.588724188532034
4	ED	1	chi4	DoubleOcc	0.07280979568578072	0.001186953852412631	40.55168939094067	40.588724188532034
4	ED	1	chi8	DoubleOcc	0.07280979568578072	9.260803958219266e-5	40.59100220767763	40.588724188532034
