L	n_u	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	100	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	58.75074797550957	50.58961184532023	0.11217555138368948
16	100	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	59.04308957574863	50.58961184532023	0.11217555138368948
16	100	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	59.04398542209132	50.58961184532023	0.11217555138368948
16	100	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	13.595320999686722	17.675482778502886	0.10868897564581248
16	100	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3691821108188809	17.675482778502886	0.10868897564581248
16	100	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	17.223662513511524	17.675482778502886	0.10868897564581248
16	100	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	17.173007417545623	17.675482778502886	0.10868897564581248
16	100	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	17.17015270530578	17.675482778502886	0.10868897564581248
16	100	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.1937391983086862	NaN	0.11261989596168095
16	100	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	11.91211145315921	NaN	0.11261989596168095
16	100	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	30.37186521828881	NaN	0.11261989596168095
16	100	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	30.42495869451606	NaN	0.11261989596168095
16	100	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	30.425104765266163	NaN	0.11261989596168095
16	100	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	12.294635725492888	NaN	0.11073269567646518
16	100	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4360422319104627	NaN	0.11073269567646518
16	100	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	14.824479171618307	NaN	0.11073269567646518
16	100	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	15.018105529539206	NaN	0.11073269567646518
16	100	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	15.025221831890148	NaN	0.11073269567646518
16	100	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.10935889643281048
16	100	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.10935889643281048
16	100	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	20.08239147623097	NaN	0.10935889643281048
16	100	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	20.140731286587886	NaN	0.10935889643281048
16	100	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	20.140536705179073	NaN	0.10935889643281048
16	100	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.491764698888467	42.386531746891016	0.1615179313836227
16	100	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	61.39425518030092	42.386531746891016	0.1615179313836227
16	100	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	61.29776832489609	42.386531746891016	0.1615179313836227
16	100	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	60.85868526038003	42.386531746891016	0.1615179313836227
16	100	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	60.85605790937411	42.386531746891016	0.1615179313836227
16	100	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.11905538380428934
16	100	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.839566499172274	NaN	0.11905538380428934
16	100	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	13.973279585273357	NaN	0.11905538380428934
16	100	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	13.84286409795473	NaN	0.11905538380428934
16	100	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	13.84569313312032	NaN	0.11905538380428934
16	200	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	1.000000039520792	NaN	1.1972343686471803e-9
16	200	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	1.0000000150546529	NaN	1.1972343686471803e-9
16	200	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	0.9999999987917737	NaN	1.1972343686471803e-9
16	200	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	1.0000000000075835	NaN	1.1972343686471803e-9
16	200	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	1.0000000000223137	NaN	1.1972343686471803e-9
16	200	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.1261460287122143	50.58961184532023	0.11828428370422203
16	200	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	12.943137217161624	50.58961184532023	0.11828428370422203
16	200	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	50.61391998486358	50.58961184532023	0.11828428370422203
16	200	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	50.5662987393924	50.58961184532023	0.11828428370422203
16	200	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	50.565974306738596	50.58961184532023	0.11828428370422203
16	200	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	12.62410957152013	17.675482778502886	0.10649293461827922
16	200	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.35723541581584	17.675482778502886	0.10649293461827922
16	200	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	17.198046632526186	17.675482778502886	0.10649293461827922
16	200	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	17.30515926438211	17.675482778502886	0.10649293461827922
16	200	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	17.307740694864233	17.675482778502886	0.10649293461827922
16	200	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.171082188207427	NaN	0.10689864855013763
16	200	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	11.27723038799631	NaN	0.10689864855013763
16	200	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	26.83156038055126	NaN	0.10689864855013763
16	200	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	26.866944193232342	NaN	0.10689864855013763
16	200	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	26.867035723022656	NaN	0.10689864855013763
16	200	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	10.635998868135257	NaN	0.11492204824884512
16	200	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4330106258765531	NaN	0.11492204824884512
16	200	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	12.969865596376247	NaN	0.11492204824884512
16	200	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	13.041885002499132	NaN	0.11492204824884512
16	200	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	13.043296121563337	NaN	0.11492204824884512
16	200	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11804905552262444
16	200	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11804905552262444
16	200	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	17.884856889632825	NaN	0.11804905552262444
16	200	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	17.883008075598262	NaN	0.11804905552262444
16	200	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	17.881956774532135	NaN	0.11804905552262444
16	200	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.3650693526043165	42.386531746891016	0.1257664742845905
16	200	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	35.02132682548792	42.386531746891016	0.1257664742845905
