W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	ZZ onsite	2	0.65014276	3.49857242e-01	-0.3002855156	-1.0000000000	6.997145e-01	2.330164e+00	0.200880	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	ZZ onsite	2	0.99544743	6.28450580e-02	-0.3002855156	-0.4259756316	1.256901e-01	4.185687e-01	3.856825	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	ZZ onsite	2	0.99989304	9.83202423e-03	-0.3002855156	-0.3199495641	1.966405e-02	6.548451e-02	9.452517	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	ZZ onsite	2	0.99999334	2.45929623e-03	-0.3002855156	-0.3052041081	4.918592e-03	1.637972e-02	9.786478	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	ZZ onsite	2	0.99999997	1.55219662e-04	-0.3002855156	-0.3005959549	3.104393e-04	1.033814e-03	9.809517	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	ZZ onsite	2	1.00000000	4.97552101e-06	-0.3002855156	-0.3002954667	9.951042e-06	3.313860e-05	9.809609	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	ZZ onsite	2	1.00000000	1.25467262e-07	-0.3002855156	-0.3002857665	2.509345e-07	8.356531e-07	9.809609	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	ZZ onsite	2	1.00000000	2.21244859e-09	-0.3002855156	-0.3002855200	4.424897e-09	1.473563e-08	9.809609	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	ZZ onsite	2	1.00000000	2.95348607e-11	-0.3002855156	-0.3002855157	5.906964e-11	1.967116e-10	9.809609	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	ZZ onsite	2	0.92794727	2.16558869e-01	-0.3002855156	-0.1164005575	-1.838850e-01	6.123671e-01	2.279425	9.809609
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	ZZ up-up nb	2	0.96470988	1.84512125e-01	-0.3690242495	-0.0000000000	-3.690242e-01	1.000000e+00	1.000000	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	ZZ up-up nb	2	0.96470988	1.84512125e-01	-0.3690242495	-0.0000000000	-3.690242e-01	1.000000e+00	1.000000	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	ZZ up-up nb	2	0.99964634	1.76058631e-02	-0.3690242495	-0.3338125232	-3.521173e-02	9.541846e-02	13.314368	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	ZZ up-up nb	2	0.99999925	8.05214663e-04	-0.3690242495	-0.3674138201	-1.610429e-03	4.364020e-03	15.009071	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	ZZ up-up nb	2	0.99999906	8.99061151e-04	-0.3690242495	-0.3672261272	-1.798122e-03	4.872640e-03	15.008083	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	ZZ up-up nb	2	1.00000000	6.02770935e-05	-0.3690242495	-0.3689036953	-1.205542e-04	3.266836e-04	15.013054	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	ZZ up-up nb	2	1.00000000	3.28575397e-06	-0.3690242495	-0.3690176780	-6.571508e-06	1.780779e-05	15.013076	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	ZZ up-up nb	2	1.00000000	4.20154203e-08	-0.3690242495	-0.3690241654	-8.403084e-08	2.277109e-07	15.013076	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	ZZ up-up nb	2	1.00000000	7.32521085e-10	-0.3690242495	-0.3690242480	-1.465042e-09	3.970044e-09	15.013076	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	ZZ up-up nb	2	0.93949897	2.30325901e-01	-0.3690242495	-0.4904713516	1.214471e-01	3.291033e-01	5.962913	15.013076
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	SzSz nb	4	0.38713389	6.97592069e-01	-0.0627203926	-0.0000000000	-6.272039e-02	1.000000e+00	1.000000	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	SzSz nb	4	0.72319116	4.75426612e-01	-0.0627203926	-0.0000000000	-6.272039e-02	1.000000e+00	1.000000	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	SzSz nb	4	0.99709151	4.25050725e-02	-0.0627203926	-0.0608350899	-1.885303e-03	3.005885e-02	1.389573	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	SzSz nb	4	0.99987274	6.17511911e-03	-0.0627203926	-0.0623531272	-3.672654e-04	5.855597e-03	1.390044	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	SzSz nb	4	0.99999669	1.74898893e-03	-0.0627203926	-0.0625043119	-2.160807e-04	3.445142e-03	1.390056	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	SzSz nb	4	0.99999997	1.37996165e-04	-0.0627203926	-0.0627089347	-1.145792e-05	1.826825e-04	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	SzSz nb	4	1.00000000	1.54107122e-05	-0.0627203926	-0.0627193813	-1.011266e-06	1.612340e-05	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	SzSz nb	4	1.00000000	2.14002898e-07	-0.0627203926	-0.0627203815	-1.107574e-08	1.765891e-07	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	SzSz nb	4	1.00000000	4.69933583e-09	-0.0627203926	-0.0627203924	-1.996835e-10	3.183710e-09	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	SzSz nb	4	0.87976212	3.08517119e-01	-0.0627203926	-0.0758589886	1.313860e-02	2.094789e-01	1.366670	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	SxSx nb	4	0.38713389	6.97592069e-01	-0.0627203926	0.0000000000	-6.272039e-02	1.000000e+00	1.000000	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	SxSx nb	4	0.72319116	4.75426612e-01	-0.0627203926	0.0000000000	-6.272039e-02	1.000000e+00	1.000000	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	SxSx nb	4	0.99709151	4.25050725e-02	-0.0627203926	-0.0608350899	-1.885303e-03	3.005885e-02	1.389573	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	SxSx nb	4	0.99987274	6.17511911e-03	-0.0627203926	-0.0623531272	-3.672654e-04	5.855597e-03	1.390044	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	SxSx nb	4	0.99999669	1.74898893e-03	-0.0627203926	-0.0625043119	-2.160807e-04	3.445142e-03	1.390056	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	SxSx nb	4	0.99999997	1.37996165e-04	-0.0627203926	-0.0627089347	-1.145792e-05	1.826825e-04	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	SxSx nb	4	1.00000000	1.54107122e-05	-0.0627203926	-0.0627193813	-1.011266e-06	1.612340e-05	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	SxSx nb	4	1.00000000	2.14002898e-07	-0.0627203926	-0.0627203815	-1.107574e-08	1.765891e-07	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	SxSx nb	4	1.00000000	4.69933583e-09	-0.0627203926	-0.0627203924	-1.996835e-10	3.183709e-09	1.390063	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	SxSx nb	4	0.87976212	3.08517119e-01	-0.0627203926	-0.0467588493	-1.596154e-02	2.544873e-01	1.355812	1.390063
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	DoubleOcc	2	0.65014276	3.49857242e-01	0.1749286211	0.0000000000	1.749286e-01	1.000000e+00	1.000000	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	DoubleOcc	2	0.99544743	6.28450580e-02	0.1749286211	0.1435060921	3.142253e-02	1.796306e-01	3.489896	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	DoubleOcc	2	0.99989304	9.83202423e-03	0.1749286211	0.1700126090	4.916012e-03	2.810296e-02	3.797446	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	DoubleOcc	2	0.99999334	2.45929623e-03	0.1749286211	0.1736989730	1.229648e-03	7.029428e-03	3.805334	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	DoubleOcc	2	0.99999997	1.55219662e-04	0.1749286211	0.1748510113	7.760983e-05	4.436657e-04	3.805859	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	DoubleOcc	2	1.00000000	4.97552101e-06	0.1749286211	0.1749261333	2.487761e-06	1.422157e-05	3.805861	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	DoubleOcc	2	1.00000000	1.25467262e-07	0.1749286211	0.1749285584	6.273363e-08	3.586242e-07	3.805861	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	DoubleOcc	2	1.00000000	2.21244859e-09	0.1749286211	0.1749286200	1.106224e-09	6.323860e-09	3.805861	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	DoubleOcc	2	1.00000000	2.95348607e-11	0.1749286211	0.1749286211	1.476780e-11	8.442185e-11	3.805861	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	DoubleOcc	2	0.92794727	2.16558869e-01	0.1749286211	0.2208998606	-4.597124e-02	2.628000e-01	3.188067	3.805861
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	n	2	0.65014276	3.49857242e-01	1.0000000000	1.0000000000	4.440892e-16	4.440892e-16	40031996687737336.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	n	2	0.99544743	6.28450580e-02	1.0000000000	1.0000000000	3.996803e-15	3.996803e-15	40031996687712056.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	n	2	0.99989304	9.83202423e-03	1.0000000000	1.0000000000	-1.554312e-15	1.554312e-15	40031996687733784.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	n	2	0.99999334	2.45929623e-03	1.0000000000	1.0000000000	3.663736e-15	3.663736e-15	40031996687716144.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	n	2	0.99999997	1.55219662e-04	1.0000000000	1.0000000000	1.887379e-15	1.887379e-15	40031996687731944.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	n	2	1.00000000	4.97552101e-06	1.0000000000	1.0000000000	2.442491e-15	2.442491e-15	40031996687728088.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	n	2	1.00000000	1.25467262e-07	1.0000000000	1.0000000000	1.776357e-15	1.776357e-15	40031996687732592.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	n	2	1.00000000	2.21244859e-09	1.0000000000	1.0000000000	1.998401e-15	1.998401e-15	40031996687731256.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	n	2	1.00000000	2.95348607e-11	1.0000000000	1.0000000000	2.664535e-15	2.664535e-15	40031996687726272.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	n	2	0.92794727	2.16558869e-01	1.0000000000	1.0000000000	1.221245e-14	1.221245e-14	40031996687498640.000000	40031996687737656.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi2	9.5161671124e-04	Sz	2	0.65014276	3.49857242e-01	0.0000000000	0.0000000000	-3.214039e-15	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi4	5.1858797122e-02	Sz	2	0.99544743	6.28450580e-02	0.0000000000	0.0000000000	3.336308e-17	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi8	7.9139202475e-01	Sz	2	0.99989304	9.83202423e-03	0.0000000000	0.0000000000	-4.476839e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi16	9.5194924160e-01	Sz	2	0.99999334	2.45929623e-03	0.0000000000	0.0000000000	-3.407200e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi32	9.9671189653e-01	Sz	2	0.99999997	1.55219662e-04	0.0000000000	0.0000000000	-3.389217e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi64	9.9985958423e-01	Sz	2	1.00000000	4.97552101e-06	0.0000000000	0.0000000000	-2.866825e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi128	9.9999614048e-01	Sz	2	1.00000000	1.25467262e-07	0.0000000000	0.0000000000	-1.737775e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi256	9.9999995766e-01	Sz	2	1.00000000	2.21244859e-09	0.0000000000	0.0000000000	-3.219394e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	chi512	9.9999999957e-01	Sz	2	1.00000000	2.95348607e-11	0.0000000000	0.0000000000	-1.141159e-16	NaN	1.000000	1.000000
1	24	24	cylinder	true	2.0	-19.7173565605	1.002e-10	UHF	2.3211867398e-01	Sz	2	0.92794727	2.16558869e-01	0.0000000000	0.1705876296	-1.705876e-01	NaN	0.278809	1.000000
