U	observable	true	err_std	G_b1_UHF	G_b1_UHFsym	G_b1_chi8	G_b1_chi32	G_opt_UHF	G_opt_UHFsym	G_opt_chi8	G_opt_chi32	G_multifree	G_multiall	zmax	corr_UHF	corr_UHFsym	corr_chi8	corr_chi32
4.0	ZZ onsite	-0.4888934352540327	0.20494689008399722	44.03727910626925	44.03727910626915	8.938690378391726	35.52856273026165	29.14950060299197	29.149500602991957	29.149500602991967	29.149500602991957	29.149500602992006	29.14950060299196	0.8565649509609732	0.9848677026188504	0.9848677026188505	0.98486770261885	0.9848677026188504
4.0	ZZ up-up y1	-0.39342044366117135	0.15401008522502804	3.3276933374779736	5.843431926543232	2.071278073198493	10.822628165962994	13.542515242575522	13.542515242575519	13.542515242575519	13.542515242575513	13.542515242575526	13.542515242575533	1.496192059841484	0.9686526905085237	0.9686526905085241	0.968652690508524	0.9686526905085235
4.0	ZZ up-up y2	0.20836063149194728	0.10231439948930524	0.7798448083198477	4.424915129204539	1.4343144228052527	5.892007486422911	3.793327643880961	3.793327643880961	3.793327643880961	3.79332764388096	3.793327643880963	3.793327643880963	0.772122705191928	0.9022854700794317	0.9022854700794318	0.9022854700794317	0.9022854700794322
4.0	ZZ up-up x1	-0.2873938660372255	0.1077275502253301	0.8332539023043889	8.687736842201577	2.1430830061793027	7.8546617360686435	6.2684684282259875	6.268468428225987	6.268468428225988	6.268468428225993	6.268468428225991	6.268468428225991	0.9676225130323896	0.9407836932712418	0.940783693271242	0.9407836932712421	0.9407836932712421
4.0	DoubleOcc	0.12802566984810784	0.05878793160199478	6.633862882384012	3.3580163955109517	5.322528202308489	25.89201351962513	9.611662806259252	3.3416483953488867	23.339107846796594	33.92319083720296	29.007064054799564	28.445922067189734	1.562015330457823	0.9486870035803996	0.8457869712069517	0.976387181641354	0.9812914316745927
4.0	SzSz y-bond	-0.08467320204244339	0.02282885010110618	3.8956739313230995	4.693189645972488	2.6135783103032644	15.94703477601349	15.303875824501333	12.952276241459865	15.30144122472319	15.025730009011632	12.478567644101563	7.971105141330173	0.7734147819633804	0.9646889864053647	0.9636050597842964	0.9651706890102584	0.9653031183272098
4.0	SzSz x-bond	-0.0629147652344446	0.016469129284444734	0.8149203093551732	6.107909790689593	1.4373038205476703	6.176357390621079	7.239827209794122	7.0108062523142305	7.035920117570863	7.126263642977992	6.081916491394601	5.876225189940813	0.9560590966479399	0.9305907293355583	0.9284324353859196	0.928020886232472	0.930394269842573
4.0	hop y-bond	0.37919101706318636	0.2017656349453443	11.787129558492762	11.787129558492794	13.60082973203458	15.386419918943503	8.149944515940579	8.14994451594058	8.149944515940586	8.149944515940579	8.149944515940584	8.149944515940586	2.2633017254243417	0.9655926392846088	0.9655926392846093	0.9655926392846089	0.9655926392846087
8.0	ZZ onsite	-0.786776839250233	0.36394796927975454	241.05431499159107	241.0543149915906	56.970196807207024	216.42009027631482	140.63922028055714	140.63922028055703	140.63922028055705	140.63922028055714	140.63922028055703	140.63922028055703	0.7714347779541652	0.9970653465644576	0.9970653465644572	0.9970653465644586	0.9970653465644583
8.0	ZZ up-up y1	-0.5079127433696533	0.20710887855306975	2.1029966115221943	6.058119849263073	7.685334977929705	32.79698564344844	28.09325002935561	28.093250029355616	28.09325002935563	28.093250029355623	28.093250029355577	28.09325002935554	0.5023192698063931	0.9849901033653222	0.9849901033653218	0.9849901033653217	0.9849901033653216
8.0	ZZ up-up y2	0.355693428617463	0.15184586836254554	0.7019747161650449	9.33229638293417	10.90798304480369	24.336455647553954	13.95476626864627	13.954766268646276	13.954766268646276	13.954766268646285	13.954766268646258	13.954766268646269	1.955338662403814	0.9655682584569143	0.9655682584569143	0.9655682584569144	0.9655682584569143
8.0	ZZ up-up x1	-0.4705701774083426	0.1823307725771254	1.1434946809439448	7.956703059959981	18.34726261120106	18.988131633126336	18.591337800617595	18.591337800617584	18.591337800617584	18.591337800617598	18.59133780061761	18.591337800617598	1.6298014249704589	0.9805121021363693	0.9805121021363699	0.9805121021363695	0.9805121021363695
8.0	DoubleOcc	0.05323870246939655	0.1032943130979017	15.936953766836234	6.7844892952411975	37.72422167476335	106.0437210208043	19.36608291918502	6.340121460360376	87.55512800600006	101.13798276176554	98.1270124964483	87.70052514374134	1.8919175055979351	0.9705129941684715	0.8976122333662325	0.9938089835088675	0.9947232963812651
8.0	SzSz y-bond	-0.1210348258206666	0.030328778097169475	1.8246111696519973	5.394079788778176	6.768830523811984	22.128692482635245	20.69970775315413	20.75287827149622	21.12048620424604	20.759168189535032	19.76471453527126	16.98194057650485	0.9551616772591537	0.9828242804191752	0.9828726584932113	0.9829817978002002	0.982936465334007
8.0	SzSz x-bond	-0.11201107440019813	0.025988696036617024	1.015916033087257	6.675741147577757	10.902056023414595	13.179480485936589	15.060176862759395	14.790361983974933	14.873994935835142	15.028664667143515	13.465941822424645	9.236023384985204	0.8422062261443026	0.9763493956751838	0.9758323724763128	0.9762122447029983	0.9763179191408562
8.0	hop y-bond	0.2432715133068744	0.13119657387263725	9.282098808202136	9.282098808202296	10.54171925153198	10.724719461581502	3.1760926823029334	3.1760926823029316	3.1760926823029316	3.1760926823029316	3.176092682302934	3.1760926823029334	2.6247138429045935	0.9219221587064592	0.9219221587064598	0.9219221587064594	0.9219221587064595
