W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi2	1.4858581495e-01	ZZ onsite	2	0.94457268	5.54273196e-02	-0.8891453608	-1.0000000000	1.108546e-01	1.246755e-01	54.144757	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi4	4.8948281127e-01	ZZ onsite	2	0.94457268	5.54273196e-02	-0.8891453608	-1.0000000000	1.108546e-01	1.246755e-01	54.144757	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi8	7.5995545243e-01	ZZ onsite	2	0.99308601	3.17723773e-02	-0.8891453608	-0.9526901154	6.354475e-02	7.146723e-02	124.014041	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi16	8.3577590596e-01	ZZ onsite	2	0.99322563	3.15143279e-02	-0.8891453608	-0.9521740166	6.302866e-02	7.088678e-02	125.294126	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi32	9.5865867269e-01	ZZ onsite	2	0.99966023	8.13176721e-03	-0.8891453608	-0.9054088953	1.626353e-02	1.829120e-02	302.591281	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi64	9.8854792504e-01	ZZ onsite	2	0.99994218	3.42833992e-03	-0.8891453608	-0.8960020407	6.856680e-03	7.711540e-03	329.977989	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi128	9.9762865784e-01	ZZ onsite	2	0.99999713	7.72311875e-04	-0.8891453608	-0.8906899846	1.544624e-03	1.737200e-03	336.222277	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi256	9.9976154155e-01	ZZ onsite	2	0.99999996	9.16360296e-05	-0.8891453608	-0.8893286329	1.832721e-04	2.061216e-04	336.557965	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	UHF	1.3065355589e-01	ZZ onsite	2	0.54749061	4.76954986e-01	-0.8891453608	-0.8998046445	1.065928e-02	1.198824e-02	321.078332	336.562764
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi2	1.4858581495e-01	ZZ up-up nb	2	0.94617017	2.25681598e-01	-0.4513631965	0.0000000000	-4.513632e-01	1.000000e+00	1.000000	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi4	4.8948281127e-01	ZZ up-up nb	2	0.96065281	1.91248330e-01	-0.4513631965	-0.0688665355	-3.824967e-01	8.474255e-01	1.369860	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi8	7.5995545243e-01	ZZ up-up nb	2	0.99382172	7.27113991e-02	-0.4513631965	-0.3059403983	-1.454228e-01	3.221858e-01	7.064635	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi16	8.3577590596e-01	ZZ up-up nb	2	0.99582353	5.94325613e-02	-0.4513631965	-0.3324980739	-1.188651e-01	2.633470e-01	9.212417	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi32	9.5865867269e-01	ZZ up-up nb	2	0.99966733	1.64229597e-02	-0.4513631965	-0.4185172771	-3.284592e-02	7.277049e-02	21.190473	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi64	9.8854792504e-01	ZZ up-up nb	2	0.99996638	5.18929674e-03	-0.4513631965	-0.4409846030	-1.037859e-02	2.299389e-02	23.460430	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi128	9.9762865784e-01	ZZ up-up nb	2	0.99999870	1.01966404e-03	-0.4513631965	-0.4493238684	-2.039328e-03	4.518153e-03	23.731510	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi256	9.9976154155e-01	ZZ up-up nb	2	0.99999997	1.55472106e-04	-0.4513631965	-0.4510522522	-3.109442e-04	6.889002e-04	23.742271	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	UHF	1.3065355589e-01	ZZ up-up nb	2	0.51157161	6.02702531e-01	-0.4513631965	-0.9361009046	4.847377e-01	1.073942e+00	0.871922	23.742527
4	3	12	cylinder	true	12.0	-3.9173381392	-3.553e-15	chi2	1.4858581495e-01	SzSz nb	4	0.79346064	3.95444150e-01	-0.1094665486	-0.0000000000	-1.094665e-01	1.000000e+00	1.000000	2.197853
