U	doping	L	chi_prior	observable	prior_fid	S_center	median_absDelta	mean_absDelta	max_absDelta	median_absP	median_relerr	max_relerr	n_relerr
0.0	0.0	8	4	SzSz r=1	0.4378392025717183	1.3037397286954275	0.032101049430186795	0.0380971110648448	0.05315953341441365	0.07184046658606577	0.7399664275666678	1.000000000151402	7
0.0	0.0	8	4	hop up r=1	0.4378392025717183	1.3037397286954275	0.2418946401222536	0.32542950919400454	0.5287522659021204	0.7581053598777466	0.3190778655901627	1.0	7
0.0	0.0	8	4	DoubleOcc	0.4378392025717183	1.3037397286954275	1.1828135693114916e-11	2.6548437059847885e-11	1.009231309634373e-10	0.24999999999705522	4.731254277341155e-11	4.0369252386580356e-10	8
0.0	0.0	8	4	ZZ up-up r=1	0.4378392025717183	1.3037397286954275	0.25680839539025035	0.3047768884878849	0.4252762675771016	0.5747237324228986	0.7399664283641776	1.0000000000000002	7
0.0	0.0	8	4	Sz	0.4378392025717183	1.3037397286954275	2.372886609425251e-12	4.874954606659543e-12	1.488933282223215e-11	9.189524141639538e-14	NaN	NaN	0
0.0	0.0	8	4	ZZ onsite	0.4378392025717183	1.3037397286954275	6.407104447686551e-12	2.4850674794872145e-11	7.846238936348726e-11	1.2096803159861169e-11	NaN	NaN	0
0.0	0.0	8	4	n	0.4378392025717183	1.3037397286954275	1.574479435717535e-11	4.904221473367443e-11	1.6421641824138078e-10	1.000000000000159	1.5744794357168902e-11	1.64216418241475e-10	8
0.0	0.0	8	8	SzSz r=1	0.9029859420714867	1.3037397286954275	0.005089452725740157	0.009428992958711564	0.01943079877462791	0.07184046658606577	0.05478482473478234	0.5587151187623303	7
0.0	0.0	8	8	hop up r=1	0.9029859420714867	1.3037397286954275	0.029869796776206936	0.05159302248310926	0.09681154291884181	0.7581053598777466	0.03464829491963001	0.18309433200001266	7
0.0	0.0	8	8	DoubleOcc	0.9029859420714867	1.3037397286954275	2.0059731653532253e-11	5.187861945588068e-11	1.8305545967933767e-10	0.24999999999705522	8.023892661651774e-11	7.322218387161162e-10	8
0.0	0.0	8	8	ZZ up-up r=1	0.9029859420714867	1.3037397286954275	0.040719227122941626	0.07547619115177269	0.15548413730067162	0.5747237324228986	0.05478967586605519	0.5587224809200412	7
0.0	0.0	8	8	Sz	0.9029859420714867	1.3037397286954275	1.7037760091653809e-13	3.0986671561983314e-13	9.157674618620604e-13	9.189524141639538e-14	NaN	NaN	0
0.0	0.0	8	8	ZZ onsite	0.9029859420714867	1.3037397286954275	3.1618893701207407e-11	1.202160626904633e-10	5.227900837928567e-10	1.2096803159861169e-11	NaN	NaN	0
0.0	0.0	8	8	n	0.9029859420714867	1.3037397286954275	8.85812534434649e-11	1.02353278630396e-10	2.0955381874188106e-10	1.000000000000159	8.858125344343196e-11	2.0955381874200128e-10	8
0.0	0.0	8	16	SzSz r=1	0.9895169004713147	1.3037397286954275	0.00034031233718895965	0.000679419891172435	0.002823444042307166	0.07184046658606577	0.006882406868026336	0.03930158274045261	7
0.0	0.0	8	16	hop up r=1	0.9895169004713147	1.3037397286954275	0.0008986127890439066	0.001435491712166099	0.003938645728375767	0.7581053598777466	0.0010423706986230899	0.005195380400701718	7
0.0	0.0	8	16	DoubleOcc	0.9895169004713147	1.3037397286954275	3.821595817576906e-12	3.661210223881994e-12	7.333161855527237e-12	0.24999999999705522	1.5286383270737807e-11	2.933264742343679e-11	8
0.0	0.0	8	16	ZZ up-up r=1	0.9895169004713147	1.3037397286954275	0.0015297816493317073	0.002194889421947268	0.006260147329573695	0.5747237324228986	0.0020583946856275333	0.010892446190071884	7
0.0	0.0	8	16	Sz	0.9895169004713147	1.3037397286954275	7.939135460155455e-14	1.0636023312082798e-13	2.2283563883007673e-13	9.189524141639538e-14	NaN	NaN	0
0.0	0.0	8	16	ZZ onsite	0.9895169004713147	1.3037397286954275	1.5093409161393012e-11	1.460882163937388e-11	2.8820975120358305e-11	1.2096803159861169e-11	NaN	NaN	0
0.0	0.0	8	16	n	0.9895169004713147	1.3037397286954275	2.69562150378988e-13	3.1546987244723823e-13	6.951106357178105e-13	1.000000000000159	2.695621503788259e-13	6.951106357175264e-13	8
0.0	0.0	8	32	SzSz r=1	0.9998840694372584	1.3037397286954275	9.973919243982943e-6	3.422685994791179e-5	9.742806294887885e-5	0.07184046658606577	0.00010736309916898102	0.001356172468747945	7
0.0	0.0	8	32	hop up r=1	0.9998840694372584	1.3037397286954275	6.111325810798096e-5	8.672274679598952e-5	0.00022696320918891288	0.7581053598777466	7.089000993261377e-5	0.00029938214554440476	7
0.0	0.0	8	32	DoubleOcc	0.9998840694372584	1.3037397286954275	1.6443235661967037e-12	2.2655870235421816e-12	6.665751284273824e-12	0.24999999999705522	6.577294264786034e-12	2.666300513789146e-11	8
0.0	0.0	8	32	ZZ up-up r=1	0.9998840694372584	1.3037397286954275	7.889367008806492e-5	0.0002837515311314471	0.0007799958561169884	0.5747237324228986	0.00010615522239939422	0.0013571666039067349	7
0.0	0.0	8	32	Sz	0.9998840694372584	1.3037397286954275	4.46830072942106e-14	4.643681272842315e-14	1.0574180420164225e-13	9.189524141639538e-14	NaN	NaN	0
0.0	0.0	8	32	ZZ onsite	0.9998840694372584	1.3037397286954275	5.584603959829515e-12	9.062746430046897e-12	2.5184923591048403e-11	1.2096803159861169e-11	NaN	NaN	0
