W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi2	1.4997332858e-03	ZZ onsite	2	0.92671320	7.32867951e-02	-0.8534264098	-1.0000000000	1.465736e-01	1.717472e-01	29.804073	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi4	1.8897443580e-01	ZZ onsite	2	0.99495407	3.26243731e-02	-0.8534264098	-0.9186751560	6.524875e-02	7.645504e-02	100.004331	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi8	7.7251321133e-01	ZZ onsite	2	0.99998424	2.05582016e-03	-0.8534264098	-0.8575380501	4.111640e-03	4.817803e-03	237.996963	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi16	9.8726740386e-01	ZZ onsite	2	0.99999999	4.27253011e-05	-0.8534264098	-0.8535118604	8.545060e-05	1.001265e-04	239.312882	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi32	9.9809663730e-01	ZZ onsite	2	0.99999997	8.76031470e-05	-0.8534264098	-0.8536016161	1.752063e-04	2.052975e-04	239.311050	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi64	9.9996503186e-01	ZZ onsite	2	1.00000000	1.62636875e-06	-0.8534264098	-0.8534296625	3.252737e-06	3.811386e-06	239.313453	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi128	9.9999957901e-01	ZZ onsite	2	1.00000000	1.82240179e-08	-0.8534264098	-0.8534264462	3.644803e-08	4.270788e-08	239.313454	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi256	9.9999999543e-01	ZZ onsite	2	1.00000000	2.90168511e-10	-0.8534264098	-0.8534264103	5.803327e-10	6.800032e-10	239.313454	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi512	9.9999999998e-01	ZZ onsite	2	1.00000000	2.13728341e-12	-0.8534264098	-0.8534264098	4.268919e-12	5.002093e-12	239.313454	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	UHF	1.3805746059e-05	ZZ onsite	2	0.55767942	4.76123631e-01	-0.8534264098	-0.8808493920	2.742298e-02	3.213280e-02	192.055709	239.313454
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi2	1.4997332858e-03	ZZ up-up nb	2	0.92910498	2.56649406e-01	-0.5132988116	0.0000000000	-5.132988e-01	1.000000e+00	1.000000	32.798080
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi4	1.8897443580e-01	ZZ up-up nb	2	0.99982577	1.14166339e-02	-0.5132988116	-0.4904655439	-2.283327e-02	4.448338e-02	30.856551	32.798080
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi8	7.7251321133e-01	ZZ up-up nb	2	0.99997538	4.27051302e-03	-0.5132988116	-0.5047577856	-8.541026e-03	1.663948e-02	32.511845	32.798080
1	64	64	cylinder	true	8.0	-20.7551371895	1.052e-10	chi16	9.8726740386e-01	ZZ up-up nb	2	0.99999943	6.46924071e-04	-0.5132988116	-0.5120049635	-1.293848e-03	2.520653e-03	32.791455	32.798080
