W	geometry	LX	U	r	i	j	prior	x	y	G
1	cylinder	64	4.0	1	39	40	UHF-sym	-0.5679918526	-0.3897349392	8.38243466e+00
1	cylinder	64	4.0	1	40	41	UHF-sym	-0.4597326598	-0.3897349392	1.59909404e+01
1	cylinder	64	4.0	1	41	42	UHF-sym	-0.5692594334	-0.3897349392	8.32619312e+00
1	cylinder	64	4.0	1	42	43	UHF-sym	-0.4582691373	-0.3897349392	1.61140220e+01
1	cylinder	64	4.0	1	43	44	UHF-sym	-0.5709397762	-0.3897349392	8.25263487e+00
1	cylinder	64	4.0	1	44	45	UHF-sym	-0.4563574744	-0.3897349392	1.62727028e+01
1	cylinder	64	4.0	1	45	46	UHF-sym	-0.5731131303	-0.3897349392	8.15915274e+00
1	cylinder	64	4.0	1	46	47	UHF-sym	-0.4539010606	-0.3897349392	1.64725417e+01
1	cylinder	64	4.0	1	47	48	UHF-sym	-0.5758972925	-0.3897349392	8.04207111e+00
1	cylinder	64	4.0	1	17	18	RHF	-0.5758972925	-0.4319583371	1.20116603e+01
1	cylinder	64	4.0	1	18	19	RHF	-0.4539010606	-0.3806268546	1.50306724e+01
1	cylinder	64	4.0	1	19	20	RHF	-0.5731131303	-0.4299400919	1.19776566e+01
1	cylinder	64	4.0	1	20	21	RHF	-0.4563574744	-0.3822818244	1.50872156e+01
1	cylinder	64	4.0	1	21	22	RHF	-0.5709397762	-0.4284094563	1.19563615e+01
1	cylinder	64	4.0	1	22	23	RHF	-0.4582691373	-0.3835410954	1.51259751e+01
1	cylinder	64	4.0	1	23	24	RHF	-0.5692594334	-0.4272533294	1.19430851e+01
1	cylinder	64	4.0	1	24	25	RHF	-0.4597326598	-0.3844878198	1.51524422e+01
1	cylinder	64	4.0	1	25	26	RHF	-0.5679918526	-0.4263971058	1.19349270e+01
1	cylinder	64	4.0	1	26	27	RHF	-0.4608141401	-0.3851775793	1.51701696e+01
1	cylinder	64	4.0	1	27	28	RHF	-0.5670822766	-0.4257912045	1.19300649e+01
1	cylinder	64	4.0	1	28	29	RHF	-0.4615583214	-0.3856472984	1.51814482e+01
1	cylinder	64	4.0	1	29	30	RHF	-0.5664942991	-0.4254033316	1.19273656e+01
1	cylinder	64	4.0	1	30	31	RHF	-0.4619940672	-0.3859204605	1.51877001e+01
1	cylinder	64	4.0	1	31	32	RHF	-0.5662056145	-0.4252139905	1.19261684e+01
1	cylinder	64	4.0	1	32	33	RHF	-0.4621375748	-0.3860101182	1.51897017e+01
1	cylinder	64	4.0	1	33	34	RHF	-0.5662056145	-0.4252139905	1.19261684e+01
1	cylinder	64	4.0	1	34	35	RHF	-0.4619940672	-0.3859204605	1.51877001e+01
1	cylinder	64	4.0	1	35	36	RHF	-0.5664942991	-0.4254033316	1.19273656e+01
1	cylinder	64	4.0	1	36	37	RHF	-0.4615583214	-0.3856472984	1.51814482e+01
1	cylinder	64	4.0	1	37	38	RHF	-0.5670822766	-0.4257912045	1.19300649e+01
1	cylinder	64	4.0	1	38	39	RHF	-0.4608141401	-0.3851775793	1.51701696e+01
1	cylinder	64	4.0	1	39	40	RHF	-0.5679918526	-0.4263971058	1.19349270e+01
1	cylinder	64	4.0	1	40	41	RHF	-0.4597326598	-0.3844878198	1.51524422e+01
1	cylinder	64	4.0	1	41	42	RHF	-0.5692594334	-0.4272533294	1.19430851e+01
1	cylinder	64	4.0	1	42	43	RHF	-0.4582691373	-0.3835410954	1.51259751e+01
1	cylinder	64	4.0	1	43	44	RHF	-0.5709397762	-0.4284094563	1.19563615e+01
1	cylinder	64	4.0	1	44	45	RHF	-0.4563574744	-0.3822818244	1.50872156e+01
1	cylinder	64	4.0	1	45	46	RHF	-0.5731131303	-0.4299400919	1.19776566e+01
1	cylinder	64	4.0	1	46	47	RHF	-0.4539010606	-0.3806268546	1.50306724e+01
1	cylinder	64	4.0	1	47	48	RHF	-0.5758972925	-0.4319583371	1.20116603e+01
1	cylinder	64	4.0	1	17	18	chi4	-0.5758972925	-0.7244486502	1.14639509e+01
1	cylinder	64	4.0	1	18	19	chi4	-0.4539010606	-0.3920137115	1.68432985e+01
1	cylinder	64	4.0	1	19	20	chi4	-0.5731131303	-0.7210605665	1.14122290e+01
1	cylinder	64	4.0	1	20	21	chi4	-0.4563574744	-0.3946311183	1.70768172e+01
1	cylinder	64	4.0	1	21	22	chi4	-0.5709397762	-0.7182666426	1.13887884e+01
1	cylinder	64	4.0	1	22	23	chi4	-0.4582691373	-0.3967952920	1.72817639e+01
1	cylinder	64	4.0	1	23	24	chi4	-0.5692594334	-0.7159428742	1.13892902e+01
1	cylinder	64	4.0	1	24	25	chi4	-0.4597326598	-0.3985960972	1.74644994e+01
1	cylinder	64	4.0	1	25	26	chi4	-0.5679918526	-0.7140037420	1.14110121e+01
1	cylinder	64	4.0	1	26	27	chi4	-0.4608141401	-0.4000957609	1.76294612e+01
1	cylinder	64	4.0	1	27	28	chi4	-0.5670822766	-0.7123898512	1.14523375e+01
1	cylinder	64	4.0	1	28	29	chi4	-0.4615583214	-0.4013373117	1.77797240e+01
1	cylinder	64	4.0	1	29	30	chi4	-0.5664942991	-0.7110605766	1.15124660e+01
1	cylinder	64	4.0	1	30	31	chi4	-0.4619940672	-0.4023496277	1.79173297e+01
1	cylinder	64	4.0	1	31	32	chi4	-0.5662056145	-0.7099896831	1.15912511e+01
1	cylinder	64	4.0	1	32	33	chi4	-0.4621375748	-0.4031503910	1.80434692e+01
1	cylinder	64	4.0	1	33	34	chi4	-0.5662056145	-0.7091628780	1.16891154e+01
1	cylinder	64	4.0	1	34	35	chi4	-0.4619940672	-0.4037476200	1.81585561e+01
1	cylinder	64	4.0	1	35	36	chi4	-0.5664942991	-0.7085767766	1.18070212e+01
1	cylinder	64	4.0	1	36	37	chi4	-0.4615583214	-0.4041400874	1.82622073e+01
1	cylinder	64	4.0	1	37	38	chi4	-0.5670822766	-0.7082390975	1.19464806e+01
1	cylinder	64	4.0	1	38	39	chi4	-0.4608141401	-0.4043166723	1.83531226e+01
1	cylinder	64	4.0	1	39	40	chi4	-0.5679918526	-0.7081701723	1.21095975e+01
1	cylinder	64	4.0	1	40	41	chi4	-0.4597326598	-0.4042544744	1.84288393e+01
1	cylinder	64	4.0	1	41	42	chi4	-0.5692594334	-0.7084061537	1.22991359e+01
1	cylinder	64	4.0	1	42	43	chi4	-0.4582691373	-0.4039151916	1.84853010e+01
1	cylinder	64	4.0	1	43	44	chi4	-0.5709397762	-0.7090047850	1.25185985e+01
1	cylinder	64	4.0	1	44	45	chi4	-0.4563574744	-0.4032387492	1.85161292e+01
1	cylinder	64	4.0	1	45	46	chi4	-0.5731131303	-0.7100554387	1.27722762e+01
1	cylinder	64	4.0	1	46	47	chi4	-0.4539010606	-0.4021321480	1.85113845e+01
1	cylinder	64	4.0	1	47	48	chi4	-0.5758972925	-0.7116968954	1.30651594e+01
1	cylinder	64	4.0	1	17	18	chi8	-0.5758972925	-0.5884784188	4.41800895e+01
1	cylinder	64	4.0	1	18	19	chi8	-0.4539010606	-0.4385678491	2.34483518e+01
1	cylinder	64	4.0	1	19	20	chi8	-0.5731131303	-0.5858986947	4.35345909e+01
1	cylinder	64	4.0	1	20	21	chi8	-0.4563574744	-0.4408807987	2.37432170e+01
1	cylinder	64	4.0	1	21	22	chi8	-0.5709397762	-0.5838154796	4.30471576e+01
1	cylinder	64	4.0	1	22	23	chi8	-0.4582691373	-0.4427514871	2.39804678e+01
1	cylinder	64	4.0	1	23	24	chi8	-0.5692594334	-0.5821255665	4.26852983e+01
1	cylinder	64	4.0	1	24	25	chi8	-0.4597326598	-0.4442656742	2.41701733e+01
1	cylinder	64	4.0	1	25	26	chi8	-0.5679918526	-0.5807597644	4.24270481e+01
1	cylinder	64	4.0	1	26	27	chi8	-0.4608141401	-0.4454811319	2.43191148e+01
1	cylinder	64	4.0	1	27	28	chi8	-0.5670822766	-0.5796716906	4.22574133e+01
1	cylinder	64	4.0	1	28	29	chi8	-0.4615583214	-0.4464362717	2.44317253e+01
1	cylinder	64	4.0	1	29	30	chi8	-0.5664942991	-0.5788312654	4.21662969e+01
1	cylinder	64	4.0	1	30	31	chi8	-0.4619940672	-0.4471552000	2.45106542e+01
1	cylinder	64	4.0	1	31	32	chi8	-0.5662056145	-0.5782209412	4.21472727e+01
1	cylinder	64	4.0	1	32	33	chi8	-0.4621375748	-0.4476505969	2.45570961e+01
1	cylinder	64	4.0	1	33	34	chi8	-0.5662056145	-0.5778336684	4.21968856e+01
1	cylinder	64	4.0	1	34	35	chi8	-0.4619940672	-0.4479251345	2.45709561e+01
1	cylinder	64	4.0	1	35	36	chi8	-0.5664942991	-0.5776721058	4.23143195e+01
1	cylinder	64	4.0	1	36	37	chi8	-0.4615583214	-0.4479717642	2.45508891e+01
1	cylinder	64	4.0	1	37	38	chi8	-0.5670822766	-0.5777488847	4.25013615e+01
1	cylinder	64	4.0	1	38	39	chi8	-0.4608141401	-0.4477729498	2.44942240e+01
1	cylinder	64	4.0	1	39	40	chi8	-0.5679918526	-0.5780879591	4.27626632e+01
1	cylinder	64	4.0	1	40	41	chi8	-0.4597326598	-0.4472987094	2.43967623e+01
1	cylinder	64	4.0	1	41	42	chi8	-0.5692594334	-0.5787273024	4.31063636e+01
1	cylinder	64	4.0	1	42	43	chi8	-0.4582691373	-0.4465030567	2.42524169e+01
1	cylinder	64	4.0	1	43	44	chi8	-0.5709397762	-0.5797235304	4.35452333e+01
1	cylinder	64	4.0	1	44	45	chi8	-0.4563574744	-0.4453180327	2.40526211e+01
1	cylinder	64	4.0	1	45	46	chi8	-0.5731131303	-0.5811595605	4.40986609e+01
1	cylinder	64	4.0	1	46	47	chi8	-0.4539010606	-0.4436437787	2.37853769e+01
1	cylinder	64	4.0	1	47	48	chi8	-0.5758972925	-0.5831574273	4.47961211e+01
1	cylinder	64	4.0	2	17	19	UHF	0.1290787452	0.5824755118	1.27977337e-01
1	cylinder	64	4.0	2	18	20	UHF	0.1279842891	0.5824755118	1.26112926e-01
1	cylinder	64	4.0	2	19	21	UHF	0.1289656115	0.5824755118	1.27783377e-01
1	cylinder	64	4.0	2	20	22	UHF	0.1281104559	0.5824755119	1.26326495e-01
1	cylinder	64	4.0	2	21	23	UHF	0.1288735862	0.5824755118	1.27625816e-01
1	cylinder	64	4.0	2	22	24	UHF	0.1282119649	0.5824755118	1.26498581e-01
1	cylinder	64	4.0	2	23	25	UHF	0.1287958800	0.5824755118	1.27492920e-01
1	cylinder	64	4.0	2	24	26	UHF	0.1282965335	0.5824755118	1.26642122e-01
1	cylinder	64	4.0	2	25	27	UHF	0.1287278515	0.5824755118	1.27376684e-01
1	cylinder	64	4.0	2	26	28	UHF	0.1283694108	0.5824755118	1.26765947e-01
1	cylinder	64	4.0	2	27	29	UHF	0.1286661253	0.5824755118	1.27271307e-01
1	cylinder	64	4.0	2	28	30	UHF	0.1284343644	0.5824755118	1.26876407e-01
1	cylinder	64	4.0	2	29	31	UHF	0.1286080717	0.5824755118	1.27172277e-01
1	cylinder	64	4.0	2	30	32	UHF	0.1284942667	0.5824755118	1.26978361e-01
1	cylinder	64	4.0	2	31	33	UHF	0.1285514703	0.5824755118	1.27075796e-01
1	cylinder	64	4.0	2	32	34	UHF	0.1285514703	0.5824755118	1.27075796e-01
1	cylinder	64	4.0	2	33	35	UHF	0.1284942667	0.5824755118	1.26978361e-01
1	cylinder	64	4.0	2	34	36	UHF	0.1286080717	0.5824755118	1.27172277e-01
1	cylinder	64	4.0	2	35	37	UHF	0.1284343644	0.5824755118	1.26876407e-01
1	cylinder	64	4.0	2	36	38	UHF	0.1286661253	0.5824755118	1.27271307e-01
1	cylinder	64	4.0	2	37	39	UHF	0.1283694108	0.5824755118	1.26765947e-01
1	cylinder	64	4.0	2	38	40	UHF	0.1287278515	0.5824755118	1.27376684e-01
1	cylinder	64	4.0	2	39	41	UHF	0.1282965335	0.5824755118	1.26642122e-01
1	cylinder	64	4.0	2	40	42	UHF	0.1287958800	0.5824755118	1.27492920e-01
1	cylinder	64	4.0	2	41	43	UHF	0.1282119649	0.5824755118	1.26498581e-01
1	cylinder	64	4.0	2	42	44	UHF	0.1288735862	0.5824755118	1.27625816e-01
1	cylinder	64	4.0	2	43	45	UHF	0.1281104559	0.5824755118	1.26326495e-01
1	cylinder	64	4.0	2	44	46	UHF	0.1289656115	0.5824755118	1.27783377e-01
1	cylinder	64	4.0	2	45	47	UHF	0.1279842891	0.5824755118	1.26112926e-01
1	cylinder	64	4.0	2	46	48	UHF	0.1290787452	0.5824755118	1.27977337e-01
1	cylinder	64	4.0	2	17	19	UHF-sym	0.1290787452	0.1941585039	1.81226305e+00
1	cylinder	64	4.0	2	18	20	UHF-sym	0.1279842891	0.1941585039	1.77702456e+00
1	cylinder	64	4.0	2	19	21	UHF-sym	0.1289656115	0.1941585039	1.80859494e+00
1	cylinder	64	4.0	2	20	22	UHF-sym	0.1281104559	0.1941585039	1.78105870e+00
1	cylinder	64	4.0	2	21	23	UHF-sym	0.1288735862	0.1941585039	1.80561556e+00
1	cylinder	64	4.0	2	22	24	UHF-sym	0.1282119649	0.1941585039	1.78430973e+00
1	cylinder	64	4.0	2	23	25	UHF-sym	0.1287958800	0.1941585039	1.80310280e+00
1	cylinder	64	4.0	2	24	26	UHF-sym	0.1282965335	0.1941585039	1.78702182e+00
1	cylinder	64	4.0	2	25	27	UHF-sym	0.1287278515	0.1941585039	1.80090526e+00
1	cylinder	64	4.0	2	26	28	UHF-sym	0.1283694108	0.1941585039	1.78936162e+00
1	cylinder	64	4.0	2	27	29	UHF-sym	0.1286661253	0.1941585039	1.79891315e+00
1	cylinder	64	4.0	2	28	30	UHF-sym	0.1284343644	0.1941585039	1.79144908e+00
1	cylinder	64	4.0	2	29	31	UHF-sym	0.1286080717	0.1941585039	1.79704116e+00
1	cylinder	64	4.0	2	30	32	UHF-sym	0.1284942667	0.1941585039	1.79337592e+00
1	cylinder	64	4.0	2	31	33	UHF-sym	0.1285514703	0.1941585039	1.79521750e+00
1	cylinder	64	4.0	2	32	34	UHF-sym	0.1285514703	0.1941585039	1.79521750e+00
1	cylinder	64	4.0	2	33	35	UHF-sym	0.1284942667	0.1941585039	1.79337592e+00
1	cylinder	64	4.0	2	34	36	UHF-sym	0.1286080717	0.1941585039	1.79704116e+00
1	cylinder	64	4.0	2	35	37	UHF-sym	0.1284343644	0.1941585039	1.79144908e+00
1	cylinder	64	4.0	2	36	38	UHF-sym	0.1286661253	0.1941585039	1.79891315e+00
1	cylinder	64	4.0	2	37	39	UHF-sym	0.1283694108	0.1941585039	1.78936162e+00
1	cylinder	64	4.0	2	38	40	UHF-sym	0.1287278515	0.1941585039	1.80090526e+00
1	cylinder	64	4.0	2	39	41	UHF-sym	0.1282965335	0.1941585039	1.78702182e+00
1	cylinder	64	4.0	2	40	42	UHF-sym	0.1287958800	0.1941585039	1.80310280e+00
1	cylinder	64	4.0	2	41	43	UHF-sym	0.1282119649	0.1941585039	1.78430973e+00
1	cylinder	64	4.0	2	42	44	UHF-sym	0.1288735862	0.1941585039	1.80561556e+00
1	cylinder	64	4.0	2	43	45	UHF-sym	0.1281104559	0.1941585039	1.78105870e+00
1	cylinder	64	4.0	2	44	46	UHF-sym	0.1289656115	0.1941585039	1.80859494e+00
1	cylinder	64	4.0	2	45	47	UHF-sym	0.1279842891	0.1941585039	1.77702456e+00
1	cylinder	64	4.0	2	46	48	UHF-sym	0.1290787452	0.1941585039	1.81226305e+00
1	cylinder	64	4.0	2	17	19	RHF	0.1290787452	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	18	20	RHF	0.1279842891	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	19	21	RHF	0.1289656115	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	20	22	RHF	0.1281104559	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	21	23	RHF	0.1288735862	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	22	24	RHF	0.1282119649	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	23	25	RHF	0.1287958800	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	24	26	RHF	0.1282965335	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	25	27	RHF	0.1287278515	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	26	28	RHF	0.1283694108	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	27	29	RHF	0.1286661253	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	28	30	RHF	0.1284343644	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	29	31	RHF	0.1286080717	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	30	32	RHF	0.1284942667	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	31	33	RHF	0.1285514703	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	32	34	RHF	0.1285514703	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	33	35	RHF	0.1284942667	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	34	36	RHF	0.1286080717	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	35	37	RHF	0.1284343644	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	36	38	RHF	0.1286661253	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	37	39	RHF	0.1283694108	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	38	40	RHF	0.1287278515	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	39	41	RHF	0.1282965335	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	40	42	RHF	0.1287958800	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	41	43	RHF	0.1282119649	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	42	44	RHF	0.1288735862	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	43	45	RHF	0.1281104559	0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	44	46	RHF	0.1289656115	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	45	47	RHF	0.1279842891	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	46	48	RHF	0.1290787452	-0.0000000000	1.00000000e+00
1	cylinder	64	4.0	2	17	19	chi4	0.1290787452	0.1992177760	1.73468944e+00
1	cylinder	64	4.0	2	18	20	chi4	0.1279842891	0.1981128287	1.71710176e+00
1	cylinder	64	4.0	2	19	21	chi4	0.1289656115	0.1992566987	1.73053565e+00
1	cylinder	64	4.0	2	20	22	chi4	0.1281104559	0.1983406556	1.71760622e+00
1	cylinder	64	4.0	2	21	23	chi4	0.1288735862	0.1992817694	1.72726272e+00
1	cylinder	64	4.0	2	22	24	chi4	0.1282119649	0.1985165286	1.71812340e+00
1	cylinder	64	4.0	2	23	25	chi4	0.1287958800	0.1992963954	1.72460215e+00
1	cylinder	64	4.0	2	24	26	chi4	0.1282965335	0.1986554931	1.71866798e+00
1	cylinder	64	4.0	2	25	27	chi4	0.1287278515	0.1993026970	1.72237420e+00
1	cylinder	64	4.0	2	26	28	chi4	0.1283694108	0.1987676747	1.71925149e+00
1	cylinder	64	4.0	2	27	29	chi4	0.1286661253	0.1993019251	1.72045294e+00
1	cylinder	64	4.0	2	28	30	chi4	0.1284343644	0.1988601497	1.71988503e+00
1	cylinder	64	4.0	2	29	31	chi4	0.1286080717	0.1992946898	1.71874611e+00
1	cylinder	64	4.0	2	30	32	chi4	0.1284942667	0.1989380514	1.72058102e+00
1	cylinder	64	4.0	2	31	33	chi4	0.1285514703	0.1992810683	1.71718264e+00
1	cylinder	64	4.0	2	32	34	chi4	0.1285514703	0.1990052589	1.72135455e+00
1	cylinder	64	4.0	2	33	35	chi4	0.1284942667	0.1992606254	1.71570465e+00
1	cylinder	64	4.0	2	34	36	chi4	0.1286080717	0.1990648498	1.72222481e+00
1	cylinder	64	4.0	2	35	37	chi4	0.1284343644	0.1992323522	1.71426178e+00
1	cylinder	64	4.0	2	36	38	chi4	0.1286661253	0.1991194234	1.72321695e+00
1	cylinder	64	4.0	2	37	39	chi4	0.1283694108	0.1991945055	1.71280692e+00
1	cylinder	64	4.0	2	38	40	chi4	0.1287278515	0.1991713572	1.72436477e+00
1	cylinder	64	4.0	2	39	41	chi4	0.1282965335	0.1991443078	1.71129248e+00
1	cylinder	64	4.0	2	40	42	chi4	0.1287958800	0.1992230486	1.72571469e+00
1	cylinder	64	4.0	2	41	43	chi4	0.1282119649	0.1990774089	1.70966686e+00
1	cylinder	64	4.0	2	42	44	chi4	0.1288735862	0.1992771928	1.72733220e+00
1	cylinder	64	4.0	2	43	45	chi4	0.1281104559	0.1989869249	1.70787068e+00
1	cylinder	64	4.0	2	44	46	chi4	0.1289656115	0.1993371736	1.72931247e+00
1	cylinder	64	4.0	2	45	47	chi4	0.1279842891	0.1988616531	1.70583302e+00
1	cylinder	64	4.0	2	46	48	chi4	0.1290787452	0.1994077063	1.73179852e+00
1	cylinder	64	4.0	2	17	19	chi8	0.1290787452	0.1149404677	2.46162070e+00
1	cylinder	64	4.0	2	18	20	chi8	0.1279842891	0.1138576933	2.43630775e+00
1	cylinder	64	4.0	2	19	21	chi8	0.1289656115	0.1144875314	2.45686487e+00
1	cylinder	64	4.0	2	20	22	chi8	0.1281104559	0.1136538264	2.43718142e+00
1	cylinder	64	4.0	2	21	23	chi8	0.1288735862	0.1141140084	2.45293460e+00
1	cylinder	64	4.0	2	22	24	chi8	0.1282119649	0.1134801658	2.43778989e+00
1	cylinder	64	4.0	2	23	25	chi8	0.1287958800	0.1138034467	2.44962639e+00
1	cylinder	64	4.0	2	24	26	chi8	0.1282965335	0.1133358957	2.43827526e+00
1	cylinder	64	4.0	2	25	27	chi8	0.1287278515	0.1135445121	2.44680047e+00
1	cylinder	64	4.0	2	26	28	chi8	0.1283694108	0.1132203401	2.43873336e+00
1	cylinder	64	4.0	2	27	29	chi8	0.1286661253	0.1133292908	2.44435696e+00
1	cylinder	64	4.0	2	28	30	chi8	0.1284343644	0.1131333060	2.43923464e+00
1	cylinder	64	4.0	2	29	31	chi8	0.1286080717	0.1131522739	2.44222187e+00
1	cylinder	64	4.0	2	30	32	chi8	0.1284942667	0.1130752791	2.43983657e+00
1	cylinder	64	4.0	2	31	33	chi8	0.1285514703	0.1130097332	2.44033807e+00
1	cylinder	64	4.0	2	32	34	chi8	0.1285514703	0.1130475822	2.44059173e+00
1	cylinder	64	4.0	2	33	35	chi8	0.1284942667	0.1128993330	2.43865915e+00
1	cylinder	64	4.0	2	34	36	chi8	0.1286080717	0.1130525574	2.44155389e+00
1	cylinder	64	4.0	2	35	37	chi8	0.1284343644	0.1128198928	2.43714461e+00
1	cylinder	64	4.0	2	36	38	chi8	0.1286661253	0.1130938144	2.44278342e+00
1	cylinder	64	4.0	2	37	39	chi8	0.1283694108	0.1127712513	2.43575540e+00
1	cylinder	64	4.0	2	38	40	chi8	0.1287278515	0.1131765967	2.44435316e+00
1	cylinder	64	4.0	2	39	41	chi8	0.1282965335	0.1127541966	2.43444878e+00
1	cylinder	64	4.0	2	40	42	chi8	0.1287958800	0.1133083300	2.44635585e+00
1	cylinder	64	4.0	2	41	43	chi8	0.1282119649	0.1127704341	2.43317139e+00
1	cylinder	64	4.0	2	42	44	chi8	0.1288735862	0.1134994656	2.44891455e+00
1	cylinder	64	4.0	2	43	45	chi8	0.1281104559	0.1128225491	2.43184810e+00
1	cylinder	64	4.0	2	44	46	chi8	0.1289656115	0.1137648043	2.45219874e+00
1	cylinder	64	4.0	2	45	47	chi8	0.1279842891	0.1129138751	2.43036270e+00
1	cylinder	64	4.0	2	46	48	chi8	0.1290787452	0.1141256418	2.45645054e+00
1	cylinder	64	4.0	3	17	20	UHF	-0.1537037255	-0.5938010547	1.69096967e-01
1	cylinder	64	4.0	3	18	21	UHF	-0.1074136926	-0.5938010547	9.14757962e-02
1	cylinder	64	4.0	3	19	22	UHF	-0.1527550037	-0.5938010547	1.67007597e-01
1	cylinder	64	4.0	3	20	23	UHF	-0.1082674059	-0.5938010547	9.25215227e-02
1	cylinder	64	4.0	3	21	24	UHF	-0.1520164658	-0.5938010547	1.65397877e-01
1	cylinder	64	4.0	3	22	25	UHF	-0.1089266927	-0.5938010547	9.33375603e-02
1	cylinder	64	4.0	3	23	26	UHF	-0.1514509239	-0.5938010547	1.64175064e-01
1	cylinder	64	4.0	3	24	27	UHF	-0.1094236084	-0.5938010547	9.39575315e-02
1	cylinder	64	4.0	3	25	28	UHF	-0.1510329353	-0.5938010547	1.63276742e-01
1	cylinder	64	4.0	3	26	29	UHF	-0.1097799640	-0.5938010547	9.44047462e-02
1	cylinder	64	4.0	3	27	30	UHF	-0.1507452732	-0.5938010547	1.62661194e-01
1	cylinder	64	4.0	3	28	31	UHF	-0.1100102300	-0.5938010547	9.46948871e-02
1	cylinder	64	4.0	3	29	32	UHF	-0.1505768218	-0.5938010547	1.62301747e-01
1	cylinder	64	4.0	3	30	33	UHF	-0.1101232596	-0.5938010547	9.48376425e-02
1	cylinder	64	4.0	3	31	34	UHF	-0.1505213420	-0.5938010547	1.62183526e-01
1	cylinder	64	4.0	3	32	35	UHF	-0.1101232596	-0.5938010547	9.48376425e-02
1	cylinder	64	4.0	3	33	36	UHF	-0.1505768218	-0.5938010547	1.62301747e-01
1	cylinder	64	4.0	3	34	37	UHF	-0.1100102300	-0.5938010547	9.46948871e-02
1	cylinder	64	4.0	3	35	38	UHF	-0.1507452732	-0.5938010547	1.62661194e-01
1	cylinder	64	4.0	3	36	39	UHF	-0.1097799640	-0.5938010547	9.44047462e-02
1	cylinder	64	4.0	3	37	40	UHF	-0.1510329353	-0.5938010547	1.63276743e-01
1	cylinder	64	4.0	3	38	41	UHF	-0.1094236084	-0.5938010547	9.39575315e-02
1	cylinder	64	4.0	3	39	42	UHF	-0.1514509239	-0.5938010547	1.64175064e-01
1	cylinder	64	4.0	3	40	43	UHF	-0.1089266927	-0.5938010547	9.33375603e-02
1	cylinder	64	4.0	3	41	44	UHF	-0.1520164658	-0.5938010547	1.65397877e-01
1	cylinder	64	4.0	3	42	45	UHF	-0.1082674059	-0.5938010547	9.25215227e-02
1	cylinder	64	4.0	3	43	46	UHF	-0.1527550037	-0.5938010547	1.67007597e-01
1	cylinder	64	4.0	3	44	47	UHF	-0.1074136926	-0.5938010547	9.14757962e-02
1	cylinder	64	4.0	3	45	48	UHF	-0.1537037255	-0.5938010547	1.69096967e-01
1	cylinder	64	4.0	3	17	20	UHF-sym	-0.1537037255	-0.1995974517	2.64383909e+00
1	cylinder	64	4.0	3	18	21	UHF-sym	-0.1074136926	-0.1995974517	1.15495202e+00
1	cylinder	64	4.0	3	19	22	UHF-sym	-0.1527550037	-0.1995974517	2.60372835e+00
1	cylinder	64	4.0	3	20	23	UHF-sym	-0.1082674059	-0.1995974517	1.17372941e+00
1	cylinder	64	4.0	3	21	24	UHF-sym	-0.1520164658	-0.1995974517	2.57274006e+00
1	cylinder	64	4.0	3	22	25	UHF-sym	-0.1089266927	-0.1995974517	1.18843176e+00
1	cylinder	64	4.0	3	23	26	UHF-sym	-0.1514509239	-0.1995974517	2.54915314e+00
1	cylinder	64	4.0	3	24	27	UHF-sym	-0.1094236084	-0.1995974517	1.19963007e+00
1	cylinder	64	4.0	3	25	28	UHF-sym	-0.1510329353	-0.1995974517	2.53180087e+00
1	cylinder	64	4.0	3	26	29	UHF-sym	-0.1097799640	-0.1995974517	1.20772299e+00
1	cylinder	64	4.0	3	27	30	UHF-sym	-0.1507452732	-0.1995974517	2.51989919e+00
1	cylinder	64	4.0	3	28	31	UHF-sym	-0.1100102300	-0.1995974517	1.21298015e+00
