W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	64	cylinder	8.0	1.088e-10	UHF	P	17	1	-0.853565615243	-0.880849392040
1	64	cylinder	8.0	1.088e-10	UHF	P	17	2	0.862030551288	0.882678484608
1	64	cylinder	8.0	1.088e-10	UHF	P	17	3	-0.850942765847	-0.882564778265
1	64	cylinder	8.0	1.088e-10	UHF	P	17	4	0.860931862002	0.882568782750
1	64	cylinder	8.0	1.088e-10	UHF	P	17	5	-0.851233230498	-0.882568535035
1	64	cylinder	8.0	1.088e-10	UHF	P	17	6	0.860670516950	0.882568545550
1	64	cylinder	8.0	1.088e-10	UHF	P	17	7	-0.851430121034	-0.882568545011
1	64	cylinder	8.0	1.088e-10	UHF	P	17	8	0.860510834880	0.882568545033
1	64	cylinder	8.0	1.088e-10	UHF	P	17	9	-0.851563180571	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	10	0.860401303129	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	11	-0.851654322714	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	12	0.860327715058	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	13	-0.851712951042	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	14	0.860283749625	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	15	-0.851743649534	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	16	0.860266257925	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	17	-0.851748642920	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	18	0.860273865796	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	19	-0.851728665659	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	20	0.860306468369	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	21	-0.851683274153	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	22	0.860365076737	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	23	-0.851610897782	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	24	0.860451864420	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	25	-0.851508710041	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	26	0.860570385385	0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	27	-0.851372314371	-0.882568545031
1	64	cylinder	8.0	1.088e-10	UHF	P	17	28	0.860726001603	0.882568545031
