W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi2	5.3084328165e-03	ZZ onsite	2	0.96437938	3.56206227e-02	-0.9287587545	-1.0000000000	7.124125e-02	7.670587e-02	130.511951	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi4	3.0658272569e-01	ZZ onsite	2	0.96437938	3.56206227e-02	-0.9287587545	-1.0000000000	7.124125e-02	7.670587e-02	130.511951	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi8	7.9458625234e-01	ZZ onsite	2	0.99999205	1.03750670e-03	-0.9287587545	-0.9308337679	2.075013e-03	2.234179e-03	557.459750	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi16	9.8768608024e-01	ZZ onsite	2	0.99999959	2.37153929e-04	-0.9287587545	-0.9292330624	4.743079e-04	5.106901e-04	558.931128	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi32	9.9916038954e-01	ZZ onsite	2	0.99999999	3.57178501e-05	-0.9287587545	-0.9288301902	7.143570e-05	7.691524e-05	559.010625	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi64	9.9998755332e-01	ZZ onsite	2	1.00000000	6.36689826e-07	-0.9287587545	-0.9287600279	1.273380e-06	1.371055e-06	559.012470	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi128	9.9999984401e-01	ZZ onsite	2	1.00000000	9.66531776e-09	-0.9287587545	-0.9287587738	1.933064e-08	2.081341e-08	559.012471	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi256	9.9999999894e-01	ZZ onsite	2	1.00000000	6.71088098e-11	-0.9287587545	-0.9287587546	1.342177e-10	1.445130e-10	559.012471	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	chi512	1.0000000000e+00	ZZ onsite	2	1.00000000	1.79519594e-13	-0.9287587545	-0.9287587545	3.639311e-13	3.918468e-13	559.012471	559.012471
1	64	64	cylinder	true	12.0	-14.2634906496	1.896e-10	UHF	6.7297958067e-06	ZZ onsite	2	0.52638696	4.90420788e-01	-0.9287587545	-0.9456014614	1.684271e-02	1.813464e-02	472.334032	559.012471
