W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi2	8.0915275517e-02	ZZ onsite	2	0.79928525	2.00714755e-01	-0.5985704905	-1.0000000000	4.014295e-01	6.706470e-01	2.170915	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi4	4.2055685752e-01	ZZ onsite	2	0.99003548	7.36009016e-02	-0.5985704905	-0.7457722937	1.472018e-01	2.459223e-01	12.652672	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi8	9.6426269066e-01	ZZ onsite	2	0.99998346	3.24811970e-03	-0.5985704905	-0.6050667299	6.496239e-03	1.085292e-02	50.334929	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi16	9.9523275581e-01	ZZ onsite	2	0.99999903	7.88539239e-04	-0.5985704905	-0.6001475690	1.577078e-03	2.634741e-03	50.611731	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi32	9.9991872098e-01	ZZ onsite	2	1.00000000	8.96259483e-06	-0.5985704905	-0.5985884157	1.792519e-05	2.994666e-05	50.629166	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi64	9.9999795727e-01	ZZ onsite	2	1.00000000	3.30121850e-07	-0.5985704905	-0.5985711508	6.602437e-07	1.103034e-06	50.629168	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi128	9.9999997969e-01	ZZ onsite	2	1.00000000	3.85322745e-09	-0.5985704905	-0.5985704982	7.706456e-09	1.287477e-08	50.629168	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi256	9.9999999994e-01	ZZ onsite	2	1.00000000	1.46455695e-11	-0.5985704905	-0.5985704905	2.929113e-11	4.893513e-11	50.629168	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi512	1.0000000000e+00	ZZ onsite	2	1.00000000	1.21291865e-14	-0.5985704905	-0.5985704905	2.409184e-14	4.024896e-14	50.629168	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	UHF	8.4959319498e-02	ZZ onsite	2	0.69671702	3.86298213e-01	-0.5985704905	-0.5913056145	-7.264876e-03	1.213704e-02	50.261717	50.629168
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi2	8.0915275517e-02	ZZ up-up nb	2	0.95873502	1.98902432e-01	-0.3978048650	-0.0000000000	-3.978049e-01	1.000000e+00	1.000000	17.711055
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi4	4.2055685752e-01	ZZ up-up nb	2	0.99934351	2.37608211e-02	-0.3978048650	-0.3502832227	-4.752164e-02	1.194597e-01	14.300673	17.711055
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi8	9.6426269066e-01	ZZ up-up nb	2	0.99999326	2.38471420e-03	-0.3978048650	-0.3930354365	-4.769428e-03	1.198937e-02	17.668613	17.711055
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi16	9.9523275581e-01	ZZ up-up nb	2	0.99999746	1.46389171e-03	-0.3978048650	-0.3948770815	-2.927783e-03	7.359848e-03	17.695038	17.711055
1	16	16	cylinder	true	4.0	-8.8187674548	1.016e-11	chi32	9.9991872098e-01	ZZ up-up nb	2	0.99999999	7.80647849e-05	-0.3978048650	-0.3976487354	-1.561296e-04	3.924778e-04	17.711009	17.711055
