L	doping	site	observable	pure	absA	prior	true	Delta	absDelta	F_window	infid	D_trace	G_theory	G_max
16	0.0	2	n	false	0	chi2	1.0000000000004123	4.1233683134578314e-13	4.1233683134578314e-13	0.6251171873166854	0.3748828126833146	0.49618559814012164	NaN	NaN
16	0.0	2	Sz	false	0	chi2	1.5856201768249534e-11	8.32094306651987e-10	8.32094306651987e-10	0.6251171873166854	0.3748828126833146	0.49618559814012164	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi2	0.09924590305558903	0.09924590305558903	0.09924590305558903	0.6251171873166854	0.3748828126833146	0.49618559814012164	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi2	-0.6030163877784674	0.39698361222153256	0.39698361222153256	0.6251171873166854	0.3748828126833146	0.49618559814012164	2.250539100453945	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi2	-0.3246202548466486	-0.32462025484664875	0.32462025484664875	0.6251171873166854	0.3748828126833146	0.49618559814012164	0.999999999999999	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi2	-0.06579499793592983	-0.06579499793592987	0.06579499793592987	0.6251171873166854	0.3748828126833146	0.49618559814012164	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi2	0.37651192422886853	0.37651192422886853	0.37651192422886853	0.6251171873166854	0.3748828126833146	0.49618559814012164	NaN	NaN
16	0.0	2	n	false	0	chi4	1.0000000000004123	6.839650845691381e-9	6.839650845691381e-9	0.8930986311298793	0.1069013688701207	0.30943990815281425	NaN	NaN
16	0.0	2	Sz	false	0	chi4	1.5856201768249534e-11	1.3864458196094498e-8	1.3864458196094498e-8	0.8930986311298793	0.1069013688701207	0.30943990815281425	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi4	0.09924590305558903	0.009013573409828057	0.009013573409828057	0.8930986311298793	0.1069013688701207	0.30943990815281425	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi4	-0.6030163877784674	0.03605427996001187	0.03605427996001187	0.8930986311298793	0.1069013688701207	0.30943990815281425	43.83308955376548	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi4	-0.3246202548466486	-0.2868376439421034	0.2868376439421034	0.8930986311298793	0.1069013688701207	0.30943990815281425	1.2501883670518756	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi4	-0.06579499793592983	-0.06579499793592984	0.06579499793592984	0.8930986311298793	0.1069013688701207	0.30943990815281425	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi4	0.37651192422886853	0.12765781177698393	0.12765781177698393	0.8930986311298793	0.1069013688701207	0.30943990815281425	NaN	NaN
16	0.0	2	n	false	0	chi8	1.0000000000004123	1.044417108353457e-9	1.044417108353457e-9	0.9998816020194282	0.00011839798057178275	0.006826006820187364	NaN	NaN
16	0.0	2	Sz	false	0	chi8	1.5856201768249534e-11	-1.5372820481862615e-9	1.5372820481862615e-9	0.9998816020194282	0.00011839798057178275	0.006826006820187364	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi8	0.09924590305558903	0.0005442486836430283	0.0005442486836430283	0.9998816020194282	0.00011839798057178275	0.006826006820187364	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi8	-0.6030163877784674	0.0021769926457388955	0.0021769926457388955	0.9998816020194282	0.00011839798057178275	0.006826006820187364	51.75771962135343	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi8	-0.3246202548466486	-0.006279721857524179	0.006279721857524179	0.9998816020194282	0.00011839798057178275	0.006826006820187364	11.4255360243161	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi8	-0.06579499793592983	-0.0006096562391949834	0.0006096562391949834	0.9998816020194282	0.00011839798057178275	0.006826006820187364	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi8	0.37651192422886853	0.003593930333580575	0.003593930333580575	0.9998816020194282	0.00011839798057178275	0.006826006820187364	NaN	NaN
16	0.0	2	n	false	0	chi16	1.0000000000004123	-2.1667556637794405e-11	2.1667556637794405e-11	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	NaN	NaN
16	0.0	2	Sz	false	0	chi16	1.5856201768249534e-11	-8.975213107442759e-10	8.975213107442759e-10	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi16	0.09924590305558903	3.408702816568021e-5	3.408702816568021e-5	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi16	-0.6030163877784674	0.0001363481559982782	0.0001363481559982782	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	51.791848177141816	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi16	-0.3246202548466486	-3.0197857231517578e-5	3.0197857231517578e-5	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	11.470302754321754	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi16	-0.06579499793592983	-1.4335396470527284e-5	1.4335396470527284e-5	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi16	0.37651192422886853	1.080426077532115e-5	1.080426077532115e-5	0.9999997864902809	2.135097191269253e-7	0.0003374962656731839	NaN	NaN
16	0.0	2	n	false	0	chi32	1.0000000000004123	1.985567266160615e-11	1.985567266160615e-11	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	NaN	NaN
16	0.0	2	Sz	false	0	chi32	1.5856201768249534e-11	3.683030616596916e-11	3.683030616596916e-11	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	NaN	NaN
16	0.0	2	DoubleOcc	false	0	chi32	0.09924590305558903	1.8250737891245539e-6	1.8250737891245539e-6	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	NaN	NaN
16	0.0	2	ZZ onsite	true	2	chi32	-0.6030163877784674	7.300255446152093e-6	7.300255446152093e-6	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	51.79198228372981	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	chi32	-0.3246202548466486	-6.362418673633297e-6	6.362418673633297e-6	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	11.47030374747335	11.470303793608025
16	0.0	2	SzSz r=1	false	0	chi32	-0.06579499793592983	-1.3535442405510079e-6	1.3535442405510079e-6	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	NaN	NaN
16	0.0	2	hop up r=1	false	0	chi32	0.37651192422886853	7.888494412189306e-6	7.888494412189306e-6	0.9999999998197122	1.8028778470124962e-10	1.1838094483714839e-5	NaN	NaN
16	0.0	2	n	false	0	UHF	1.0000000000004123	4.1466829969749597e-13	4.1466829969749597e-13	0.5357421972528735	0.46425780274712647	0.57935560893511	NaN	NaN
16	0.0	2	Sz	false	0	UHF	1.5856201768249534e-11	-0.3811937832692819	0.3811937832692819	0.5357421972528735	0.46425780274712647	0.57935560893511	NaN	NaN
16	0.0	2	DoubleOcc	false	0	UHF	0.09924590305558903	-0.005445396529172947	0.005445396529172947	0.5357421972528735	0.46425780274712647	0.57935560893511	NaN	NaN
16	0.0	2	ZZ onsite	true	2	UHF	-0.6030163877784674	-0.021781586117520013	0.021781586117520013	0.5357421972528735	0.46425780274712647	0.57935560893511	48.57305402296215	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	UHF	-0.3246202548466486	0.45234632192297697	0.45234632192297697	0.5357421972528735	0.46425780274712647	0.57935560893511	0.5377394058336169	11.470303793608025
16	0.0	2	SzSz r=1	false	0	UHF	-0.06579499793592983	0.10481144297926956	0.10481144297926956	0.5357421972528735	0.46425780274712647	0.57935560893511	NaN	NaN
16	0.0	2	hop up r=1	false	0	UHF	0.37651192422886853	-0.05832324709201914	0.05832324709201914	0.5357421972528735	0.46425780274712647	0.57935560893511	NaN	NaN
16	0.0	2	n	false	0	UHFsym	1.0000000000004123	4.141131881851834e-13	4.141131881851834e-13	0.9931641819612925	0.006835818038707475	0.07261252396092784	NaN	NaN
16	0.0	2	Sz	false	0	UHFsym	1.5856201768249534e-11	1.585621564603734e-11	1.585621564603734e-11	0.9931641819612925	0.006835818038707475	0.07261252396092784	NaN	NaN
16	0.0	2	DoubleOcc	false	0	UHFsym	0.09924590305558903	-0.00544539652917389	0.00544539652917389	0.9931641819612925	0.006835818038707475	0.07261252396092784	NaN	NaN
16	0.0	2	ZZ onsite	true	2	UHFsym	-0.6030163877784674	-0.02178158611752301	0.02178158611752301	0.9931641819612925	0.006835818038707475	0.07261252396092784	48.57305402296131	51.79198266927526
16	0.0	2	ZZ up-up r=1	true	2	UHFsym	-0.3246202548466486	0.06008281035677182	0.06008281035677182	0.9931641819612925	0.006835818038707475	0.07261252396092784	8.442233816435389	11.470303793608025
16	0.0	2	SzSz r=1	false	0	UHFsym	-0.06579499793592983	0.006745565087716718	0.006745565087716718	0.9931641819612925	0.006835818038707475	0.07261252396092784	NaN	NaN
16	0.0	2	hop up r=1	false	0	UHFsym	0.37651192422886853	-0.058323247092022135	0.058323247092022135	0.9931641819612925	0.006835818038707475	0.07261252396092784	NaN	NaN
16	0.0	3	n	false	0	chi2	1.000000000016988	1.6988521700511683e-11	1.6988521700511683e-11	0.6405272805905325	0.35947271940946746	0.47894974197737045	NaN	NaN
16	0.0	3	Sz	false	0	chi2	-9.937313472097031e-11	4.901752835552899e-8	4.901752835552899e-8	0.6405272805905325	0.35947271940946746	0.47894974197737045	NaN	NaN
16	0.0	3	DoubleOcc	false	0	chi2	0.09729310249735976	0.09729310249735976	0.09729310249735976	0.6405272805905325	0.35947271940946746	0.47894974197737045	NaN	NaN
