U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	0	1	1	1	n	chi8	0.9999999592653909	-1.4804336608831292e-6	1.480433721188018e-6	0.9993823742262211	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	n	chi32	0.9999999592653909	4.8880272200957364e-6	4.888027419207623e-6	0.9991262193825103	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	n	exact	0.9999999592653909	0.0	0.0	0.9995958092283959	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	n	UHF	0.9999999592653909	-4.073460868614376e-8	4.073461034545219e-8	0.01574678396683442	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	Sz	chi8	-0.000941788642144184	0.0002731067769783731	NaN	1.0026489713500464	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	Sz	chi32	-0.000941788642144184	0.0005329218543125326	NaN	1.0031257799698163	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	Sz	exact	-0.000941788642144184	0.0	NaN	1.0021138241450307	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	Sz	UHF	-0.000941788642144184	-0.45955898277299806	NaN	0.019151388317668713	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	DoubleOcc	chi8	0.0446334392173767	0.029663286054022187	0.664597812181896	29.929862287654238	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	DoubleOcc	chi32	0.0446334392173767	0.003492355523582208	0.07824527047027476	68.83148536854465	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	DoubleOcc	exact	0.0446334392173767	0.0	0.0	69.42153958210325	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	DoubleOcc	UHF	0.0446334392173767	0.004963169969834258	0.11119846592287685	1.7780671666927759	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ onsite	chi8	-0.821466161661274	0.11865610508341062	0.1444443004730092	43.3997165475338	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ onsite	chi32	-0.821466161661274	0.013959646039889417	0.0169935740404187	194.72350334983318	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ onsite	exact	-0.821466161661274	0.0	0.0	194.27036934968748	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ onsite	UHF	-0.821466161661274	0.019852761348555403	0.02416747308057901	188.68243425050588	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ up-up nb	chi8	-0.49052947128841656	0.06497098518765149	0.13245072720503373	21.194920835825613	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ up-up nb	chi32	-0.49052947128841656	0.021527077944636985	0.043885391611831845	30.252935499210928	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ up-up nb	exact	-0.49052947128841656	0.0	0.0	31.617587065397625	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	ZZ up-up nb	UHF	-0.49052947128841656	0.4010932446982231	0.8176741015065175	1.5040949218889297	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	SzSz nb	chi8	-0.11581159033122515	0.015831103379038813	0.13669705539628038	17.498356899266422	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	SzSz nb	chi32	-0.11581159033122515	0.0051907831503204965	0.04482092971415622	23.980344705606637	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	SzSz nb	exact	-0.11581159033122515	0.0	0.0	24.978463589742496	0.9999999592653909	-0.000941788642144184
8.0	0	1	1	1	SzSz nb	UHF	-0.11581159033122515	0.10080611454333246	0.8704320030061197	1.3114453036694425	0.9999999592653909	-0.000941788642144184
8.0	0	2	1	2	n	chi8	0.9999995378877103	5.5886840951702155e-6	5.588686677771012e-6	1.0040991381293556	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	n	chi32	0.9999995378877103	-3.102309956604099e-5	3.1023113902203185e-5	1.004211032257075	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	n	exact	0.9999995378877103	0.0	0.0	1.0033211304885201	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	n	UHF	0.9999995378877103	-4.6211228421633166e-7	4.621124977641961e-7	0.01089339682091812	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	Sz	chi8	0.0009200066600990181	-0.00024931867467231053	NaN	0.9971185827936675	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	Sz	chi32	0.0009200066600990181	-0.00028329838748463896	NaN	0.9969846466864032	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	Sz	exact	0.0009200066600990181	0.0	NaN	0.997778512905166	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	Sz	UHF	0.0009200066600990181	0.45953720079095084	NaN	0.0209738374654568	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	DoubleOcc	chi8	0.04464082607285863	0.015500387601804166	0.3472244795942142	55.541569284516356	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	DoubleOcc	chi32	0.04464082607285863	0.00397154181851922	0.08896658435570247	81.79985281550715	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	DoubleOcc	exact	0.04464082607285863	0.0	0.0	85.499016581916	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	DoubleOcc	UHF	0.04464082607285863	0.004970556825316774	0.11134553866015585	1.507704908540635	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ onsite	chi8	-0.8214357714839855	0.061990373039026436	0.07546587961105732	95.12151966455619	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ onsite	chi32	-0.8214357714839855	0.015948213473209405	0.019415046223757407	184.02059568024805	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ onsite	exact	-0.8214357714839855	0.0	0.0	195.02313897264813	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ onsite	UHF	-0.8214357714839855	0.019883151525836196	0.024205363603676266	177.78495757835987	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ up-up nb	chi8	-0.4898002512977515	0.06195060249799422	0.12648136119541148	17.568810722857805	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ up-up nb	chi32	-0.4898002512977515	0.027047490637898908	0.05522147154117451	24.499403749185394	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ up-up nb	exact	-0.4898002512977515	0.0	0.0	28.26730489762898	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	ZZ up-up nb	UHF	-0.4898002512977515	0.4018224646888888	0.8203802746614342	1.335750327360654	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	SzSz nb	chi8	-0.11563756232166486	0.016611126484613686	0.14364818966355508	14.665920491157934	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	SzSz nb	chi32	-0.11563756232166486	0.006818857798221195	0.05896749863382127	20.618675102890595	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	SzSz nb	exact	-0.11563756232166486	0.0	0.0	23.19792560651508	0.9999995378877103	0.0009200066600990181
8.0	0	2	1	2	SzSz nb	UHF	-0.11563756232166486	0.10098014255289281	0.8732468976819139	1.2220448813820128	0.9999995378877103	0.0009200066600990181
8.0	0	3	1	3	n	chi8	1.0000002813131499	-4.4320630227412394e-5	4.432061775943981e-5	1.0023879470040846	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	n	chi32	1.0000002813131499	2.171200844558463e-6	2.171200233771286e-6	1.0025933619241798	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	n	exact	1.0000002813131499	0.0	0.0	1.0018651242667405	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	n	UHF	1.0000002813131499	2.813131501078203e-7	2.813130709707542e-7	0.012179215930038147	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	Sz	chi8	-0.0009421723667395474	0.0002887259362643888	NaN	1.0017798661877817	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	Sz	chi32	-0.0009421723667395474	0.0005129347996033476	NaN	1.0019778241808783	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	Sz	exact	-0.0009421723667395474	0.0	NaN	1.001393073507763	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	Sz	UHF	-0.0009421723667395474	-0.45955936649759366	NaN	0.01985771243178515	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	DoubleOcc	chi8	0.04459593766787734	0.018956573656696202	0.4250740010866665	40.497282803791556	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	DoubleOcc	chi32	0.04459593766787734	0.005456562222824479	0.12235558905525304	63.06689915480049	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	DoubleOcc	exact	0.04459593766787734	0.0	0.0	67.78379104937021	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	DoubleOcc	UHF	0.04459593766787734	0.004925668420334928	0.110451056260286	1.4744504455839726	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ onsite	chi8	-0.8216168119547893	0.07591493588723985	0.09239700890080763	67.78819617660153	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ onsite	chi32	-0.8216168119547893	0.021821906489610243	0.026559712717771196	144.7057037149062	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ onsite	exact	-0.8216168119547893	0.0	0.0	161.6008786683261	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ onsite	UHF	-0.8216168119547893	0.019702111055040716	0.023979683434380422	147.51742659568265	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ up-up nb	chi8	-0.48986474991142526	0.05961601161437957	0.12169892123317512	15.403867558211076	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ up-up nb	chi32	-0.48986474991142526	0.029731613267076296	0.060693514429140304	19.407495523841096	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ up-up nb	exact	-0.48986474991142526	0.0	0.0	21.960396967655406	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	ZZ up-up nb	UHF	-0.48986474991142526	0.4017579660752153	0.8201405921692856	1.3424533921035338	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	SzSz nb	chi8	-0.11564830470191628	0.017435339884712076	0.15076174207353663	17.18966795015472	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	SzSz nb	chi32	-0.11564830470191628	0.00765433149779654	0.06618628364268368	21.973115146553674	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	SzSz nb	exact	-0.11564830470191628	0.0	0.0	22.485759270846703	1.0000002813131499	-0.0009421723667395474
8.0	0	3	1	3	SzSz nb	UHF	-0.11564830470191628	0.10096940017264433	0.8730728948677038	1.4209088119972784	1.0000002813131499	-0.0009421723667395474
8.0	0	4	1	4	n	chi8	0.9999998493902974	4.627178245253383e-5	4.6271789421514274e-5	1.0072955179265397	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	n	chi32	0.9999998493902974	3.090803463212666e-5	3.090803928717726e-5	1.006603815987606	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	n	exact	0.9999998493902974	0.0	0.0	1.0056275560389674	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	n	UHF	0.9999998493902974	-1.5060971014779767e-7	1.5060973283108475e-7	0.011197855421844238	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	Sz	chi8	0.0009357418356181167	-0.0003075651468005796	NaN	1.0034110296651622	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	Sz	chi32	0.0009357418356181167	-0.00017897531252187085	NaN	1.0030775105797871	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	Sz	exact	0.0009357418356181167	0.0	NaN	1.00258615709173	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	Sz	UHF	0.0009357418356181167	0.459552935966476	NaN	0.0184805556822579	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	DoubleOcc	chi8	0.04458751548627535	0.03263452361162872	0.7319206566168522	27.577202926377524	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	DoubleOcc	chi32	0.04458751548627535	0.00584936395119412	0.1311883805904062	73.65660018121669	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	DoubleOcc	exact	0.04458751548627535	0.0	0.0	76.61923099211123	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	DoubleOcc	UHF	0.04458751548627535	0.004917246238732492	0.11028302844651859	1.4644363692529754	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	ZZ onsite	chi8	-0.8216496368354923	0.13044555088161014	0.1587605532012515	34.76762042508779	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	ZZ onsite	chi32	-0.8216496368354923	0.023335639735514446	0.02840096154048033	172.91571396419715	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	ZZ onsite	exact	-0.8216496368354923	0.0	0.0	191.4048320855383	0.9999998493902974	0.0009357418356181167
8.0	0	4	1	4	ZZ onsite	UHF	-0.8216496368354923	0.01966928617435182	0.02393877547382149	178.8900688062063	0.9999998493902974	0.0009357418356181167
