W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi2	2.9561466991e-03	ZZ onsite	2	0.69202019	3.07979807e-01	-0.3840403863	-1.0000000000	6.159596e-01	1.603893e+00	0.403802	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi4	6.0479992526e-03	ZZ onsite	2	0.69202019	3.07979807e-01	-0.3840403863	-1.0000000000	6.159596e-01	1.603893e+00	0.403802	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi8	2.7081693499e-02	ZZ onsite	2	0.97419310	1.27328651e-01	-0.3840403863	-0.6386976880	2.546573e-01	6.631003e-01	2.110095	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi16	8.0884619848e-02	ZZ onsite	2	0.98227070	8.22540866e-02	-0.3840403863	-0.5485485595	1.645082e-01	4.283616e-01	4.285454	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi32	3.5430254638e-01	ZZ onsite	2	0.97449583	8.47730760e-02	-0.3840403863	-0.3872604346	3.220048e-03	8.384660e-03	16.360327	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi64	6.9629700353e-01	ZZ onsite	2	0.99382379	5.13192754e-02	-0.3840403863	-0.4443447662	6.030438e-02	1.570261e-01	11.875192	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi128	9.0977156347e-01	ZZ onsite	2	0.99922513	1.95006222e-02	-0.3840403863	-0.4130231846	2.898280e-02	7.546810e-02	15.059074	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi256	9.8759021682e-01	ZZ onsite	2	0.99999773	1.33463919e-03	-0.3840403863	-0.3867096647	2.669278e-03	6.950515e-03	16.365856	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	UHF	3.6714389301e-15	ZZ onsite	2	0.77714646	3.60260910e-01	-0.3840403863	-0.4253451445	4.130476e-02	1.075532e-01	13.904560	16.378015
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi2	2.9561466991e-03	ZZ up-up nb	2	0.98258067	1.30827683e-01	-0.2616553654	0.0000000000	-2.616554e-01	1.000000e+00	1.000000	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi4	6.0479992526e-03	ZZ up-up nb	2	0.98258067	1.30827683e-01	-0.2616553654	-0.0000000000	-2.616554e-01	1.000000e+00	1.000000	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi8	2.7081693499e-02	ZZ up-up nb	2	0.97725209	1.35378240e-01	-0.2616553654	0.0091011151	-2.707565e-01	1.034783e+00	0.942170	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi16	8.0884619848e-02	ZZ up-up nb	2	0.99320933	6.92148442e-02	-0.2616553654	-0.1232256771	-1.384297e-01	5.290535e-01	2.663174	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi32	3.5430254638e-01	ZZ up-up nb	2	0.98852811	8.78069676e-02	-0.2616553654	-0.1411850990	-1.204703e-01	4.604158e-01	3.158633	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi64	6.9629700353e-01	ZZ up-up nb	2	0.99817716	3.69799610e-02	-0.2616553654	-0.2254344136	-3.622095e-02	1.384300e-01	6.694796	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi128	9.0977156347e-01	ZZ up-up nb	2	0.99977113	1.35530159e-02	-0.2616553654	-0.2490352450	-1.262012e-02	4.823184e-02	7.420145	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi256	9.8759021682e-01	ZZ up-up nb	2	0.99999669	1.60453341e-03	-0.2616553654	-0.2584462986	-3.209067e-03	1.226448e-02	7.525518	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	UHF	3.6714389301e-15	ZZ up-up nb	2	0.74496801	4.66764704e-01	-0.2616553654	-0.6397670505	3.781117e-01	1.445075e+00	0.514462	7.532913
4	3	12	torus	false	4.0	-10.3090034731	9.948e-14	chi2	2.9561466991e-03	SzSz nb	4	0.45109679	5.24030949e-01	-0.0487493880	-0.0000000000	-4.874939e-02	1.000000e+00	1.000000	1.235275
