W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi2	1.3798383318e-01	ZZ onsite	2	0.65741887	3.42581125e-01	-0.3148377493	-1.0000000000	6.851623e-01	2.176239e+00	0.227818	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi4	5.1785098788e-01	ZZ onsite	2	0.99622395	5.70255404e-02	-0.3148377493	-0.4288888301	1.140511e-01	3.622535e-01	4.721080	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi8	9.7862433276e-01	ZZ onsite	2	0.99998288	3.92144439e-03	-0.3148377493	-0.3226806381	7.842889e-03	2.491089e-02	10.715341	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi16	9.9748150298e-01	ZZ onsite	2	0.99999931	7.87294347e-04	-0.3148377493	-0.3164123380	1.574589e-03	5.001270e-03	10.777738	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi32	9.9997949838e-01	ZZ onsite	2	1.00000000	4.42905351e-06	-0.3148377493	-0.3148466074	8.858107e-06	2.813547e-05	10.780374	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi64	9.9999989303e-01	ZZ onsite	2	1.00000000	2.89723365e-09	-0.3148377493	-0.3148377551	5.794465e-09	1.840461e-08	10.780374	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi128	9.9999999997e-01	ZZ onsite	2	1.00000000	7.29108440e-12	-0.3148377493	-0.3148377493	1.458078e-11	4.631205e-11	10.780374	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	UHF	5.6778331910e-01	ZZ onsite	2	0.92396163	2.22657960e-01	-0.3148377493	-0.1215840768	-1.932537e-01	6.138199e-01	2.301041	10.780374
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi2	1.3798383318e-01	ZZ up-up nb	2	0.97719039	1.49296118e-01	-0.2985922352	-0.0000000000	-2.985922e-01	1.000000e+00	1.000000	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi4	5.1785098788e-01	ZZ up-up nb	2	0.97719039	1.49296118e-01	-0.2985922352	0.0000000000	-2.985922e-01	1.000000e+00	1.000000	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi8	9.7862433276e-01	ZZ up-up nb	2	0.99982185	1.27905986e-02	-0.2985922352	-0.2730110379	-2.558120e-02	8.567268e-02	9.118508	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi16	9.9748150298e-01	ZZ up-up nb	2	0.99999985	3.66485256e-04	-0.2985922352	-0.2993252057	7.329705e-04	2.454754e-03	9.700330	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi32	9.9997949838e-01	ZZ up-up nb	2	1.00000000	5.64061659e-05	-0.2985922352	-0.2984794228	-1.128123e-04	3.778140e-04	9.700827	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi64	9.9999989303e-01	ZZ up-up nb	2	1.00000000	1.09141715e-06	-0.2985922352	-0.2985900523	-2.182834e-06	7.310419e-06	9.700839	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	chi128	9.9999999997e-01	ZZ up-up nb	2	1.00000000	6.96180238e-10	-0.2985922352	-0.2985922338	-1.392361e-09	4.663084e-09	9.700839	9.700839
1	8	8	cylinder	true	2.0	-6.2256341447	-7.105e-14	UHF	5.6778331910e-01	ZZ up-up nb	2	0.93513962	2.40923752e-01	-0.2985922352	-0.4565357513	1.579435e-01	5.289606e-01	2.824537	9.700839
