W	LX	geometry	bipartite	U	prior	global_fid	observable	nA	true	prior_val	Delta	eps	G	G_max
4	4	torus	true	8.0	chi2	3.9066629281e-02	ZZ onsite	2	-0.7901568233	-1.0000000000	2.098432e-01	2.655716e-01	13.024672	148.736612
4	4	torus	true	8.0	chi4	2.3723360898e-01	ZZ onsite	2	-0.7901568233	-1.0000000000	2.098432e-01	2.655716e-01	13.024672	148.736612
4	4	torus	true	8.0	chi8	3.9903722404e-01	ZZ onsite	2	-0.7901568233	-0.9232541034	1.330973e-01	1.684441e-01	28.648405	148.736612
4	4	torus	true	8.0	chi16	5.6568051931e-01	ZZ onsite	2	-0.7901568233	-0.8816618946	9.150507e-02	1.158062e-01	49.889726	148.736612
4	4	torus	true	8.0	chi32	7.1788330601e-01	ZZ onsite	2	-0.7901568233	-0.8363512495	4.619443e-02	5.846235e-02	98.832183	148.736612
4	4	torus	true	8.0	chi64	8.4717605154e-01	ZZ onsite	2	-0.7901568233	-0.8235355436	3.337872e-02	4.224316e-02	117.705482	148.736612
4	4	torus	true	8.0	chi128	9.2983054259e-01	ZZ onsite	2	-0.7901568233	-0.8068902872	1.673346e-02	2.117740e-02	139.494119	148.736612
4	4	torus	true	8.0	UHF	1.1580397265e-01	ZZ onsite	2	-0.7901568233	-0.8008165256	1.065970e-02	1.349062e-02	144.842158	148.736612
4	4	torus	true	8.0	chi2	3.9066629281e-02	ZZ up-up nb	2	-0.3647656053	-0.0254579878	-3.393076e-01	9.302073e-01	1.143529	14.642161
4	4	torus	true	8.0	chi4	2.3723360898e-01	ZZ up-up nb	2	-0.3647656053	-0.2646630074	-1.001026e-01	2.744299e-01	7.222082	14.642161
4	4	torus	true	8.0	chi8	3.9903722404e-01	ZZ up-up nb	2	-0.3647656053	-0.2926570362	-7.210857e-02	1.976847e-01	9.550532	14.642161
4	4	torus	true	8.0	chi16	5.6568051931e-01	ZZ up-up nb	2	-0.3647656053	-0.2918088961	-7.295671e-02	2.000098e-01	9.472589	14.642161
4	4	torus	true	8.0	chi32	7.1788330601e-01	ZZ up-up nb	2	-0.3647656053	-0.2754961661	-8.926944e-02	2.447310e-01	8.058101	14.642161
4	4	torus	true	8.0	chi64	8.4717605154e-01	ZZ up-up nb	2	-0.3647656053	-0.3298561361	-3.490947e-02	9.570384e-02	13.015814	14.642161
4	4	torus	true	8.0	chi128	9.2983054259e-01	ZZ up-up nb	2	-0.3647656053	-0.3415458758	-2.321973e-02	6.365658e-02	13.875140	14.642161
4	4	torus	true	8.0	UHF	1.1580397265e-01	ZZ up-up nb	2	-0.3647656053	-0.8470651819	4.822996e-01	1.322218e+00	0.589221	14.642161
4	4	torus	true	8.0	chi2	3.9066629281e-02	SzSz nb	4	-0.0860308970	-0.0063644969	-7.966640e-02	9.260208e-01	1.064316	1.736445
