W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi2	4.7949641743e-01	ZZ onsite	2	0.92671930	7.32806969e-02	-0.8534386061	-1.0000000000	1.465614e-01	1.717304e-01	29.809539	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi4	8.6974706190e-01	ZZ onsite	2	0.99614762	2.89990643e-02	-0.8534386061	-0.9114367347	5.799813e-02	6.795817e-02	113.931558	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi8	9.9544464804e-01	ZZ onsite	2	0.99999810	7.16481873e-04	-0.8534386061	-0.8548715699	1.432964e-03	1.679047e-03	239.177820	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi16	9.9993803370e-01	ZZ onsite	2	1.00000000	2.19447530e-05	-0.8534386061	-0.8534824956	4.388951e-05	5.142667e-05	239.338379	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi32	9.9999728274e-01	ZZ onsite	2	1.00000000	9.08215114e-07	-0.8534386061	-0.8534404226	1.816430e-06	2.128367e-06	239.338529	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi64	9.9999998610e-01	ZZ onsite	2	1.00000000	5.11277416e-09	-0.8534386061	-0.8534386164	1.022555e-08	1.198158e-08	239.338529	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi128	9.9999999999e-01	ZZ onsite	2	1.00000000	3.10820814e-12	-0.8534386061	-0.8534386061	6.214695e-12	7.281948e-12	239.338529	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi256	1.0000000000e+00	ZZ onsite	2	1.00000000	1.00613962e-16	-0.8534386061	-0.8534386061	-4.440892e-16	5.203528e-16	239.338529	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	UHF	1.1162711137e-01	ZZ onsite	2	0.55767861	4.76120636e-01	-0.8534386061	-0.8808494981	2.741089e-02	3.211818e-02	192.106371	239.338529
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi2	4.7949641743e-01	ZZ up-up nb	2	0.86372879	1.36271215e-01	-0.7274575706	-1.0000000000	2.725424e-01	3.746506e-01	6.716742	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi4	8.6974706190e-01	ZZ up-up nb	2	0.99945317	1.56430185e-02	-0.7274575706	-0.7587436075	3.128604e-02	4.300737e-02	85.172733	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi8	9.9544464804e-01	ZZ up-up nb	2	0.99999359	1.74244574e-03	-0.7274575706	-0.7239726791	-3.484891e-03	4.790508e-03	100.681986	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi16	9.9993803370e-01	ZZ up-up nb	2	0.99999999	6.03769288e-05	-0.7274575706	-0.7273368167	-1.207539e-04	1.659944e-04	100.912562	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi32	9.9999728274e-01	ZZ up-up nb	2	1.00000000	1.29749460e-06	-0.7274575706	-0.7274549756	-2.594989e-06	3.567204e-06	100.912839	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi64	9.9999998610e-01	ZZ up-up nb	2	1.00000000	1.41167609e-08	-0.7274575706	-0.7274575423	-2.823352e-08	3.881123e-08	100.912839	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi128	9.9999999999e-01	ZZ up-up nb	2	1.00000000	7.90753504e-11	-0.7274575706	-0.7274575704	-1.581516e-10	2.174032e-10	100.912839	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi256	1.0000000000e+00	ZZ up-up nb	2	1.00000000	7.61890551e-15	-0.7274575706	-0.7274575706	-1.609823e-14	2.212945e-14	100.912839	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	UHF	1.1162711137e-01	ZZ up-up nb	2	0.54813758	5.35848542e-01	-0.7274575706	-0.9395098139	2.120522e-01	2.914977e-01	10.633947	100.912839
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi2	4.7949641743e-01	SzSz nb	4	0.73838788	3.41805825e-01	-0.1714563607	-0.2500000000	7.854364e-02	4.580970e-01	2.452083	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi4	8.6974706190e-01	SzSz nb	4	0.93768852	6.20793386e-02	-0.1714563607	-0.1786154937	7.159133e-03	4.175484e-02	3.970665	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi8	9.9544464804e-01	SzSz nb	4	0.99982107	5.21668169e-03	-0.1714563607	-0.1707402490	-7.161117e-04	4.176641e-03	3.991165	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi16	9.9993803370e-01	SzSz nb	4	0.99999845	4.66348004e-04	-0.1714563607	-0.1714532396	-3.121079e-06	1.820334e-05	3.991374	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi32	9.9999728274e-01	SzSz nb	4	0.99999997	2.02472393e-05	-0.1714563607	-0.1714558254	-5.352604e-07	3.121846e-06	3.991374	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi64	9.9999998610e-01	SzSz nb	4	1.00000000	4.32262878e-08	-0.1714563607	-0.1714563606	-1.176500e-10	6.861803e-10	3.991374	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi128	9.9999999999e-01	SzSz nb	4	1.00000000	2.80158513e-10	-0.1714563607	-0.1714563607	-1.188302e-11	6.930640e-11	3.991374	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	chi256	1.0000000000e+00	SzSz nb	4	1.00000000	5.69608380e-14	-0.1714563607	-0.1714563607	-2.026157e-15	1.181733e-14	3.991374	3.991374
1	10	10	cylinder	true	8.0	-3.0743889829	-2.665e-14	UHF	1.1162711137e-01	SzSz nb	4	0.48581279	6.57806322e-01	-0.1714563607	-0.2275449140	5.608855e-02	3.271302e-01	3.023495	3.991374
