W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	32	cylinder	8.0	5.629e-11	true	dist	16	29	hopU	0.000001319021
1	32	cylinder	8.0	5.629e-11	true	dist	16	30	FF	0.730968477141
1	32	cylinder	8.0	5.629e-11	true	dist	16	30	hopU	-0.000000000004
1	32	cylinder	8.0	5.629e-11	true	dist	16	31	FF	0.725234130547
1	32	cylinder	8.0	5.629e-11	true	dist	16	31	hopU	-0.000000168400
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Za	-0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zab	-0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zabc	-0.881763464056
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zabcd	0.882678484593
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zabd	0.881763464054
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zac	-0.939509704377
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zacd	0.881763464056
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zad	0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zb	0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zbc	0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zbcd	-0.881763464054
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zbd	-0.939509704375
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zc	0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zcd	-0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	Zd	-0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopD	0.242198910685
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopD_Za	-0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopD_Zc	0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopU	0.242198910685
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopU_Zb	0.227312341195
1	32	cylinder	8.0	5.629e-11	UHF	bond	16	17	hopU_Zd	-0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Za	0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zab	-0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zabc	0.881763464056
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zabcd	0.882678484602
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zabd	-0.881763464054
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zac	-0.939509704377
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zacd	-0.881763464056
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zad	0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zb	-0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zbc	0.880849392041
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zbcd	0.881763464055
