L	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
8	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	0.349233983563559	1.9021630966943122	2.1913207220098703
8	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	0.7090687033406384	29.50176215901179	43.88820588937882
8	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	0.991106654221891	36.97837370725109	50.88644702622542
8	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	0.9994305686394076	36.64685293072371	50.928540800728044
8	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	0.9999952345021925	36.67824995212494	50.928913453273445
8	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	0.349233983563559	12.067162209557027	11.108085553250808
8	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	0.7090687033406384	1.2617600268249791	1.2584092795630597
8	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	0.991106654221891	14.095364968554707	12.888054756336482
8	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	0.9994305686394076	14.094985236389277	12.891369719305711
8	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	0.9999952345021925	14.093855871942052	12.891580388932788
8	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.349233983563559	0.7972460140110291	0.6706361475426379
8	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.7090687033406384	0.7388530329978601	0.7145236201834054
8	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	0.991106654221891	2.2886398786591156	2.494122150187567
8	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	0.9994305686394076	2.307254417547907	2.5059557874347105
8	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	0.9999952345021925	2.3257204554797033	2.5118351178945852
8	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	0.349233983563559	1.6525044519785048	1.6855728255532823
