W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi2	2.1659816551e-04	ZZ onsite	2	0.79948686	2.00513143e-01	-0.5989737140	-1.0000000000	4.010263e-01	6.695223e-01	2.178007	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi4	5.3238116905e-02	ZZ onsite	2	0.98853457	7.83832617e-02	-0.5989737140	-0.7557402374	1.567665e-01	2.617252e-01	11.512681	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi8	7.6576700394e-01	ZZ onsite	2	0.99996047	5.01112714e-03	-0.5989737140	-0.6089959683	1.002225e-02	1.673238e-02	50.036767	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi16	9.7237389412e-01	ZZ onsite	2	0.99999862	9.38442518e-04	-0.5989737140	-0.6008505991	1.876885e-03	3.133502e-03	50.708717	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi32	9.9596500398e-01	ZZ onsite	2	0.99999998	1.16909054e-04	-0.5989737140	-0.5992075321	2.338181e-04	3.903646e-04	50.733095	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi64	9.9986863028e-01	ZZ onsite	2	1.00000000	4.53003107e-06	-0.5989737140	-0.5989827741	9.060062e-06	1.512598e-05	50.733478	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi128	9.9999630558e-01	ZZ onsite	2	1.00000000	2.75441581e-07	-0.5989737140	-0.5989742649	5.508832e-07	9.197117e-07	50.733479	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi256	9.9999995254e-01	ZZ onsite	2	1.00000000	3.01559861e-09	-0.5989737140	-0.5989737201	6.031196e-09	1.006922e-08	50.733479	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi512	9.9999999957e-01	ZZ onsite	2	1.00000000	3.19576934e-11	-0.5989737140	-0.5989737141	6.391276e-11	1.067038e-10	50.733479	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	UHF	1.7350678497e-03	ZZ onsite	2	0.69668036	3.86399003e-01	-0.5989737140	-0.5913054047	-7.668309e-03	1.280241e-02	50.323274	50.733479
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi2	2.1659816551e-04	ZZ up-up nb	2	0.94585685	2.26299954e-01	-0.4525999076	-0.0000000000	-4.525999e-01	1.000000e+00	1.000000	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi4	5.3238116905e-02	ZZ up-up nb	2	0.99904168	2.80250732e-02	-0.4525999076	-0.3965497612	-5.605015e-02	1.238404e-01	17.687639	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi8	7.6576700394e-01	ZZ up-up nb	2	0.99995664	5.89154447e-03	-0.4525999076	-0.4408168186	-1.178309e-02	2.603423e-02	23.534204	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi16	9.7237389412e-01	ZZ up-up nb	2	0.99999506	1.98327305e-03	-0.4525999076	-0.4486333615	-3.966546e-03	8.763913e-03	23.857514	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi32	9.9596500398e-01	ZZ up-up nb	2	0.99999986	3.38299920e-04	-0.4525999076	-0.4519233077	-6.765998e-04	1.494918e-03	23.898252	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi64	9.9986863028e-01	ZZ up-up nb	2	1.00000000	3.98056365e-05	-0.4525999076	-0.4525202963	-7.961127e-05	1.758977e-04	23.899458	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi128	9.9999630558e-01	ZZ up-up nb	2	1.00000000	7.60969682e-07	-0.4525999076	-0.4525983856	-1.521939e-06	3.362659e-06	23.899475	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi256	9.9999995254e-01	ZZ up-up nb	2	1.00000000	1.46132338e-08	-0.4525999076	-0.4525998784	-2.922647e-08	6.457463e-08	23.899475	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi512	9.9999999957e-01	ZZ up-up nb	2	1.00000000	2.16161505e-10	-0.4525999076	-0.4525999072	-4.323248e-10	9.552031e-10	23.899475	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	UHF	1.7350678497e-03	ZZ up-up nb	2	0.68900032	5.02718696e-01	-0.4525999076	-0.7839385423	3.313386e-01	7.320784e-01	1.800647	23.899475
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi2	2.1659816551e-04	SzSz nb	4	0.57622639	5.69248046e-01	-0.0934639571	-0.0000000000	-9.346396e-02	1.000000e+00	1.000000	1.870370
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi4	5.3238116905e-02	SzSz nb	4	0.89238958	2.94549815e-01	-0.0934639571	-0.0991374403	5.673483e-03	6.070236e-02	1.864390	1.870370
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi8	7.6576700394e-01	SzSz nb	4	0.99975568	1.33498990e-02	-0.0934639571	-0.0915178075	-1.946150e-03	2.082246e-02	1.869664	1.870370
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi16	9.7237389412e-01	SzSz nb	4	0.99986143	6.62498774e-03	-0.0934639571	-0.0932811491	-1.828080e-04	1.955920e-03	1.870363	1.870370
1	48	48	cylinder	true	4.0	-27.1728719828	3.490e-11	chi32	9.9596500398e-01	SzSz nb	4	0.99999763	9.70357078e-04	-0.0934639571	-0.0933522302	-1.117269e-04	1.195401e-03	1.870367	1.870370
