U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
8.0	UHF	ZZ onsite	true	-0.5115812932845429	0.27660506651291783	NaN	3.4752396743693725	3.1836082378746635
8.0	UHF-sym	ZZ onsite	true	-0.5115812932845429	0.27660506651291783	NaN	3.4752396743693725	3.1836082378746635
8.0	chi=8	ZZ onsite	true	-0.5115812932845429	-0.08405195176079983	0.002142409675265488	18.44389635830434	17.567568627332683
8.0	chi=16	ZZ onsite	true	-0.5115812932845429	-0.0004410930857190465	0.04213600478458121	41.12957252710781	32.50957129383498
8.0	chi=32	ZZ onsite	true	-0.5115812932845429	0.007239556554728854	0.24137152165292605	41.476043018138895	32.306470443223425
8.0	chi=64	ZZ onsite	true	-0.5115812932845429	0.006548246141709568	0.5383935560902156	41.474753384040845	32.34335503688674
8.0	chi=128	ZZ onsite	true	-0.5115812932845429	0.004707496302144065	0.7811558139412021	41.44225592658063	32.42382252856302
8.0	UHF	ZZ up-up y1	true	-0.3377026074729482	0.4980999848399533	NaN	0.5719538731294876	0.4805276606041898
8.0	UHF-sym	ZZ up-up y1	true	-0.3377026074729482	-0.027455043287610836	NaN	9.157490245675842	11.567245328092904
8.0	chi=8	ZZ up-up y1	true	-0.3377026074729482	0.13770404700386651	0.002142409675265488	5.057504932939021	4.286641963637951
8.0	chi=16	ZZ up-up y1	true	-0.3377026074729482	0.0866447191122911	0.04213600478458121	7.7758153902137	7.096702206437385
8.0	chi=32	ZZ up-up y1	true	-0.3377026074729482	0.041464357115023776	0.24137152165292605	10.141595118764265	10.611568730620704
8.0	chi=64	ZZ up-up y1	true	-0.3377026074729482	0.02193387968369609	0.5383935560902156	10.560398592897675	11.869137846914843
8.0	chi=128	ZZ up-up y1	true	-0.3377026074729482	0.010515630414939525	0.7811558139412021	10.532978665337154	12.305523007008654
8.0	UHF	ZZ up-up y2	true	0.032875678229396736	-0.7675770421077076	NaN	0.023176860621936583	0.020516984655002443
8.0	UHF-sym	ZZ up-up y2	true	0.032875678229396736	-0.22972414636731509	NaN	0.2025979897353449	0.19244577378685734
8.0	chi=8	ZZ up-up y2	true	0.032875678229396736	0.07387799387508792	0.002142409675265488	0.7954204454291304	0.7378293907582051
8.0	chi=16	ZZ up-up y2	true	0.032875678229396736	0.08066729030767811	0.04213600478458121	0.7561399215051692	0.694202005166605
8.0	chi=32	ZZ up-up y2	true	0.032875678229396736	0.01753975147958954	0.24137152165292605	1.037014639092309	1.0669670801744038
8.0	chi=64	ZZ up-up y2	true	0.032875678229396736	0.005122175084312581	0.5383935560902156	1.0421666192122239	1.0936227166037233
8.0	chi=128	ZZ up-up y2	true	0.032875678229396736	0.002846447123883676	0.7811558139412021	1.040574673271381	1.0953862156212348
8.0	UHF	ZZ up-up x1	true	-0.2961971437113426	0.388887878649867	NaN	0.4973863567293811	0.6067969232642918
8.0	UHF-sym	ZZ up-up x1	true	-0.2961971437113426	-0.009587963172435876	NaN	7.089185149535136	9.46367588288753
8.0	chi=8	ZZ up-up x1	true	-0.2961971437113426	-0.22462171996524188	0.002142409675265488	1.6319402274407524	1.6139510149886591
8.0	chi=16	ZZ up-up x1	true	-0.2961971437113426	-0.08307905449475603	0.04213600478458121	5.389823098145834	5.708999637728793
8.0	chi=32	ZZ up-up x1	true	-0.2961971437113426	-0.014119735220472718	0.24137152165292605	7.127822028285089	9.366493602076334
8.0	chi=64	ZZ up-up x1	true	-0.2961971437113426	0.020850700192947935	0.5383935560902156	6.323446817172115	9.160400891962352
8.0	chi=128	ZZ up-up x1	true	-0.2961971437113426	0.017795216984447915	0.7811558139412021	6.431367101916132	9.26264201686232
8.0	UHF	DoubleOcc	false	0.036555034565876304	-0.01286418039462775	NaN	0.4964989759755831	NaN
8.0	UHF-sym	DoubleOcc	false	0.036555034565876304	-0.01286418039462775	NaN	3.5376188435149505	NaN
8.0	chi=8	DoubleOcc	false	0.036555034565876304	0.021372136411759363	0.002142409675265488	28.833540266532424	NaN
8.0	chi=16	DoubleOcc	false	0.036555034565876304	0.004115246038384257	0.04213600478458121	40.31278488755417	NaN
8.0	chi=32	DoubleOcc	false	0.036555034565876304	0.0030774031133310453	0.24137152165292605	47.981722393568816	NaN
8.0	chi=64	DoubleOcc	false	0.036555034565876304	0.003006167841484164	0.5383935560902156	49.679065074040615	NaN
