U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
4.0	0.0	ZZ onsite	32	-0.5990016186608315	0.00019346291941979565	0.00022166736816697785	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ onsite	64	-0.5990016186608315	2.3794377231434183e-5	1.0580331630150042e-5	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ onsite	128	-0.5990016186608315	7.065005066531072e-7	2.576866485748397e-7	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ up-up r=1	2	-0.46213727439215274	0.08514824532195259	0.23938401852971525	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	4	-0.46213727439215274	0.1448792258682327	0.11912585595313585	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	8	-0.46213727439215274	0.016573896378821784	0.007970173455564167	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	16	-0.46213727439215274	0.008628504163353312	0.0011670343976800668	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	32	-0.46213727439215274	0.0010681370221913844	0.00022166736816697785	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	64	-0.46213727439215274	0.00012842548446501123	1.0580331630150042e-5	0.5744588194232539	0.7488045501330878
4.0	0.0	ZZ up-up r=1	128	-0.46213727439215274	4.080902855974067e-6	2.576866485748397e-7	0.5744588194232539	0.7488045501330878
4.0	0.0	SzSz r=1	2	-0.09553807595445897	0.0012908186869089316	0.23938401852971525	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	4	-0.09553807595445897	0.014999505212762596	0.11912585595313585	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	8	-0.09553807595445897	0.004168881739811697	0.007970173455564167	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	16	-0.09553807595445897	0.0012554137031063756	0.0011670343976800668	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	32	-0.09553807595445897	0.00020206354531199233	0.00022166736816697785	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	64	-0.09553807595445897	2.410463314481137e-5	1.0580331630150042e-5	0.03073232560064001	0.6348257282316925
4.0	0.0	SzSz r=1	128	-0.09553807595445897	7.651905077898924e-7	2.576866485748397e-7	0.03073232560064001	0.6348257282316925
4.0	0.0	hop up r=1	2	0.45850824523753786	0.45850824523753786	0.23938401852971525	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	4	0.45850824523753786	0.45850824523753786	0.11912585595313585	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	8	0.45850824523753786	0.01473094337668518	0.007970173455564167	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	16	0.45850824523753786	0.005007221553729069	0.0011670343976800668	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	32	0.45850824523753786	0.0006698253167832235	0.00022166736816697785	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	64	0.45850824523753786	5.897030687934679e-5	1.0580331630150042e-5	1.9771758668894717	0.9180152718734917
4.0	0.0	hop up r=1	128	0.45850824523753786	1.8923770974677012e-6	2.576866485748397e-7	1.9771758668894717	0.9180152718734917
4.0	0.125	n	2	0.8728985612191981	0.1271014387810817	0.40617262357283235	0.21217967752476896	1.1599267408539955
4.0	0.125	n	4	0.8728985612191981	0.01049796605686426	0.25555025074888094	0.21217967752476896	1.1599267408539955
4.0	0.125	n	8	0.8728985612191981	0.01486505014382622	0.05629885972780402	0.21217967752476896	1.1599267408539955
4.0	0.125	n	16	0.8728985612191981	0.004173237421772336	0.01666189404718499	0.21217967752476896	1.1599267408539955
4.0	0.125	n	32	0.8728985612191981	0.0002785069880283375	0.003579103315949128	0.21217967752476896	1.1599267408539955
4.0	0.125	n	64	0.8728985612191981	1.1243066151744863e-5	0.00040451515679484906	0.21217967752476896	1.1599267408539955
