geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	8.0	1	n	chi4	1.000000000000056	1.7473800184575339e-12	1.7473800184574361e-12	1.000000000007134	0.9999999999997533
cylinder	ED	8.0	1	n	chi8	1.000000000000056	1.271815985859348e-11	1.271815985859277e-11	0.9999999999966543	0.9999999999997533
cylinder	ED	8.0	1	n	chi32	1.000000000000056	6.953326803227355e-13	6.953326803226967e-13	0.9999999999988703	0.9999999999997533
cylinder	ED	8.0	1	n	chi128	1.000000000000056	4.940492459581947e-13	4.94049245958167e-13	0.999999999999286	0.9999999999997533
cylinder	ED	8.0	1	n	exact	1.000000000000056	1.099120794378905e-13	1.0991207943788435e-13	0.9999999999997533	0.9999999999997533
cylinder	ED	8.0	1	n	UHF	1.000000000000056	6.039613253960852e-14	6.039613253960513e-14	0.012426505604874913	0.9999999999997533
cylinder	ED	8.0	1	n	UHFsym	1.000000000000056	6.628031457012185e-14	6.628031457011813e-14	1.0000000000000322	0.9999999999997533
cylinder	ED	8.0	1	Sz	chi4	-1.6483672066192057e-10	-1.6009744918665803e-10	NaN	0.9999999999901374	1.000000000000241
cylinder	ED	8.0	1	Sz	chi8	-1.6483672066192057e-10	-1.6307894271094803e-10	NaN	0.9999999999882593	1.000000000000241
cylinder	ED	8.0	1	Sz	chi32	-1.6483672066192057e-10	-1.6534022068137588e-10	NaN	1.0000000000004978	1.000000000000241
cylinder	ED	8.0	1	Sz	chi128	-1.6483672066192057e-10	-1.6515133705041762e-10	NaN	1.0000000000002849	1.000000000000241
cylinder	ED	8.0	1	Sz	exact	-1.6483672066192057e-10	-1.6498726343461279e-10	NaN	1.000000000000241	1.000000000000241
cylinder	ED	8.0	1	Sz	UHF	-1.6483672066192057e-10	0.47083388224862044	NaN	0.017339792309298295	1.000000000000241
cylinder	ED	8.0	1	Sz	UHFsym	-1.6483672066192057e-10	-1.6483680306128567e-10	NaN	0.9999999999999971	1.000000000000241
cylinder	ED	8.0	1	DoubleOcc	chi4	0.034261158214725085	0.016226173620887963	0.4736026003322364	50.19201878911396	82.21552538227184
