W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	64	cylinder	4.0	4.297e-11	UHF	P	17	1	-0.599366634709	-0.591305404660
1	64	cylinder	4.0	4.297e-11	UHF	P	17	2	0.617619628261	0.614559638156
1	64	cylinder	4.0	4.297e-11	UHF	P	17	3	-0.575899958623	-0.608963234322
1	64	cylinder	4.0	4.297e-11	UHF	P	17	4	0.603454955288	0.609739663173
1	64	cylinder	4.0	4.297e-11	UHF	P	17	5	-0.574310296004	-0.609552566104
1	64	cylinder	4.0	4.297e-11	UHF	P	17	6	0.600705984458	0.609584355537
1	64	cylinder	4.0	4.297e-11	UHF	P	17	7	-0.574598085178	-0.609576678927
1	64	cylinder	4.0	4.297e-11	UHF	P	17	8	0.599724922223	0.609578109072
1	64	cylinder	4.0	4.297e-11	UHF	P	17	9	-0.575009176718	-0.609577764558
1	64	cylinder	4.0	4.297e-11	UHF	P	17	10	0.599223293995	0.609577832060
1	64	cylinder	4.0	4.297e-11	UHF	P	17	11	-0.575330516699	-0.609577815876
1	64	cylinder	4.0	4.297e-11	UHF	P	17	12	0.598923638120	0.609577819149
1	64	cylinder	4.0	4.297e-11	UHF	P	17	13	-0.575549227996	-0.609577818366
1	64	cylinder	4.0	4.297e-11	UHF	P	17	14	0.598744841116	0.609577818528
1	64	cylinder	4.0	4.297e-11	UHF	P	17	15	-0.575677185682	-0.609577818489
1	64	cylinder	4.0	4.297e-11	UHF	P	17	16	0.598656945027	0.609577818497
1	64	cylinder	4.0	4.297e-11	UHF	P	17	17	-0.575724713221	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	18	0.598647391186	0.609577818496
1	64	cylinder	4.0	4.297e-11	UHF	P	17	19	-0.575697516530	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	20	0.598711517031	0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	21	-0.575597044947	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	22	0.598849531993	0.609577818496
1	64	cylinder	4.0	4.297e-11	UHF	P	17	23	-0.575420916852	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	24	0.599065655294	0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	25	-0.575162878988	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	26	0.599368261891	0.609577818496
1	64	cylinder	4.0	4.297e-11	UHF	P	17	27	-0.574812194028	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	28	0.599770801958	0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	29	-0.574352302317	-0.609577818495
1	64	cylinder	4.0	4.297e-11	UHF	P	17	30	0.600293672829	0.609577818496
1	64	cylinder	4.0	4.297e-11	UHF	P	17	31	-0.573758404477	-0.609577818496
1	64	cylinder	4.0	4.297e-11	UHF	P	17	32	0.600967645649	0.609577818496
1	64	cylinder	4.0	4.297e-11	chi2	P	17	1	-0.599366634709	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	2	0.617619628261	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	3	-0.575899958623	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	4	0.603454955288	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	5	-0.574310296004	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	6	0.600705984458	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	7	-0.574598085178	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	8	0.599724922223	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	9	-0.575009176718	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	10	0.599223293995	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	11	-0.575330516699	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	12	0.598923638120	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	13	-0.575549227996	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	14	0.598744841116	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	15	-0.575677185682	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	16	0.598656945027	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	17	-0.575724713221	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	18	0.598647391186	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	19	-0.575697516530	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	20	0.598711517031	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	21	-0.575597044947	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	22	0.598849531993	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	23	-0.575420916852	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	24	0.599065655294	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	25	-0.575162878988	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	26	0.599368261891	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	27	-0.574812194028	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	28	0.599770801958	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	29	-0.574352302317	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	30	0.600293672829	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	31	-0.573758404477	-1.000000000000
1	64	cylinder	4.0	4.297e-11	chi2	P	17	32	0.600967645649	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi4	P	17	1	-0.599366634709	-0.754666452690
1	64	cylinder	4.0	4.297e-11	chi4	P	17	2	0.617619628261	1.000000000000
1	64	cylinder	4.0	4.297e-11	chi4	P	17	3	-0.575899958623	-0.755241414354
