W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Za	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zab	-0.298278290088
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zabc	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zabcd	0.275140638720
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zabd	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zac	-0.401584997187
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zacd	-0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zad	0.147617910615
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zb	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zbc	0.147617910615
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zbcd	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zbd	-0.401584997187
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zc	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zcd	-0.298278290084
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	Zd	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopD	0.568422839681
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopD_Za	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopD_Zc	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopU	0.568422839680
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopU_Zb	-0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	32	33	hopU_Zd	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Za	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zab	-0.298278290084
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zabc	-0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zabcd	0.330060462444
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zabd	-0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zac	-0.484370845183
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zacd	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zad	0.186598691260
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zb	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zbc	0.186598691260
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zbcd	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zbd	-0.484370845183
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zc	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zcd	-0.298319668798
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	Zd	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopD	0.626897015885
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopD_Za	-0.000000000001
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopD_Zc	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopU	0.626897015885
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopU_Zb	0.000000000000
1	64	cylinder	2.0	2.752e-09	true	bond	33	34	hopU_Zd	-0.000000000000
1	64	cylinder	2.0	2.752e-09	true	dist	32	33	FF	0.275140638720
1	64	cylinder	2.0	2.752e-09	true	dist	32	33	hopU	0.568422839680
1	64	cylinder	2.0	2.752e-09	true	dist	32	34	FF	0.096363346639
1	64	cylinder	2.0	2.752e-09	true	dist	32	34	hopU	0.000000000001
1	64	cylinder	2.0	2.752e-09	true	dist	32	35	FF	0.093720535803
1	64	cylinder	2.0	2.752e-09	true	dist	32	35	hopU	-0.157248555401
1	64	cylinder	2.0	2.752e-09	true	dist	32	36	FF	0.090450992856
1	64	cylinder	2.0	2.752e-09	true	dist	32	36	hopU	0.000000000005
1	64	cylinder	2.0	2.752e-09	true	dist	32	37	FF	0.089995685630
