dim	W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi16	9.9641786746e-01	DoubleOcc	2	0.99999978	3.72049023e-04	0.1001864160	0.1000003915	1.860245e-04	1.856784e-03	1.901246	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi32	9.9995332364e-01	DoubleOcc	2	1.00000000	6.19413128e-06	0.1001864160	0.1001833189	3.097066e-06	3.091303e-05	1.901252	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi64	9.9999898623e-01	DoubleOcc	2	1.00000000	1.87440024e-07	0.1001864160	0.1001863223	9.372001e-08	9.354563e-07	1.901252	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi128	9.9999999246e-01	DoubleOcc	2	1.00000000	1.62789656e-09	0.1001864160	0.1001864152	8.139480e-10	8.124335e-09	1.901252	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi256	9.9999999998e-01	DoubleOcc	2	1.00000000	4.27784891e-12	0.1001864160	0.1001864160	2.138900e-12	2.134920e-11	1.901252	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	UHF	1.0971582147e-01	DoubleOcc	2	0.69665313	3.86469447e-01	0.1001864160	0.1021726876	-1.986272e-03	1.982576e-02	1.900579	1.901252
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi2	1.1582303694e-01	n	2	0.79962717	2.00372832e-01	1.0000000000	1.0000000000	2.220446e-16	2.220446e-16	-66719994479563208.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi4	4.7406317272e-01	n	2	0.99037569	7.23914075e-02	1.0000000000	1.0000000000	5.329071e-15	5.329071e-15	-66719994479689408.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi8	9.7307823695e-01	n	2	0.99998644	2.94026826e-03	1.0000000000	1.0000000000	3.108624e-15	3.108624e-15	-66719994479606008.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi16	9.9641786746e-01	n	2	0.99999978	3.72049023e-04	1.0000000000	1.0000000000	-4.440892e-16	4.440892e-16	-66719994479563864.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi32	9.9995332364e-01	n	2	1.00000000	6.19413128e-06	1.0000000000	1.0000000000	2.664535e-15	2.664535e-15	-66719994479594592.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi64	9.9999898623e-01	n	2	1.00000000	1.87440024e-07	1.0000000000	1.0000000000	4.440892e-16	4.440892e-16	-66719994479563864.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi128	9.9999999246e-01	n	2	1.00000000	1.62789656e-09	1.0000000000	1.0000000000	2.220446e-16	2.220446e-16	-66719994479563208.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi256	9.9999999998e-01	n	2	1.00000000	4.27784891e-12	1.0000000000	1.0000000000	1.332268e-15	1.332268e-15	-66719994479570888.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	UHF	1.0971582147e-01	n	2	0.69665313	3.86469447e-01	1.0000000000	1.0000000000	-5.551115e-15	5.551115e-15	-66719994479700160.000000	-66719994479562992.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi2	1.1582303694e-01	Sz	2	0.79962717	2.00372832e-01	-0.0000000000	-0.0000000000	1.424463e-15	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi4	4.7406317272e-01	Sz	2	0.99037569	7.23914075e-02	-0.0000000000	-0.0000000000	4.324994e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi8	9.7307823695e-01	Sz	2	0.99998644	2.94026826e-03	-0.0000000000	-0.0000000000	6.099563e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi16	9.9641786746e-01	Sz	2	0.99999978	3.72049023e-04	-0.0000000000	-0.0000000000	2.518985e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi32	9.9995332364e-01	Sz	2	1.00000000	6.19413128e-06	-0.0000000000	-0.0000000000	1.620877e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi64	9.9999898623e-01	Sz	2	1.00000000	1.87440024e-07	-0.0000000000	-0.0000000000	2.578947e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi128	9.9999999246e-01	Sz	2	1.00000000	1.62789656e-09	-0.0000000000	-0.0000000000	1.083677e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	chi256	9.9999999998e-01	Sz	2	1.00000000	4.27784891e-12	-0.0000000000	-0.0000000000	1.822615e-16	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	4.0	-7.6723496720	-1.350e-13	UHF	1.0971582147e-01	Sz	2	0.69665313	3.86469447e-01	-0.0000000000	-0.3844831757	3.844832e-01	NaN	0.070720	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	ZZ onsite	2	0.89144107	1.08558929e-01	-0.7828821430	-1.0000000000	2.171179e-01	2.773315e-01	11.986783	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	ZZ onsite	2	0.89144107	1.08558929e-01	-0.7828821430	-1.0000000000	2.171179e-01	2.773315e-01	11.986783	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	ZZ onsite	2	0.98205151	6.85503693e-02	-0.7828821430	-0.9199828816	1.371007e-01	1.751231e-01	26.661812	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	ZZ onsite	2	0.99393879	4.35460437e-02	-0.7828821430	-0.8699742303	8.709209e-02	1.112455e-01	51.697377	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	ZZ onsite	2	0.99922295	1.67282541e-02	-0.7828821430	-0.8163386511	3.345651e-02	4.273505e-02	112.758661	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	ZZ onsite	2	0.99988335	6.62793382e-03	-0.7828821430	-0.7961380106	1.325587e-02	1.693214e-02	136.243995	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	ZZ onsite	2	0.99999206	1.74686358e-03	-0.7828821430	-0.7863758701	3.493727e-03	4.462648e-03	141.345290	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	ZZ onsite	2	0.99999981	2.70504941e-04	-0.7828821430	-0.7834231528	5.410099e-04	6.910489e-04	141.731941	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	ZZ onsite	2	0.59648141	4.50458708e-01	-0.7828821430	-0.7980472116	1.516507e-02	1.937082e-02	134.631544	141.741467
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	ZZ up-up nb	2	0.95304715	2.11537886e-01	-0.4230757716	0.0000000000	-4.230758e-01	1.000000e+00	1.000000	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	ZZ up-up nb	2	0.96663808	1.76830855e-01	-0.4230757716	-0.0694140622	-3.536617e-01	8.359300e-01	1.401425	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	ZZ up-up nb	2	0.99577433	6.05640196e-02	-0.4230757716	-0.3019477323	-1.211280e-01	2.863034e-01	7.872965	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	ZZ up-up nb	2	0.99430085	7.06194785e-02	-0.4230757716	-0.2818368146	-1.412390e-01	3.338384e-01	6.449577	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	ZZ up-up nb	2	0.99944127	2.16482726e-02	-0.4230757716	-0.3797792263	-4.329655e-02	1.023376e-01	16.940943	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	ZZ up-up nb	2	0.99993709	7.21319196e-03	-0.4230757716	-0.4086493877	-1.442638e-02	3.409882e-02	19.930168	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	ZZ up-up nb	2	0.99999505	2.01759884e-03	-0.4230757716	-0.4190405739	-4.035198e-03	9.537766e-03	20.343387	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	ZZ up-up nb	2	0.99999968	5.12447376e-04	-0.4230757716	-0.4220508768	-1.024895e-03	2.422485e-03	20.376934	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	ZZ up-up nb	2	0.59007241	5.69250772e-01	-0.4230757716	-0.8685465234	4.454708e-01	1.052934e+00	0.906341	20.379251
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	SzSz nb	4	0.72344168	4.23829712e-01	-0.0995232519	-0.0000000000	-9.952325e-02	1.000000e+00	1.000000	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	SzSz nb	4	0.75410120	3.72974498e-01	-0.0995232519	-0.0173535155	-8.216974e-02	8.256336e-01	1.187941	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	SzSz nb	4	0.95799850	1.71085893e-01	-0.0995232519	-0.0754705473	-2.405270e-02	2.416792e-01	1.879575	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	SzSz nb	4	0.96993647	1.40946009e-01	-0.0995232519	-0.0703734322	-2.914982e-02	2.928946e-01	1.832703	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	SzSz nb	4	0.99625825	4.15901672e-02	-0.0995232519	-0.0904060159	-9.117236e-03	9.160911e-02	1.971697	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	SzSz nb	4	0.99855005	1.97788552e-02	-0.0995232519	-0.0966917522	-2.831500e-03	2.845063e-02	1.986457	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	SzSz nb	4	0.99995168	4.74623483e-03	-0.0995232519	-0.0986440832	-8.791687e-04	8.833802e-03	1.987893	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	SzSz nb	4	0.99999858	9.67568999e-04	-0.0995232519	-0.0992918230	-2.314289e-04	2.325375e-03	1.988035	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	SzSz nb	4	0.44956424	6.35820455e-01	-0.0995232519	-0.2109954839	1.114722e-01	1.120062e+00	0.887702	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	SxSx nb	4	0.72344168	4.23829712e-01	-0.0995232519	0.0000000000	-9.952325e-02	1.000000e+00	1.000000	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	SxSx nb	4	0.75410120	3.72974498e-01	-0.0995232519	-0.0173535155	-8.216974e-02	8.256336e-01	1.187941	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	SxSx nb	4	0.95799850	1.71085893e-01	-0.0995232519	-0.0754705473	-2.405270e-02	2.416792e-01	1.879575	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	SxSx nb	4	0.96993647	1.40946009e-01	-0.0995232519	-0.0703734322	-2.914982e-02	2.928946e-01	1.832703	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	SxSx nb	4	0.99625825	4.15901672e-02	-0.0995232519	-0.0904060159	-9.117236e-03	9.160911e-02	1.971697	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	SxSx nb	4	0.99855005	1.97788552e-02	-0.0995232519	-0.0966917522	-2.831500e-03	2.845063e-02	1.986457	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	SxSx nb	4	0.99995168	4.74623483e-03	-0.0995232519	-0.0986440832	-8.791687e-04	8.833802e-03	1.987893	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	SxSx nb	4	0.99999858	9.67568999e-04	-0.0995232519	-0.0992918230	-2.314289e-04	2.325375e-03	1.988035	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	SxSx nb	4	0.44956424	6.35820455e-01	-0.0995232519	-0.0061411470	-9.338210e-02	9.382943e-01	1.063199	1.988046
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	DoubleOcc	2	0.89144107	1.08558929e-01	0.0542794643	0.0000000000	5.427946e-02	1.000000e+00	1.000000	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	DoubleOcc	2	0.89144107	1.08558929e-01	0.0542794643	0.0000000000	5.427946e-02	1.000000e+00	1.000000	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	DoubleOcc	2	0.98205151	6.85503693e-02	0.0542794643	0.0200042796	3.427518e-02	6.314577e-01	1.142957	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	DoubleOcc	2	0.99393879	4.35460437e-02	0.0542794643	0.0325064424	2.177302e-02	4.011282e-01	1.211463	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	DoubleOcc	2	0.99922295	1.67282541e-02	0.0542794643	0.0459153372	8.364127e-03	1.540938e-01	1.254837	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	DoubleOcc	2	0.99988335	6.62793382e-03	0.0542794643	0.0509654974	3.313967e-03	6.105379e-02	1.261429	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	DoubleOcc	2	0.99999206	1.74686358e-03	0.0542794643	0.0534060325	8.734318e-04	1.609139e-02	1.262578	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	DoubleOcc	2	0.99999981	2.70504941e-04	0.0542794643	0.0541442118	1.352525e-04	2.491780e-03	1.262662	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	DoubleOcc	2	0.59648141	4.50458708e-01	0.0542794643	0.0504881971	3.791267e-03	6.984717e-02	1.261048	1.262664
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	n	2	0.89144107	1.08558929e-01	1.0000000000	1.0000000000	-6.661338e-16	6.661338e-16	-200159983438706592.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	n	2	0.89144107	1.08558929e-01	1.0000000000	1.0000000000	-1.332268e-15	1.332268e-15	-200159983438759904.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	n	2	0.98205151	6.85503693e-02	1.0000000000	1.0000000000	-2.220446e-16	2.220446e-16	-200159983438690784.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	n	2	0.99393879	4.35460437e-02	1.0000000000	1.0000000000	1.443290e-15	1.443290e-15	-200159983438772256.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	n	2	0.99922295	1.67282541e-02	1.0000000000	1.0000000000	-1.776357e-15	1.776357e-15	-200159983438815232.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	n	2	0.99988335	6.62793382e-03	1.0000000000	1.0000000000	0.000000e+00	0.000000e+00	-200159983438688800.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	n	2	0.99999206	1.74686358e-03	1.0000000000	1.0000000000	4.440892e-16	4.440892e-16	-200159983438696704.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	n	2	0.99999981	2.70504941e-04	1.0000000000	1.0000000000	4.440892e-16	4.440892e-16	-200159983438696704.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	n	2	0.59648141	4.50458708e-01	1.0000000000	1.0000000000	1.332268e-15	1.332268e-15	-200159983438759904.000000	-200159983438688800.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi2	9.5401290159e-02	Sz	2	0.89144107	1.08558929e-01	-0.0000000000	-0.0000000000	2.412872e-14	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi4	3.7696934439e-01	Sz	2	0.89144107	1.08558929e-01	-0.0000000000	-0.0000000000	4.171777e-15	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi8	6.1908094909e-01	Sz	2	0.98205151	6.85503693e-02	-0.0000000000	-0.0000000000	1.941277e-15	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi16	7.8195133613e-01	Sz	2	0.99393879	4.35460437e-02	-0.0000000000	-0.0000000000	5.244350e-16	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi32	9.2187035857e-01	Sz	2	0.99922295	1.67282541e-02	-0.0000000000	-0.0000000000	-4.457599e-16	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi64	9.7505884545e-01	Sz	2	0.99988335	6.62793382e-03	-0.0000000000	-0.0000000000	3.815877e-16	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi128	9.9405915938e-01	Sz	2	0.99999206	1.74686358e-03	-0.0000000000	-0.0000000000	-8.723906e-17	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	chi256	9.9911067025e-01	Sz	2	0.99999981	2.70504941e-04	-0.0000000000	-0.0000000000	-2.497871e-16	NaN	1.000000	1.000000
2D	4	3	12	cylinder	true	8.0	-5.5537447125	-3.553e-14	UHF	1.5056061653e-01	Sz	2	0.59648141	4.50458708e-01	-0.0000000000	-0.4466674411	4.466674e-01	NaN	0.053378	1.000000
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi2	8.9033469958e-02	ZZ onsite	2	0.80201208	1.97987920e-01	-0.6040241610	-1.0000000000	3.959758e-01	6.555629e-01	2.269033	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi4	3.8356108753e-01	ZZ onsite	2	0.98479710	8.83331867e-02	-0.6040241610	-0.7806905343	1.766664e-01	2.924823e-01	9.698244	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi8	7.3529091359e-01	ZZ onsite	2	0.99982700	1.03770514e-02	-0.6040241610	-0.6247782637	2.075410e-02	3.435972e-02	49.099744	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi16	8.5565799577e-01	ZZ onsite	2	0.99999829	1.03968716e-03	-0.6040241610	-0.6061035353	2.079374e-03	3.442535e-03	52.028011	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi32	9.8520928086e-01	ZZ onsite	2	0.99999551	1.68601893e-03	-0.6040241610	-0.6073961988	3.372038e-03	5.582621e-03	51.976783	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi64	9.9800760097e-01	ZZ onsite	2	0.99999971	4.29969816e-04	-0.6040241610	-0.6048841006	8.599396e-04	1.423684e-03	52.054107	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi128	9.9972423952e-01	ZZ onsite	2	0.99999999	6.23527361e-05	-0.6040241610	-0.6041488665	1.247055e-04	2.064578e-04	52.059381	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi256	9.9999216208e-01	ZZ onsite	2	1.00000000	2.03039692e-06	-0.6040241610	-0.6040282218	4.060794e-06	6.722900e-06	52.059494	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	UHF	1.7883295442e-01	ZZ onsite	2	0.69614166	3.87674373e-01	-0.6040241610	-0.5914753178	-1.254884e-02	2.077540e-02	50.936938	52.059494
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi2	8.9033469958e-02	ZZ up-up nb	2	0.92608963	2.61624976e-01	-0.5232499520	-0.0000000000	-5.232500e-01	1.000000e+00	1.000000	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi4	3.8356108753e-01	ZZ up-up nb	2	0.99999813	1.16451944e-03	-0.5232499520	-0.5255789908	2.329039e-03	4.451102e-03	34.489379	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi8	7.3529091359e-01	ZZ up-up nb	2	0.99998985	2.70964756e-03	-0.5232499520	-0.5286692471	5.419295e-03	1.035699e-02	34.388659	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi16	8.5565799577e-01	ZZ up-up nb	2	0.99988254	9.17397628e-03	-0.5232499520	-0.5415979045	1.834795e-02	3.506537e-02	33.146445	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi32	9.8520928086e-01	ZZ up-up nb	2	0.99999325	2.21819913e-03	-0.5232499520	-0.5188135537	-4.436398e-03	8.478545e-03	34.429336	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi64	9.9800760097e-01	ZZ up-up nb	2	0.99999627	1.64852443e-03	-0.5232499520	-0.5199529031	-3.297049e-03	6.301097e-03	34.466418	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi128	9.9972423952e-01	ZZ up-up nb	2	0.99999992	2.44234679e-04	-0.5232499520	-0.5227614826	-4.884694e-04	9.335297e-04	34.511270	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi256	9.9999216208e-01	ZZ up-up nb	2	1.00000000	8.49284886e-06	-0.5232499520	-0.5232329663	-1.698570e-05	3.246192e-05	34.512277	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	UHF	1.7883295442e-01	ZZ up-up nb	2	0.69612154	4.85124120e-01	-0.5232499520	-0.7840266219	2.607767e-01	4.983788e-01	3.701514	34.512278
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi2	8.9033469958e-02	SzSz nb	4	0.54936914	6.04892391e-01	-0.1091758457	-0.0000000000	-1.091758e-01	1.000000e+00	1.000000	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi4	3.8356108753e-01	SzSz nb	4	0.88662575	2.97475165e-01	-0.1091758457	-0.1313947477	2.221890e-02	2.035148e-01	2.088368	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi8	7.3529091359e-01	SzSz nb	4	0.99902965	2.24359865e-02	-0.1091758457	-0.1104709452	1.295099e-03	1.186251e-02	2.191055	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi16	8.5565799577e-01	SzSz nb	4	0.99972925	1.56350699e-02	-0.1091758457	-0.1131409520	3.965106e-03	3.631853e-02	2.187984	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi32	9.8520928086e-01	SzSz nb	4	0.99991629	6.01024501e-03	-0.1091758457	-0.1087787221	-3.971236e-04	3.637467e-03	2.191388	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi64	9.9800760097e-01	SzSz nb	4	0.99992150	5.31110740e-03	-0.1091758457	-0.1089261054	-2.497403e-04	2.287505e-03	2.191409	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi128	9.9972423952e-01	SzSz nb	4	0.99999902	6.07600800e-04	-0.1091758457	-0.1091173422	-5.850349e-05	5.358648e-04	2.191422	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi256	9.9999216208e-01	SzSz nb	4	0.99999999	4.11949923e-05	-0.1091758457	-0.1091732453	-2.600385e-06	2.381831e-05	2.191422	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	UHF	1.7883295442e-01	SzSz nb	4	0.59058738	5.66742309e-01	-0.1091758457	-0.1719377425	6.276190e-02	5.748698e-01	1.572337	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi2	8.9033469958e-02	SxSx nb	4	0.54936914	6.04892391e-01	-0.1091758457	0.0000000000	-1.091758e-01	1.000000e+00	1.000000	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi4	3.8356108753e-01	SxSx nb	4	0.88662575	2.97475165e-01	-0.1091758457	-0.1313947477	2.221890e-02	2.035148e-01	2.088368	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi8	7.3529091359e-01	SxSx nb	4	0.99902965	2.24359865e-02	-0.1091758457	-0.1104709452	1.295099e-03	1.186251e-02	2.191055	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi16	8.5565799577e-01	SxSx nb	4	0.99972925	1.56350699e-02	-0.1091758457	-0.1131409520	3.965106e-03	3.631853e-02	2.187984	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi32	9.8520928086e-01	SxSx nb	4	0.99991629	6.01024501e-03	-0.1091758457	-0.1087787221	-3.971236e-04	3.637467e-03	2.191388	2.191422
1D	1	12	12	torus	true	4.0	-6.9203535624	0.000e+00	chi64	9.9800760097e-01	SxSx nb	4	0.99992150	5.31110740e-03	-0.1091758457	-0.1089261054	-2.497403e-04	2.287505e-03	2.191409	2.191422
