geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	4.0	1	n	chi4	1.0000000000000016	1.851885356174421e-8	1.851885356174418e-8	1.0000000005975567	0.9999999970137698
cylinder	ED	4.0	1	n	chi8	1.0000000000000016	2.6024912114230858e-8	2.602491211423082e-8	0.9999999895195044	0.9999999970137698
cylinder	ED	4.0	1	n	chi32	1.0000000000000016	-3.8939003133009464e-9	3.893900313300941e-9	1.0000000069889416	0.9999999970137698
cylinder	ED	4.0	1	n	chi128	1.0000000000000016	3.0422366847915328e-9	3.042236684791528e-9	0.9999999957735819	0.9999999970137698
cylinder	ED	4.0	1	n	exact	1.0000000000000016	1.0593188548568833e-9	1.0593188548568816e-9	0.9999999970137698	0.9999999970137698
cylinder	ED	4.0	1	n	UHF	1.0000000000000016	1.3322676295501878e-15	1.3322676295501859e-15	0.022415899048345816	0.9999999970137698
cylinder	ED	4.0	1	n	UHFsym	1.0000000000000016	6.994405055138486e-15	6.994405055138475e-15	1.0000000000000326	0.9999999970137698
cylinder	ED	4.0	1	Sz	chi4	1.9984014443252818e-15	1.0805293555737894e-8	NaN	0.9999999715773802	1.0000000007006906
cylinder	ED	4.0	1	Sz	chi8	1.9984014443252818e-15	8.237513067499425e-9	NaN	0.9999999687766544	1.0000000007006906
cylinder	ED	4.0	1	Sz	chi32	1.9984014443252818e-15	2.0943036749265787e-9	NaN	1.0000000004962735	1.0000000007006906
cylinder	ED	4.0	1	Sz	chi128	1.9984014443252818e-15	-8.790017325122079e-10	NaN	0.9999999986618763	1.0000000007006906
cylinder	ED	4.0	1	Sz	exact	1.9984014443252818e-15	-1.2355969858379723e-9	NaN	1.0000000007006906	1.0000000007006906
cylinder	ED	4.0	1	Sz	UHF	1.9984014443252818e-15	0.3712871811150503	NaN	0.025084190002081487	1.0000000007006906
cylinder	ED	4.0	1	Sz	UHFsym	1.9984014443252818e-15	2.026211230049535e-15	NaN	1.0000000000000004	1.0000000007006906
cylinder	ED	4.0	1	DoubleOcc	chi4	0.1080150064347779	0.06916565424790563	0.6403337511225308	3.317784048152806	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	chi8	0.1080150064347779	0.06470144527420746	0.5990042255219026	3.6966660947767207	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	chi32	0.1080150064347779	0.003302061468744233	0.03057039551942348	21.851872796576092	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	chi128	0.1080150064347779	0.000291106883256953	0.0026950596298184774	22.553718658581698	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	exact	0.1080150064347779	1.730420447210168e-7	1.6020185567965856e-6	22.599623922663707	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	UHF	0.1080150064347779	-0.004130822704863507	0.0382430445658289	1.0619501738618249	22.599623922663707
cylinder	ED	4.0	1	DoubleOcc	UHFsym	0.1080150064347779	-0.004130822704862036	0.03824304456581528	22.792694325228528	22.599623922663707
cylinder	ED	4.0	1	ZZ onsite	chi4	-0.5679399742608895	0.2766625799539174	0.4871334867984295	3.8017263830438854	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	chi8	-0.5679399742608895	0.25880572904700705	0.455692046300868	4.287710426217913	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	chi32	-0.5679399742608895	0.013208253662780223	0.023256425434693678	45.18103798835845	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	chi128	-0.5679399742608895	0.0011644214485567739	0.0020502544306238322	46.898123107642476	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	exact	-0.5679399742608895	6.900495433947995e-7	1.2150043572700125e-6	46.96649307242542	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	UHF	-0.5679399742608895	-0.016523290819454695	0.02909337530072243	45.97757217885034	46.96649307242542
cylinder	ED	4.0	1	ZZ onsite	UHFsym	-0.5679399742608895	-0.01652329081945425	0.029093375300721647	45.97757217885044	46.96649307242542
cylinder	ED	4.0	1	ZZ up-up nb	chi4	-0.4196791253760714	0.23878483188153682	0.568969999800594	2.834104648557197	19.435292510035495
cylinder	ED	4.0	1	ZZ up-up nb	chi8	-0.4196791253760714	0.10230793345936212	0.24377655993179248	9.443437758724775	19.435292510035495
