W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	16	torus	12.0	1.250e-10	chi256	P	1	1	-0.928439023286	-0.928439733018
1	16	torus	12.0	1.250e-10	chi256	P	1	2	0.928111963634	0.928112799630
1	16	torus	12.0	1.250e-10	chi256	P	1	3	-0.927799586164	-0.927800435654
1	16	torus	12.0	1.250e-10	chi256	P	1	4	0.927945130438	0.927945979536
1	16	torus	12.0	1.250e-10	chi256	P	1	5	-0.927833191518	-0.927834025420
1	16	torus	12.0	1.250e-10	chi256	P	1	6	0.927924628507	0.927925418336
1	16	torus	12.0	1.250e-10	chi256	P	1	7	-0.927842985238	-0.927843797008
1	16	torus	12.0	1.250e-10	chi256	P	1	8	0.927920144582	0.927920921257
1	16	torus	12.0	1.250e-10	chi512	P	1	1	-0.928439023286	-0.928439031038
1	16	torus	12.0	1.250e-10	chi512	P	1	2	0.928111963634	0.928111971220
1	16	torus	12.0	1.250e-10	chi512	P	1	3	-0.927799586164	-0.927799593941
1	16	torus	12.0	1.250e-10	chi512	P	1	4	0.927945130438	0.927945138327
1	16	torus	12.0	1.250e-10	chi512	P	1	5	-0.927833191518	-0.927833199540
1	16	torus	12.0	1.250e-10	chi512	P	1	6	0.927924628507	0.927924636317
1	16	torus	12.0	1.250e-10	chi512	P	1	7	-0.927842985238	-0.927842994569
1	16	torus	12.0	1.250e-10	chi512	P	1	8	0.927920144582	0.927920152021
1	16	torus	12.0	1.250e-10	UHF	Q	1	1	-0.000000000000	0.972420413903
1	16	torus	12.0	1.250e-10	UHF	Q	1	2	-0.583799931265	-0.972613212619
1	16	torus	12.0	1.250e-10	UHF	Q	1	3	0.000000000000	-0.972607868454
1	16	torus	12.0	1.250e-10	UHF	Q	1	4	0.496566626536	0.972607952073
1	16	torus	12.0	1.250e-10	UHF	Q	1	5	-0.000000000000	0.972607949753
1	16	torus	12.0	1.250e-10	UHF	Q	1	6	-0.462086505563	-0.972607949798
1	16	torus	12.0	1.250e-10	UHF	Q	1	7	0.000000000000	-0.972607949796
1	16	torus	12.0	1.250e-10	UHF	Q	1	8	0.452319750844	0.972607949796
1	16	torus	12.0	1.250e-10	chi2	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	2	-0.583799931265	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	4	0.496566626536	1.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	6	-0.462086505563	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi2	Q	1	8	0.452319750844	1.000000000000
1	16	torus	12.0	1.250e-10	chi4	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi4	Q	1	2	-0.583799931265	-0.700363894117
1	16	torus	12.0	1.250e-10	chi4	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi4	Q	1	4	0.496566626536	0.621750095808
1	16	torus	12.0	1.250e-10	chi4	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi4	Q	1	6	-0.462086505563	-0.588077728821
1	16	torus	12.0	1.250e-10	chi4	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi4	Q	1	8	0.452319750844	0.574157226849
1	16	torus	12.0	1.250e-10	chi8	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi8	Q	1	2	-0.583799931265	-0.666281333470
1	16	torus	12.0	1.250e-10	chi8	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi8	Q	1	4	0.496566626536	0.582486550582
1	16	torus	12.0	1.250e-10	chi8	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi8	Q	1	6	-0.462086505563	-0.538055108200
1	16	torus	12.0	1.250e-10	chi8	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi8	Q	1	8	0.452319750844	0.512347877687
1	16	torus	12.0	1.250e-10	chi16	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi16	Q	1	2	-0.583799931265	-0.616224742278
1	16	torus	12.0	1.250e-10	chi16	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi16	Q	1	4	0.496566626536	0.531392445498
1	16	torus	12.0	1.250e-10	chi16	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi16	Q	1	6	-0.462086505563	-0.497391983611
1	16	torus	12.0	1.250e-10	chi16	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi16	Q	1	8	0.452319750844	0.486999450268
1	16	torus	12.0	1.250e-10	chi32	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi32	Q	1	2	-0.583799931265	-0.587634099055
1	16	torus	12.0	1.250e-10	chi32	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi32	Q	1	4	0.496566626536	0.500251864422
1	16	torus	12.0	1.250e-10	chi32	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi32	Q	1	6	-0.462086505563	-0.465776030297
1	16	torus	12.0	1.250e-10	chi32	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi32	Q	1	8	0.452319750844	0.456008846735
1	16	torus	12.0	1.250e-10	chi64	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi64	Q	1	2	-0.583799931265	-0.584103208852
1	16	torus	12.0	1.250e-10	chi64	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi64	Q	1	4	0.496566626536	0.496852666122
1	16	torus	12.0	1.250e-10	chi64	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi64	Q	1	6	-0.462086505563	-0.462353948076
1	16	torus	12.0	1.250e-10	chi64	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi64	Q	1	8	0.452319750844	0.452586273331
1	16	torus	12.0	1.250e-10	chi128	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi128	Q	1	2	-0.583799931265	-0.583810567117
1	16	torus	12.0	1.250e-10	chi128	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi128	Q	1	4	0.496566626536	0.496577051492
1	16	torus	12.0	1.250e-10	chi128	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi128	Q	1	6	-0.462086505563	-0.462096620463
1	16	torus	12.0	1.250e-10	chi128	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi128	Q	1	8	0.452319750844	0.452330257673
1	16	torus	12.0	1.250e-10	chi256	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi256	Q	1	2	-0.583799931265	-0.583800354578
1	16	torus	12.0	1.250e-10	chi256	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi256	Q	1	4	0.496566626536	0.496566990292
1	16	torus	12.0	1.250e-10	chi256	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi256	Q	1	6	-0.462086505563	-0.462086846164
1	16	torus	12.0	1.250e-10	chi256	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi256	Q	1	8	0.452319750844	0.452320082879
1	16	torus	12.0	1.250e-10	chi512	Q	1	1	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi512	Q	1	2	-0.583799931265	-0.583799936300
1	16	torus	12.0	1.250e-10	chi512	Q	1	3	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi512	Q	1	4	0.496566626536	0.496566630921
1	16	torus	12.0	1.250e-10	chi512	Q	1	5	-0.000000000000	-0.000000000000
1	16	torus	12.0	1.250e-10	chi512	Q	1	6	-0.462086505563	-0.462086509750
1	16	torus	12.0	1.250e-10	chi512	Q	1	7	0.000000000000	0.000000000000
1	16	torus	12.0	1.250e-10	chi512	Q	1	8	0.452319750844	0.452319754879
