B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	5000	1	n	false	0	chi2	0.9999999999890202	-1.0976997089073848e-11	0.015771765769523775	0.015771765748156252	1.0000000027095917	1.0000000002573965	NaN	NaN	NaN
5000	5000	1	n	false	0	chi4	0.9999999999890202	-5.295314187137024e-10	0.015771765769523775	0.015771765731979494	1.0000000047609483	1.0000000002573965	NaN	NaN	NaN
5000	5000	1	n	false	0	chi8	0.9999999999890202	7.150757763696447e-11	0.015771765769523775	0.015771765763455212	1.0000000007695475	1.0000000002573965	NaN	NaN	NaN
5000	5000	1	n	false	0	chi32	0.9999999999890202	-3.9698211384830984e-10	0.015771765769523775	0.015771765767199075	1.0000000002947924	1.0000000002573965	NaN	NaN	NaN
5000	5000	1	n	false	0	exact	0.9999999999890202	0.0	0.015771765769523775	0.015771765767493975	1.0000000002573965	1.0000000002573965	NaN	NaN	NaN
5000	5000	1	Sz	false	0	chi2	1.498873095084896e-9	-1.4229547179445134e-8	0.010173721012890036	0.010173721016687629	0.9999999992534504	0.9999999999286834	NaN	NaN	NaN
5000	5000	1	Sz	false	0	chi4	1.498873095084896e-9	-2.5912613312029098e-8	0.010173721012890036	0.010173721019466302	0.9999999987072052	0.9999999999286834	NaN	NaN	NaN
5000	5000	1	Sz	false	0	chi8	1.498873095084896e-9	-3.0038820458822e-9	0.010173721012890036	0.01017372101398387	0.9999999997849687	0.9999999999286834	NaN	NaN	NaN
5000	5000	1	Sz	false	0	chi32	1.498873095084896e-9	-4.5203188414610906e-11	0.010173721012890036	0.010173721013231534	0.9999999999328666	0.9999999999286834	NaN	NaN	NaN
5000	5000	1	Sz	false	0	exact	1.498873095084896e-9	0.0	0.010173721012890036	0.010173721013252814	0.9999999999286834	0.9999999999286834	NaN	NaN	NaN
5000	5000	1	DoubleOcc	false	0	chi2	0.10027732104750578	0.10027732104750578	0.012537434870032255	0.011722475777638661	1.1438753252472262	1.2664304017731267	NaN	NaN	NaN
5000	5000	1	DoubleOcc	false	0	chi4	0.10027732104750578	0.04168047383266396	0.012537434870032255	0.011233541341350933	1.2456155006910639	1.2664304017731267	NaN	NaN	NaN
5000	5000	1	DoubleOcc	false	0	chi8	0.10027732104750578	0.000164670029318692	0.012537434870032255	0.01114077622144342	1.2664454210925367	1.2664304017731267	NaN	NaN	NaN
5000	5000	1	DoubleOcc	false	0	chi32	0.10027732104750578	2.5929579957395532e-5	0.012537434870032255	0.011140831653162438	1.266432818609298	1.2664304017731267	NaN	NaN	NaN
5000	5000	1	DoubleOcc	false	0	exact	0.10027732104750578	0.0	0.012537434870032255	0.011140842283652684	1.2664304017731267	1.2664304017731267	NaN	NaN	NaN
5000	5000	1	ZZ onsite	true	2	chi2	-0.5988907157880141	0.4011092842119831	0.04063468931762429	0.03686272902238038	1.2151193020678281	1.4529152842270199	0.04157241852609232	0.037574135939325806	4.484443831299855
